순번_정류장ID,1-2800648,2-2800328,3-2800640,4-2800634,5-2800624,6-2800619,7-2806214,8-2806243,9-2805827,10-2805999
1-2800648,0,0.9977023997722734,1.002136317986288,1.0022076309914105,1.0009787104650358,1.0002261832827606,1.0261397934229284,1.065056685870321,1.3752953103487977,1.327519261291099
2-2800328,,0,1.0017318174739138,1.0020396287437057,1.0007160544733453,0.9999186368180022,1.0283798288786101,1.069202641767375,1.402776735968844,1.347866788738842
3-2800640,,,0,1.0023091824447024,1.000399147452044,0.999474724744347,1.033358726338094,1.0774765731502498,1.45799107259637,1.3884646999726002
4-2800634,,,,0,0.9993635150702,0.9983927598459238,1.0416718925913848,1.0895720674280367,1.5419743700302129,1.4480945093690274
5-2800624,,,,,0,0.9960838246321034,0.9998775434956084,1.0885196646790565,1.7448733049217158,1.5717685471735612
6-2800619,,,,,,0,1.002187449239266,1.1076251958394268,1.940820682119359,1.6812498056978185
7-2806214,,,,,,,0,1.1617331111908886,2.6428170471574237,1.987315112240401
8-2806243,,,,,,,,0,1.0009940100092487,0.9968477593959256
9-2805827,,,,,,,,,0,0.9909133403738046
10-2805999,,,,,,,,,,0
