순번_정류장ID,80-2802587,81-2802580,82-2802572,83-2802561,84-2802550,85-2802363,86-2802488,87-2802472,88-2802448,89-2802421,90-2802409,91-2802413,92-2802417,93-2802391,94-2802425,95-2802432,96-2802437,97-2802449,98-2802370,99-2802459,100-2802461,101-2805716,102-2802464,103-2802462,104-2802428,105-2803019,106-2802965,107-2802939,108-2802634,109-2802843,110-2802804,111-2802799,112-2803264,113-2803257,114-2803253,115-2803249,116-2803226,117-2803127,118-2805712,119-2803122,120-2803104,121-2803094,122-2803080,123-2803075,124-2803041,125-2803066,126-2803064,127-2802652,128-2803058,129-2800805,130-2800798,131-2807057,132-2807074,133-2800730,134-2800716,135-2805583,136-2800690,137-2800345,138-2803643,139-2803791,140-2801474,141-2801464,142-2801178,143-2801179,144-2801439,145-2801492,146-2801524,147-2801602,148-2801658,149-2801672,150-2801684,151-2801718,152-2801741,153-2801750,154-2801755,155-2801765,156-2801775,157-2801789
80-2802587,0,1.0240461791072177,0.99954075655951,0.995847258018769,1.003300592087865,1.0012225490909075,1.0045381611948807,1.0054919230397177,1.0050448586346812,1.0520229840305406,1.0490169999960883,1.0462707901537247,1.1274747305553579,1.2621825330623426,1.3115815332951446,1.2802851072019412,1.3422961429197042,1.5164110674438742,1.4929443386189516,1.4580716797961255,1.4258430514869729,1.4043381872230034,1.3877041210548304,1.4215491601220254,1.4284201131130576,1.3624728694672361,1.340439617405664,1.3308618838376842,1.3085459365059338,1.2959090397143285,1.2772613563146762,1.2637229606295972,1.2774225481228152,1.2729894103963,1.261443676822202,1.2556740140444613,1.2589877456627294,1.2534275732343776,1.2886214588283782,1.3103073260796911,1.3043786769125962,1.298772846308523,1.3445558060494198,1.379570062480696,1.3876091627425318,1.3821929600093286,1.4477742933883941,1.5316433832537701,1.5317884769987196,1.510866959426579,1.5015453955094376,1.4845725609361795,1.4671989995302943,1.4900014230956693,1.5213757962492247,1.5140758876580833,1.5076477742052463,1.5619398976247238,1.602825162712108,1.718376266392139,1.7676337891883123,1.7536965433493257,1.7590567954907852,1.7917027380554769,1.8221900164806057,1.918357237653795,1.9832269774075415,2.089236923016747,2.2330831689888013,2.3287494186053634,2.405890406849661,2.5492271873207315,2.6656168498982447,2.7961902504413025,2.932508063557884,3.078817937840604,3.221047797846453,3.3279995222855483
81-2802580,,0,0.9762720099711639,0.9799340354829067,0.9940854335204335,0.9949042998109808,0.9973418661993719,0.9993391550419815,0.9995455913735222,1.003732414389828,1.0048321163959208,1.004783827153947,1.1236416816904458,1.276482470593757,1.3321784462376478,1.2947494885900788,1.3414819332990235,1.5336153988833405,1.5070056347395766,1.4678798693925719,1.4323411493618927,1.4087888452232913,1.3907201543762266,1.4078938522447153,1.4157300734578562,1.3483705297521889,1.3266676920999645,1.317134587491833,1.2951250365501465,1.2824375939041681,1.2640924479278617,1.250783675122941,1.2651897551711746,1.261052637270128,1.249678281025312,1.2438369622900018,1.2477455110384736,1.2424717575969872,1.2786134321629044,1.3006375023558425,1.2947415059072822,1.2891814211139665,1.336083076336174,1.3719802986943936,1.3802440812612395,1.3835543871581553,1.4508747316403654,1.5377205889363104,1.5376162669988578,1.5158101445406489,1.5059885692550359,1.488720672955942,1.470365311724896,1.470591826289369,1.5023568230811668,1.4953416145664236,1.489093758795777,1.5438733299631688,1.5854603642458263,1.7024608282596514,1.7520744239253552,1.7382506256227024,1.743761161982224,1.7768400344907522,1.8077116058187996,1.9045346582560583,1.9697258150256254,2.0765644549739757,2.2216784685016875,2.3184713623572253,2.396686839497865,2.541462023372354,2.6593219540906414,2.7911342508335157,2.9305305231166576,3.0782583763654023,3.223537093800819,3.331710261478879
82-2802572,,,0,0.9851394267892929,1.0102537451962537,1.0026457813218725,1.0037615351491773,1.0053315230484787,1.004707133553846,1.0090014528803026,1.0097241970055508,1.0092876508617525,1.1470934239385024,1.3290879833211606,1.3929744373101165,1.3417410481200078,1.3938061199689706,1.6156045314933283,1.5805027703757857,1.5295329664836148,1.4852506952517608,1.4557022598615865,1.4333941407953807,1.4497490082836282,1.4551668677888534,1.3764821320612945,1.3511832516586981,1.3401783844945852,1.315207446850975,1.300864738281608,1.2801545470493032,1.265151570974238,1.2798078483258848,1.2753552441417548,1.2628057429427046,1.2563154610400706,1.2597217825132658,1.2538694079167334,1.2915426241515209,1.3147587945550678,1.3083319672475493,1.3021526592561772,1.3510564161893412,1.3888386269490325,1.3971251297588316,1.4003182994534753,1.4709673472651237,1.561916950975985,1.5615846532583282,1.5377300138367036,1.5273318187063978,1.5081515629844016,1.4888175629906342,1.488581228750244,1.52136050475484,1.5138253233934131,1.507208920874476,1.5639636819784837,1.5932063007195585,1.7132873743599326,1.7645062950740245,1.750095744554476,1.7555813401079214,1.7894584175515782,1.8210745489848699,1.921071380614405,1.9884287531273999,2.0989855976009153,2.2495005591999413,2.349922669042266,2.431149223940795,2.581915690383569,2.7047554181026605,2.843344150567674,2.989450960995481,3.1456570600576392,3.2987496597853965,3.41400724927905
83-2802561,,,,0,1.0380555309145747,1.0061284124816983,1.0063646280627065,1.0078131543768072,1.0066452620367794,1.0113013729078701,1.0118418597846874,1.0111661744714762,1.1665246364366262,1.3750969417001044,1.4462715607779937,1.3815775850867422,1.4386160109917274,1.687634400354775,1.6440815961874302,1.5811577019251961,1.52916883038034,1.4937237281634088,1.4676080922742556,1.4157674130676072,1.4400884623333363,1.3617126353378222,1.3369566414449956,1.325963567050953,1.3013328325957303,1.2876342607563003,1.2673214184711248,1.2528593836867827,1.2671032039009111,1.2629035812554288,1.2505742063367207,1.2443362682505181,1.2485768414722764,1.2428579207664996,1.2810184942660203,1.3044652849283267,1.2982679412857454,1.2922044834843598,1.3427508454682802,1.3808661799603434,1.4005269379560201,1.4124386899696633,1.4853246448807877,1.5798577849879338,1.5791324160708342,1.5538028074878782,1.5425052910554828,1.522370109440977,1.5018289749483464,1.5012460279650381,1.5350587262641893,1.5273688430700518,1.5201567970628551,1.5781313370447168,1.6081049495713362,1.7310726541898693,1.7838390117140976,1.7687154913759244,1.7740649939391675,1.8086771711517997,1.8411806293773874,1.94424021533,2.013876792438866,2.128513289891897,2.284721580716201,2.3891709085170727,2.4735331856493996,2.631117633728405,2.7592309933014456,2.904769456313356,3.0573599679937553,3.22257067595472,3.3835412506772578,3.5059396702463324
84-2802550,,,,,0,0.9946129328402596,0.999512173402997,1.0025873598865496,1.0022925093187405,1.0081475331337122,1.0091508775684455,1.008676550413896,1.1762716189348952,1.404713334149503,1.4810309596243914,1.4055580753049959,1.4646348019736375,1.7334954404116438,1.6833038724956257,1.6128892748293064,1.554944603905184,1.5162300024097668,1.4876001832742243,1.4309625094595848,1.4558944869903807,1.371990936211914,1.3457710439471622,1.3341456847622644,1.308204365267981,1.2938396403951489,1.2724204383618059,1.257504430047839,1.2720287604969125,1.2674714060482566,1.2548177274490508,1.248332278730514,1.2523460390342405,1.2464470296438774,1.2854057662106773,1.3091543940646637,1.3027521199378018,1.2966075976007383,1.3478098944680523,1.386549432887502,1.4067387528576059,1.4187157514409803,1.4932249523296788,1.5897512706995431,1.5886475076870887,1.5624570028123885,1.5507872038273685,1.5302808751551005,1.5092169049683057,1.5083086247482396,1.542676114258513,1.5345171263221635,1.5273305126200674,1.5861832520004406,1.6165314303679874,1.7410432118481298,1.7945967569363537,1.7791886622610709,1.7844606867020574,1.8195155034324773,1.852550181895774,1.9575283725205406,2.0286982892411944,2.145536362672734,2.3051812758737174,2.412069782404405,2.4983347811717143,2.659673745088307,2.7919528704725036,2.9416328997139387,3.098477976642368,3.2681837169761314,3.4352348118018643,3.5614678768859895
85-2802363,,,,,,0,0.9972015772493728,1.0039300737980525,1.0030342787433362,1.0114068755148677,1.0121954964616109,1.011183158265732,1.0093005940514657,1.2425575563357014,1.3322970633953086,1.2766471876545453,1.3314420438383914,1.6143923349513354,1.5696052247632752,1.5086133216967708,1.4568956556956942,1.4238009487422894,1.3993231389624938,1.3510192736372049,1.381702587043083,1.3086668802784978,1.2860249631296554,1.2762529006635852,1.254558474060638,1.242207854419876,1.2243228401977964,1.2117842609657994,1.2282862948777937,1.2248312129100518,1.213926420010599,1.2085632969250346,1.2145203615206464,1.2091887252395992,1.2490341361543695,1.273190398898772,1.2674254117038029,1.2619252599228585,1.3139570228453812,1.352921399864129,1.3738526233232649,1.385591669574507,1.4610833766581401,1.5575833052645263,1.557774387541743,1.5326857461486925,1.5214594877464844,1.5015894097316942,1.4810246412420474,1.5196450612860095,1.555501198950478,1.5469385886900509,1.5390244278694605,1.60053038318781,1.6470316330228645,1.7771970594301663,1.8341270490252184,1.8171906199756627,1.8219896365080532,1.8585391012177142,1.89356718345261,2.0051336737475998,2.0813259373547988,2.2063260915936436,2.3781667492402647,2.493983263294846,2.5867734266437705,2.7627395443965863,2.9069212378016256,3.071066993946915,3.2450402027741743,3.434059629282576,3.6204044254139545,3.7617527958674617
86-2802488,,,,,,,0,1.0144139112302653,1.007236582707615,1.017916060284515,1.0173821104876284,1.0152380978784072,1.0094129061926749,1.2507442574853764,1.3585091834131686,1.2878268114908535,1.2545439491794428,1.240875277465281,1.2264435078034583,1.2073078704968145,1.1855139508812889,1.1746647986318666,1.165727687120866,1.1477384066270793,1.187800570702378,1.1521668510006384,1.1415614918956394,1.137517243849914,1.1276142115478647,1.121498943454273,1.113722839397793,1.1074454153519224,1.1269634976744838,1.1263079696416718,1.1202798112112715,1.1178706983968127,1.127588619710872,1.1244179983227336,1.1627072726208114,1.186132108395961,1.1821114681761744,1.1786583139013642,1.2299222776006615,1.2662074785046975,1.3150332657980195,1.3273458254204513,1.399145463087338,1.492746845449263,1.501879037413424,1.5281123899431452,1.5167382162131988,1.4966264633576414,1.4761045438328038,1.5386723656388788,1.5759361561130165,1.5664785080591597,1.5582374142191633,1.6218174841003556,1.6702400766515102,1.804139091229144,1.8635053051518233,1.8452383828592274,1.849900928188161,1.887542628183902,1.9238019691668735,2.040776488514126,2.120120860095929,2.251830512770218,2.433258016504507,2.5553175371386243,2.65328915613302,2.8407230488062596,2.9944242084464143,3.170583859363645,3.358108579997615,3.561479834070608,3.7641556424296616,3.9186741008477006
87-2802472,,,,,,,,0,1.0010632880581862,1.019375064958434,1.0182291113255102,1.0154265923283468,1.0085248667844926,1.0131249337444632,1.073672631138173,1.06300077169948,1.0575808192326321,1.0532153715619035,1.0509670758179361,1.0498171434808687,1.041276024541305,1.0404970921619094,1.0391521864235218,1.0351736667229159,1.079753378544657,1.0625875824749638,1.0583827422303473,1.058291438932,1.054649747579687,1.0520511559617032,1.0493655368916277,1.0467430497441257,1.0676812182708697,1.0685510247395127,1.0651982330784924,1.0644169712753724,1.083760651893024,1.081304119158631,1.1192698289195682,1.1421935982054254,1.139109981843172,1.1373442256041408,1.2352035809649093,1.2727187254479295,1.3228495720807576,1.335207978812477,1.4092430501539042,1.50583307008913,1.5146885217349613,1.541123761183026,1.5291708868403269,1.5083589630413994,1.4865916559656434,1.550770975102508,1.5892625471751554,1.5793662659642642,1.5704598454340875,1.6356596190000308,1.6851999548952972,1.822043004625638,1.8829135591898238,1.8638315077791152,1.8686041079182356,1.9068287190775806,1.9441894697225206,2.0643181493168856,2.146358337436778,2.282458239246238,2.470383003001997,2.5973699824924723,2.6986989782653374,2.8940058458885085,3.0547591632813216,3.2380855958852126,3.4348932910682684,3.6503962630353257,3.864049000417987,4.027739180057167
88-2802448,,,,,,,,,0,1.0122148975922727,1.013854760532774,1.0112444139985657,1.003775162230168,1.0100938548969063,1.0785370364665876,1.0652466704969412,1.0583892501978598,1.0534179444609717,1.050938743966893,1.049998640848835,1.040758507401202,1.0396982296455424,1.0385475653094343,1.0341708574322008,1.081425547091711,1.0634891328323173,1.058868480250552,1.0596824785327121,1.0557811502556187,1.0530283014408617,1.0501713924315454,1.0474144348758354,1.0690297661922339,1.0698924921221338,1.0663749079303981,1.0655355122442114,1.0853976080240286,1.0829391327050062,1.121773364822751,1.145453752938134,1.1422177689443669,1.140239984307981,1.2411377438560547,1.2794809843468804,1.3312683678644683,1.344225860372067,1.4207835087512262,1.5206212723147834,1.5296400215574797,1.5568092357429104,1.544288597348958,1.521991743226704,1.4991573882667297,1.5651442927609773,1.6044948561963077,1.59421815742727,1.5849658386347398,1.6519455407694448,1.70252130460488,1.8428304791185703,1.9060161586581292,1.8859376955148373,1.8901485812052676,1.929399807594517,1.9678890543005618,2.092377575568796,2.1774667672796983,2.318665229165719,2.514210242618992,2.646863854699665,2.753153117452234,2.9578084731783876,3.1264614386739007,3.3207113192467657,3.5291836845566142,3.756300893905474,3.9852391283771964,4.160445824733704
89-2802421,,,,,,,,,,0,0.985812909793806,0.9937340799215785,0.9901934059266135,1.0011735712837742,0.9947543505153142,1.0000787748147553,1.00169942759113,1.0079708896444266,1.0084664870554245,1.0118074090089595,1.0053003885679928,1.0070811862311644,1.007480633630867,1.0067623258398266,1.0575446838117497,1.043132116429427,1.039791768532528,1.0607125133207322,1.0565423247058934,1.0536292447883462,1.0506068402332165,1.0477171958348372,1.0701392986115805,1.071003556752282,1.0673107209221393,1.0664142571671584,1.0868900024610377,1.0842171780036152,1.1243917111855444,1.1487184998905955,1.1455290584748992,1.1435281079811415,1.247725216477781,1.2875702243035563,1.341033845239739,1.354129146780381,1.4339031604778678,1.53755854474906,1.5465807396426616,1.5742575274746844,1.5607492175676045,1.5373566306779347,1.5129812346112346,1.5814940234409536,1.6221683800764506,1.611421460836078,1.6015958170354585,1.6704891716040495,1.7225957258799955,1.866737113829229,1.9320768500680074,1.9108338941619063,1.9149068024889908,1.9551579415865405,1.9947823400233229,2.1241346708697493,2.2129753250137387,2.3603908132586158,2.565224128764349,2.7046317149538543,2.815857475347821,3.031986733351546,3.210507817399244,3.4174698523412754,3.6400689816784486,3.88418744353544,4.130296252094881,4.319147754274788
