순번_정류장ID,1-2802855,2-2806505,3-2806513,4-2806524,5-2806522,6-2805659,7-2803386,8-2807643,9-2803399,10-2803395,11-2807644,12-2807645
1-2802855,0,0.9908718911367389,0.9990944122207293,0.9997286881734043,0.999071067436626,1.1427853596836808,1.067449511382913,1.08675011286721,1.1076290086155802,1.1372193231146537,1.196617638207967,1.1938158270315518
2-2806505,,0,1.0036518695271317,1.0035993827927623,1.0021009615384613,1.1413914831510756,1.0668680305525013,1.086863560122526,1.10842879742701,1.139146366339728,1.2007698956778996,1.1977901545784355
3-2806513,,,0,1.0034024359803124,0.9976279211108846,1.070513994274562,1.0244797210594612,1.044584504054295,1.0662763109304851,1.097190270587082,1.1595007619398026,1.1569467357723036
4-2806524,,,,0,0.9909590608183108,1.0520012806725676,1.0156980824294792,1.016801348457428,1.0285042397199269,1.0583008010706507,1.1185579667630055,1.1164877104196902
5-2806522,,,,,0,1.0050884728004759,1.0143441085809481,1.0154764444792437,1.0138776432603815,1.0274625576576588,1.0861831625793317,1.0845317294946302
6-2805659,,,,,,0,1.01432835765386,1.0154803587009633,1.0138542709224965,1.0132315425139005,1.0515095925034208,1.050292059156662
7-2803386,,,,,,,0,1.135230163996092,0.9914762179839226,0.9831335736288228,0.9978291389351082,0.9896421871221743
8-2807643,,,,,,,,0,0.8719018948768146,0.9285808645173501,0.9764775892086252,0.9705646773389706
9-2803399,,,,,,,,,0,0.9715470254831521,1.0005026748592185,0.9890139670796875
10-2803395,,,,,,,,,,0,1.0130928958147858,0.9947327828445993
11-2807644,,,,,,,,,,,0,0.9387531827730633
12-2807645,,,,,,,,,,,,0
