순번_정류장ID,1-2801174,2-2801729,3-2801711,4-2801704,5-2801695,6-2801216,7-2801184,8-2801665,9-2801636,10-2801601,11-2801577,12-2801607
1-2801174,0,0.9754004084923849,1.0000826150943543,1.0041726618705036,0.9976528035375604,1.0008708688230081,1.0002189002905106,0.9982453613115173,1.0007129614916044,1.0004479757268612,1.0202966663078659,1.3206242159041275
2-2801729,,0,1.0219174213264874,1.0222833690166102,1.0081248037661488,1.0104414668807558,1.0063774875400815,1.0026921278167154,1.0044755768937086,1.0036042150955131,1.0252222727662592,1.3648879848183322
3-2801711,,,0,1.0231768856339034,0.9924437914387663,1.0019677934244686,1.0003190360030718,0.9972675334969748,1.0009521615603163,1.000562349188172,1.0256901596753587,1.4230226283447207
4-2801704,,,,0,0.9661791869571189,0.9929061505468255,0.9960262901981826,0.9939215966708341,0.9989700904058306,0.9989288735954766,1.0258426404110632,1.4525277809082995
5-2801695,,,,,0,1.0196192147735512,1.0044283915549004,0.9988600388592239,1.0027907324205203,1.0019511301763062,1.0304199141550479,1.4984905918971656
6-2801216,,,,,,0,0.9984747024922165,0.9943614801982327,1.0005697650071674,1.0001544257728079,1.0313176062434792,1.5484819491723236
7-2801184,,,,,,,0,0.9892787848550365,1.0016327001309497,1.0007429654065247,1.0401569960815376,1.7481789553697467
8-2801665,,,,,,,,0,1.0102382313114306,1.0052786309784996,1.0543231728651699,2.0639443961772375
9-2801636,,,,,,,,,0,0.9987536155310344,1.0133493005524403,2.061187331542238
10-2801601,,,,,,,,,,0,1.0233487595781807,1.0076252136706112
11-2801577,,,,,,,,,,,0,0.9883674263047367
12-2801607,,,,,,,,,,,,0
