순번_정류장ID,1-2800563,2-2807520,3-2807504,4-2803359,5-2803214
1-2800563,0,1.0053122563345993,1.0103421803500399,1.0061040969035513,1.0060073599978199
2-2807520,,0,1.004314248756879,1.0029779601959372,1.0028967286861445
3-2807504,,,0,1.0018995925420942,1.0017693396591627
4-2803359,,,,0,0.9929306702730493
5-2803214,,,,,0
