순번_정류장ID,15-2801790,16-2801957,17-2801966,18-2801978,19-2801975,20-2801972,21-2801965,22-2801844,23-2801942,24-2801929,25-2801921
15-2801790,0,1.0030770607915318,1.003377027499344,0.9983079851828434,1.0098393999279869,1.002931086476809,1.0016619426304103,1.0018480182249572,1.0199980551274759,1.0650871948350054,1.0569973009170568
16-2801957,,0,1.003837805452974,0.9947110996982422,1.013383962370069,1.002871262870896,1.0012324006874271,1.0015185131924043,1.024266483333703,1.079874031162879,1.069063677646558
17-2801966,,,0,0.9859051183060561,1.0170351627301988,1.0016246489597782,0.9999854963423588,1.0005103013523764,1.027784569046954,1.0933533642245636,1.0797341984120041
18-2801978,,,,0,1.0530372967716308,1.0111312788936913,1.0048087493762903,1.0045987362261715,1.038490322924412,1.1186256742912246,1.0998728071691615
19-2801975,,,,,0,0.9651909378115727,0.9845129861521774,0.9891283996717347,1.0343625703174613,1.1353689681312014,1.1105448217187137
20-2801972,,,,,,0,0.9965501306797027,0.9989691230755935,1.0585192013835356,1.187025524156791,1.1486841825320966
21-2801965,,,,,,,0,1.0036590943741424,1.0055697612597787,1.0266982259889417,1.003832685690475
22-2801844,,,,,,,,0,1.0082161693810419,1.040087761861564,1.0039067034635618
23-2801942,,,,,,,,,0,1.0630528604459544,1.0019952721211551
24-2801929,,,,,,,,,,0,0.9042305255755294
25-2801921,,,,,,,,,,,0
