순번_정류장ID,1-2802961,2-2802981,3-2802962,4-2802925,5-2802905,6-2802885,7-2802851,8-2802823,9-2802783,10-2802757,11-2802733,12-2802706,13-2802625
1-2802961,0,1.0310120370474827,3.1978721446673974,2.297043791435698,1.899677517272154,1.601255852623288,1.485979783321696,1.4308684287824809,1.337780757001885,1.2772262187602539,1.2493960416634147,1.2180081312728728,1.2062057423573338
2-2802981,,0,0.9994315264891125,0.9984203998078832,1.0019832097360555,0.9970336331252476,1.001434726774648,1.0012633566653173,0.9989252135514421,1.0010377586107158,0.998260943497376,1.0003691205894951,1.001122520762038
3-2802962,,,0,0.9975397876103876,1.0034442609034804,0.9952072049847311,1.00202535720641,1.0017393318701169,0.9988223659913541,1.0017123674496569,0.9984589225660805,1.0004899639692506,1.001630739762856
4-2802925,,,,0,1.014772118411359,0.9950839430641346,1.0043211227105082,1.0035240623907424,0.9992118409617132,1.0026804726781045,0.9981989841461137,1.0006229430099924,1.00193804520721
5-2802905,,,,,0,0.9824320253069219,1.0005190756495677,1.000322847731429,0.9962811826422604,1.0010171253516333,0.9962042452599668,0.9992155866757987,1.0007597677424216
6-2802885,,,,,,0,1.0205184830579248,1.0123781073295637,1.0009068041503557,1.0053406786569707,0.998758436621411,1.0017951394359539,1.003364321963864
7-2802851,,,,,,,0,0.9996108928091896,0.9917266034100983,1.0013199890402031,0.9948180476037239,0.9992969615089293,1.0013553306672498
8-2802823,,,,,,,,0,0.983786881480433,0.998331562769539,0.9914549206758672,0.9973440126822595,0.9998334000111065
9-2802783,,,,,,,,,0,1.0138300254887112,0.9974602863991835,1.0033840170543153,1.0057725005965341
10-2802757,,,,,,,,,,0,0.9663342808828835,0.9960032974303252,1.00139952747137
11-2802733,,,,,,,,,,,0,1.0135484845795748,1.0154083679215633
12-2802706,,,,,,,,,,,,0,1.019274546216977
13-2802625,,,,,,,,,,,,,0
