순번_정류장ID,1-2806577,2-2805488,3-2800272,4-2803582,5-2803603,6-2803602,7-2800274,8-2803847,9-2803599,10-2804712,11-2800276,12-2800277,13-2803597,14-2806642,15-2804030,16-2800279,17-2804029,18-2800282,19-2800284,20-2800285,21-2803933,22-2800287,23-2800288,24-2804793,25-2800291,26-2800296,27-2800298,28-2804064,29-2804535,30-2804537,31-2806644,32-2806646,33-2806647,34-2806650,35-2800259,36-2800058,37-2805220,38-2803619,39-2804455,40-2804456,41-2804526,42-2804457,43-2800045,44-2800035,45-2805398,46-2805723,47-2805418,48-2800053,49-2800024,50-2800429,51-2807089,52-2800492,53-2805286,54-2800486,55-2800477,56-2800474,57-2800329,58-2800365,59-2800454,60-2800461,61-2800463,62-2800466,63-2800470,64-2800353,65-2803672,66-2800309,67-2800480,68-2800491,69-2800494,70-2800496,71-2800499,72-2805303,73-2800511,74-2800514,75-2800516,76-2800518,77-2800522,78-2800531,79-2800349,80-2807211,81-2800534,82-2800386,83-2807091,84-2805588,85-2803765,86-2800561,87-2805675,88-2803658,89-2806657,90-2805025,91-2807279,92-2805574,93-2804896,94-2805037,95-2805221,96-2805232,97-2805872,98-2805230,99-2807093,100-2805331,101-2805579,102-2806912,103-2805449,104-2805840,105-2805330,106-2805560,107-2805838,108-2805334,109-2800391,110-2807317
1-2806577,0,1.1635657191987931,1.0567704333812826,1.047482040667889,1.0450566052862142,1.037277499552774,1.034165398623991,1.0425139177100975,1.0284531279801779,1.0276273541039191,1.0264176868303307,1.0244260287683282,1.0210956883969218,1.018377423088792,1.0179203037570885,1.015917674685618,1.0139823687661815,1.0145528640758465,1.0140518759827795,1.0118273004934106,1.0127655630885652,1.010738553477487,1.0105674724571472,1.009926357358218,1.0091087315142397,1.0090754922817697,1.0093262696925889,1.0120016366198337,1.0114753201355338,1.0116862070230987,1.0120832309357677,1.0113830959274177,1.0113665636289635,1.010660922000092,1.1456442437677488,1.1253205763795968,1.1185539552878998,1.1160563934383783,1.1133194653197573,1.172117449125897,1.2103695182296783,1.2463484167184864,1.2977843732691805,1.561572665299184,1.6032282043628798,1.5872361353006161,1.5716727525251153,1.5498031407977229,1.500355259684504,1.482697834023777,1.4486328363156658,1.4420396238594995,1.4374523303813918,1.431476623508759,1.4747754449175514,1.4845886751151758,1.4949925932683974,1.501045842952373,1.503175089289879,1.4923073667700195,1.4888944529696713,1.48233440442342,1.4778936458725664,1.4854605546681465,1.4913965118002346,1.4834067464893026,1.480304355707068,1.4756879443898048,1.4694746228874298,1.4628430239790624,1.4581479629115341,1.4428532087610737,1.4373980461884803,1.4325336223085874,1.4307070959665877,1.4289057011355852,1.4261865725965372,1.4212410076703397,1.4200647776326965,1.4146538195823348,1.411072055563062,1.401306962658136,1.39785647275363,1.3949437891372112,1.3973993068575223,1.411521976216121,1.4607702482568812,1.4483442935418667,1.439080016688644,1.435206900690791,1.4327582882878052,1.4268155801426727,1.428289771447407,1.4236246799735666,1.4211031650177568,1.4171190677772185,1.414919477553704,1.412457892453482,1.4085954785786374,1.4061386911679112,1.4027667064760359,1.3986932860402224,1.392595871141361,1.3933503475945301,1.3918938610312008,1.3893658640284567,1.398694229894642,1.4171467253649297,1.4066542499946906,1.4040600482949297
2-2805488,,0,0.9937551860976042,0.9989318868348576,1.0029910926734393,0.9969835647870999,0.9982974142610239,1.0140444901412675,1.0029303383962764,1.003625675170638,1.004140078576277,1.0035237639940116,1.003080728208138,1.0031719844352038,1.0031195281685878,1.002307329351493,1.0016532057492704,1.0030170725836167,1.0036867055458312,1.0018762429840984,1.0038146595112833,1.0028005225421768,1.0028419243324127,1.0023689113701095,1.0020077193433803,1.0022036156913452,1.0025120054808536,1.0057819971632203,1.0053591176853998,1.0056479335499517,1.006472060631127,1.0060072426140214,1.0060854871866052,1.0055436080925872,1.1109096327805528,1.0953367018437428,1.090191946754493,1.0882518302455986,1.086194358456834,1.1227954814215766,1.1595005767954267,1.194115259215844,1.243478108672084,1.4959930802907833,1.5384866046408503,1.5245075147874985,1.5107617228969563,1.4917194379631964,1.4481499660058605,1.4324638567370511,1.402382263162114,1.3965628787902586,1.3924959416202798,1.3872095480084232,1.4291679119377954,1.438856322716734,1.4491959510890238,1.4552816555864039,1.457545101508424,1.447864423265083,1.4447656306221888,1.4388696808210653,1.4348978826864498,1.4427155320046179,1.4485509842727329,1.4414179928417228,1.4385557505602824,1.4343764635954133,1.4287651233249097,1.4228618960735504,1.418570813680593,1.4048355309636602,1.399872739090192,1.395524988892334,1.3938918675299456,1.392223763823415,1.389752498241235,1.3852781533179692,1.3842655155113637,1.379304337520295,1.3761670162065947,1.3673265976464914,1.3641247780796102,1.3615624130175696,1.3641294050419621,1.3779527748774485,1.4260931070771385,1.414717665516606,1.4062761917285111,1.402684543047,1.400456352537348,1.3950369879300304,1.396526151428921,1.392197582095316,1.389978350224342,1.3862465633801988,1.3842659038413425,1.3820126134508477,1.3784354222401127,1.3761777700862496,1.3730682037306428,1.3694069541146467,1.3637462636408908,1.3646984565995752,1.3633213834552342,1.3609987749496826,1.3701587109538682,1.3881744022891351,1.3787034613416005,1.3764195878027834
3-2800272,,,0,1.011532534672168,1.0169355100451138,1.0007846095049113,1.002321584162187,1.027490770045012,1.0072508182856668,1.0078404032967971,1.0080848447335822,1.0068602354147034,1.0056242293618487,1.005204041232465,1.0050678406798985,1.003890747817213,1.0029355913355291,1.004415722992875,1.0050089069653199,1.002891697618422,1.0049397590071774,1.0035694994266955,1.0036812536138418,1.0032279178067576,1.0027961204555325,1.0029703574266942,1.003288005649182,1.0067747988132483,1.006138846790051,1.0065732628180504,1.0073350614126582,1.0067976249776733,1.0069234871095043,1.0062434953619048,1.101707227418699,1.0868647743198985,1.0820155345337648,1.0801756137512453,1.0782540513101777,1.0755616923158158,1.0743420205765486,1.0991171644596907,1.1441783108296424,1.3737259569558578,1.417060100332989,1.4068098116390215,1.3963796644044715,1.3826418014887578,1.3499661912493648,1.3382598422714143,1.3156490597382788,1.3113210315187827,1.308273978992333,1.304271117803608,1.3433533182212476,1.352508759164275,1.3626255718113,1.3687068052849156,1.3711885957641132,1.3636404024248885,1.3612436944454385,1.3566042301875778,1.353518000124248,1.3617127711469823,1.3673101683034514,1.3615983097664621,1.359395980017021,1.3560478103806997,1.3516722043322618,1.3469578962738957,1.3435324348240871,1.332662743994302,1.3287689414668777,1.3251420932838267,1.3239176610216308,1.3227184452035934,1.3206777198503439,1.31709869815202,1.3163501669746955,1.3122100090357764,1.3098288296303666,1.3027504136024917,1.3002216897282382,1.2980151487004068,1.300992607786741,1.3140453994316919,1.3598543171283726,1.3504987640629813,1.343596015209274,1.3406262364425359,1.3388200823170069,1.3343674805430035,1.3359112706665965,1.3323417484357938,1.3304419800283576,1.3274881468989577,1.3257125614169532,1.323929188369303,1.3209040400850471,1.3190633779498542,1.3165274775727573,1.3135147376551406,1.3088317003214984,1.309910825060894,1.3087886792102095,1.3068932564995117,1.3156490183167764,1.3328721463415816,1.3253189865284325,1.3234628304533373
4-2803582,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0037044131215596,1.0048177876607989,1.0055015545247317,1.00438199354062,1.0035533518787725,1.0035667849916887,1.0034821023748846,1.0023980072200611,1.0015719950566144,1.0032505487041037,1.00402352269124,1.0018560291708656,1.0041161436885901,1.0029157160344622,1.0029575535211352,1.002517588179581,1.0021047251248365,1.0023187284125947,1.0026602383997703,1.0061992767076566,1.0057216732868217,1.0061057294821405,1.0069123965947793,1.0063820001790105,1.006524544789946,1.005848096620488,1.1010690288793001,1.0860393581520824,1.0811513275478657,1.0792974164744145,1.0773660195470236,1.0746637600194362,1.0734396740651917,1.0723585195041572,1.1055671431309626,1.3265160991905915,1.370101708386929,1.3612116642432284,1.3520892645857379,1.3402049979045323,1.311639686174314,1.3013354169585545,1.2815000115195125,1.2777119955040759,1.2750286612516724,1.2714633861964002,1.3094602320861355,1.31855144368702,1.3285788460263548,1.3346548528760724,1.3372168441963537,1.3304716528158733,1.3283396018012958,1.3243167289631383,1.3213756903682337,1.329754944615494,1.335259856840867,1.3301784017567369,1.328133495021038,1.3252364228611042,1.3211553199508579,1.3170625246198446,1.3138345841989132,1.3040561847346925,1.3004295740017602,1.297276746727944,1.29615048167971,1.2951532158847059,1.2933338633203812,1.2900178694756979,1.289314537783032,1.2855449969829578,1.283453447931346,1.276977102660656,1.2748022231856384,1.2728674539771814,1.2757937072755148,1.2885987006197464,1.3334995916668584,1.3249208970228317,1.318558634689316,1.3158292056807546,1.3141862045652717,1.3102288271921252,1.3117728088865084,1.3084165246565838,1.306684797525736,1.3039046641634076,1.302369488191001,1.3006711443269114,1.2980561566768956,1.2962622039794485,1.2938496506739412,1.2911541898481278,1.286882554309212,1.2880240039868642,1.2869555102640693,1.2851813257578049,1.2938232397733307,1.3107353651776161,1.3040030639666225,1.3022995953138632
5-2803603,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,0.99991932863826,1.001689622640305,1.0029209810925535,1.0020130328605947,1.001696729517234,1.002162878453043,1.0021313603006807,1.0011591337701555,1.0004660204646487,1.0023012518745318,1.0032257806497389,1.0010368473280387,1.00345890232309,1.002323490138544,1.0022875620800993,1.0018659547476891,1.0014760076627764,1.0017261140945521,1.0022663357880832,1.0058071216251134,1.0054132359085965,1.0056548873136544,1.0064988789099871,1.0060536387147865,1.0061388125909563,1.005471890547049,1.1022285672097762,1.0868905855793662,1.081835191518603,1.0799443705033536,1.0780273871980677,1.075268802653156,1.0740206563838255,1.0728685110317235,1.0825821515590328,1.2984633730977486,1.3421822137329238,1.334078874452044,1.3256113464344998,1.314905013411143,1.2887524745847603,1.2792466131969351,1.26103543538797,1.2575169186284623,1.2550940819184007,1.2518143424728785,1.2891240345758863,1.2981159611628958,1.3079920918856216,1.3140638314030997,1.316818822467165,1.310545893962547,1.3085695729994498,1.3046836168191034,1.3019912182911586,1.3104952869746065,1.3158529545079696,1.3110890592395201,1.3093290632812882,1.3063489809410547,1.3027035770874835,1.298812786408342,1.2959113438286718,1.2867389501655941,1.2834674739694816,1.2804152154338586,1.2793721177383006,1.2783915691809755,1.276718950182132,1.2736085606346368,1.2730329477145466,1.2694591526567145,1.267464465555226,1.261538427353719,1.2593247108260048,1.2575078036319542,1.260564130458297,1.2731261284770432,1.3175942544601402,1.3094031370292014,1.3034581636993146,1.300835791873362,1.299325235286156,1.295458026569317,1.297058554385155,1.2938520013795773,1.2923233064387925,1.289654871173465,1.2882337315227845,1.2866608573292186,1.2840555364762045,1.282351769700901,1.280236049976676,1.2775608250654318,1.2734847751227418,1.2747262442104175,1.2736782264541662,1.2719960555995253,1.2806124194153843,1.2973065650963684,1.2909962554910897,1.289384769825117
6-2803602,,,,,,0,1.0069899670698306,1.0550035537868472,1.0081583690323275,1.0089484655413707,1.0091282824025163,1.0072589043626705,1.0055487151667166,1.0050541024691828,1.0048953676884567,1.0035222257635834,1.0024677273848968,1.0042018792357879,1.0048987850987159,1.002538917418837,1.004841865367466,1.0034778773877648,1.0033872488568383,1.0030133761563675,1.002461186240126,1.0027582415103231,1.0030118486764794,1.0067485846522617,1.0061563803182063,1.0066178784773372,1.0074237245957576,1.0067768359292932,1.0070532611946617,1.0061952872176914,1.104065766568062,1.0883014838952598,1.0831736019447644,1.0811242121508717,1.0792139121333868,1.0762805457557583,1.0750047296892773,1.0739798271475036,1.0721156967024463,1.2787104909700155,1.322565292049531,1.3149440046602987,1.3071016879471387,1.2970472091145124,1.2725405271831414,1.2637339115236665,1.2466046548426868,1.2433542684052503,1.2409418127426108,1.2379531014039313,1.2747604111486606,1.283680372675727,1.2937086198565557,1.299776079411712,1.3023207689848486,1.2963806927899217,1.2945141256412351,1.2907795155209567,1.288409125334123,1.2968297543942318,1.3023296043964931,1.2976960601897176,1.2959503356069542,1.293234555306294,1.2895940384842615,1.2860342582276818,1.2832274528225414,1.2745099108262943,1.2714010509135314,1.2685555023142483,1.2675703806807281,1.2665412384766328,1.2649052930953681,1.262129755859469,1.2614371853206279,1.2579647898205384,1.2561666883949307,1.2505585287540304,1.2484116158825573,1.246712497921218,1.249737777342933,1.2622492314108154,1.30621423259631,1.2984251921532421,1.2927576429858405,1.2902713931364724,1.2887236511290576,1.2851580880806497,1.2867044126927278,1.2836365802633287,1.2820421763747665,1.279477812131155,1.2781134377086942,1.2765730073106716,1.2741681135041731,1.2726245175570496,1.2705048988755547,1.2679365490812475,1.2640827317582197,1.2653802091282282,1.2643378364254803,1.262720051292837,1.2711803206810526,1.287802766192103,1.2818719775333605,1.2802039878947549
7-2800274,,,,,,,0,1.089891755286435,1.008485077966335,1.0093979237165809,1.0095244271909425,1.0073005708618477,1.0053898770776521,1.0048996849305671,1.0047361295102555,1.0032956734013545,1.0022167538167106,1.0040601830689564,1.0048073055696825,1.002357976043977,1.0047650825181713,1.003371629156405,1.0032835067289123,1.0027978768597712,1.0023429420451517,1.0026535886189856,1.0030089564151778,1.0067430015143524,1.006224887123744,1.0065259274482479,1.0074326283564212,1.0068479616888548,1.0069816334203632,1.006249895722246,1.1057750149643986,1.0894527492268875,1.0841258537375482,1.0821420869188865,1.0800679587791988,1.0771696199769927,1.075914329782988,1.07481121678163,1.072956883272884,1.2490142299157905,1.2928476720491493,1.2860990944069304,1.2789933097508959,1.270145790870398,1.248071919616803,1.2400480296722391,1.2246612588188392,1.2217413162995496,1.2195987318377395,1.2169053155733374,1.2530373501212149,1.2618974610190576,1.2715846487970088,1.2776919150917512,1.2804732833228927,1.275117172525067,1.273367409920543,1.269969557497747,1.2677151142820198,1.2762612561369535,1.2816557642906052,1.277397792048488,1.275807070025483,1.2732857552633268,1.2699560229060165,1.266611667405316,1.2640508117915388,1.2560105711866267,1.253144009371872,1.2503732779652863,1.249399629130898,1.2486648260508975,1.2471413261181752,1.2444653926366103,1.2439390759195137,1.2407101500048578,1.2390560580449699,1.2337626753926998,1.231770979138825,1.2303680250084639,1.2333850050661392,1.2456099238859106,1.2891744193024945,1.2817984732357477,1.276282785858706,1.2739493470093586,1.272609383024088,1.2692877330152754,1.2708909729553644,1.2679471832558251,1.266492987830191,1.2641491580645023,1.2628042055746325,1.261426409457776,1.25917212472824,1.2576264332379914,1.2555860000651624,1.2533656474355002,1.2495978672868797,1.2508418330698217,1.2499469372706025,1.2484873685861855,1.2569141965295971,1.2732744098886244,1.267675050285103,1.2662856842405061
8-2803847,,,,,,,,0,0.9492689691034362,0.9660111027064449,0.9773500555015032,0.9812037820342053,0.9878704813095187,0.9927360558675136,0.9931884613557209,0.9933695444143726,0.9938185279770888,0.9965584417084358,0.9984631896347061,0.9963457667964303,0.99963827232039,0.9990066596884055,0.999364084214391,0.9989323309064096,0.9986672128641795,0.9990880401545844,0.9995355990377874,1.0035482134458227,1.0030912704594546,1.0036194216361727,1.0046274074731734,1.0041803716493372,1.0044101382628527,1.003800949796016,1.105785534131455,1.0891242507261427,1.0837735766804477,1.0817598322890691,1.0796577629871733,1.0767244817157808,1.0754021482944642,1.0742360652868739,1.072414135706995,1.2081105802037726,1.252157485800402,1.2464834897943649,1.2403023226447831,1.2329902665728956,1.2141885223517899,1.2073585116479029,1.1942985677801987,1.1918248883203888,1.1899850165376287,1.1876072159971716,1.2229165278414982,1.2315887657742195,1.2414731975339406,1.2473923224155061,1.2501454936945904,1.24545454193232,1.2439270481729015,1.2410111851558838,1.2390370924848433,1.2476945567979967,1.2529659879990627,1.249157112102966,1.2477771907530069,1.2454381398376453,1.242555378226911,1.2396206194557648,1.237376820688995,1.2302589132098039,1.2276851743198216,1.2251026795928914,1.2244352855571459,1.2237260744618903,1.222356145177123,1.2200079669986017,1.2195175181417377,1.2165349416722466,1.2151996231846027,1.210449820098878,1.208736953615074,1.207362296631989,1.2105325398217741,1.222649856610406,1.2652525601482245,1.2586151964593972,1.2537001078672907,1.251571923380177,1.2503371364245126,1.2471823321271613,1.248882414232249,1.246186694456532,1.2449418198200597,1.2427437411732527,1.2416110930425324,1.2402391592689248,1.2381607236068055,1.2368073103033268,1.234992518510041,1.2328961803486285,1.2295505459744847,1.2308782027021894,1.2300869690221237,1.2286708388859984,1.236910046714291,1.2530586606411083,1.2482374826436402,1.2468058071539445
9-2803599,,,,,,,,,0,1.0135769334942013,1.0115628788294777,1.0058287956673644,0.9957541602799309,0.9987688990403463,0.9989373541554479,0.998112555232921,0.9977411822447629,1.0004475517276141,1.0019265168583165,0.999304215704089,1.0024812528871223,1.001313925683644,1.00157316124983,1.0011201033285062,1.0007140832859065,1.0010429114860806,1.0014698281661865,1.0056104201685558,1.005076275870418,1.0055438502869771,1.0064913937559017,1.0059174785103047,1.0060943513761675,1.0053640439986888,1.1115094539835728,1.0933558562450363,1.0875665854907504,1.085402940642504,1.0831338380553523,1.0799700635123899,1.0785503733213864,1.0772996576495897,1.0753596338460012,1.1551981942853968,1.1994326775227864,1.1950991539274356,1.1901479919327356,1.1847557951512846,1.1700156266198658,1.1647824009065868,1.154561967672731,1.1525310913170954,1.1511180525942677,1.1493749955980916,1.1834917154589744,1.191942816936556,1.2016818697378255,1.2075989957696083,1.2104353368963574,1.2065064498748825,1.205428521512516,1.2028072384711948,1.2012332616929138,1.2100341079839625,1.2152047358770663,1.2119306417843243,1.2108608138574144,1.2090610849643046,1.2064453630994985,1.2041507007177499,1.2021090566771828,1.196325615172463,1.194069610838551,1.192041502392089,1.1914154872302687,1.190780121745544,1.1896080933768987,1.1875999119091112,1.1873414703974514,1.1846542923894015,1.1835689051871856,1.1797326638099614,1.1782889316926346,1.177064538119655,1.18027966837383,1.1920784016409223,1.2336723531403133,1.227928670218742,1.223622858494209,1.2217619474952541,1.2207087448977139,1.2180848929032313,1.2197919285694394,1.217342397449122,1.2162522026738245,1.2144520807946868,1.2134067922638365,1.2121802534976696,1.2103710388755295,1.2092440554718904,1.207651446261047,1.2059250371318213,1.2030059570650176,1.2042595756680676,1.203564240341431,1.2024081515691212,1.2103978584664512,1.226223177209391,1.2223440578169735,1.221005193269768
10-2804712,,,,,,,,,,0,1.0100542835167436,1.0029424875760617,0.9928431937147508,0.9973661315114888,0.9976470179718173,0.9970138137364567,0.9968384519699881,0.9997801205430271,1.0014357404996028,0.9987545445752424,1.0021149224951142,1.0008466404394607,1.0011380798533298,1.0005760320253638,1.000192362104869,1.0007718073659992,1.0010063496140649,1.0052517501386176,1.0047166178887834,1.0052090012821862,1.006192436473986,1.005626403173692,1.005816776568281,1.0050916389107079,1.1129673485390312,1.0942159890628502,1.0883050751606167,1.0861000309702444,1.0837860988328218,1.080674634909919,1.0791164434113567,1.07784372149976,1.0758722737976352,1.156649113467059,1.2012804512527275,1.1968627502956402,1.191827584627863,1.1863273228384665,1.1713422999370844,1.1660255836627558,1.155608264675686,1.1536732441056345,1.152198252380166,1.150348219822963,1.1847702679880185,1.193327170094281,1.2030063900960581,1.2090925960422043,1.2119448066274083,1.207958183612902,1.2067375239420597,1.204206133513042,1.202609081240022,1.2114606002780186,1.2166677212781836,1.2133510958179912,1.212264486493253,1.2103221429775806,1.207791823808247,1.2053486481990345,1.203397124990938,1.197390533015198,1.195217069524281,1.1930587048688424,1.1924245774798814,1.191921975693237,1.190736548995655,1.1887043860712674,1.188302716964349,1.1856929242196848,1.1846252353947573,1.1806117273693877,1.1791527774269959,1.177980932674753,1.1812742937783511,1.1931123391806393,1.2349598642274406,1.2291187159558215,1.2247996027295287,1.2229191003552133,1.2218537108296856,1.219200502757218,1.2209461159442487,1.218410861670902,1.2173398327171445,1.215397294001044,1.2143728640551894,1.2132261902061259,1.211368335602844,1.210170219033162,1.2086511285773593,1.2067889837676073,1.2038433232409453,1.2052445037248476,1.2045137462508642,1.2032607528594608,1.2114063188731057,1.2272572389152816,1.2232434621074122,1.2220055073278369
