순번_정류장ID,18-2801631,19-2801663,20-2801672,21-2801654,22-2801609,23-2801181,24-2801508,25-2801506,26-2801528,27-2801543,28-2801572,29-2801585
18-2801631,0,1.030393951954936,1.0049646983263556,0.9961428083589291,1.0030357788740114,1.327564761065433,1.260108673697125,1.2185076252403242,1.1844671483792586,1.1751427246565487,1.1694729206652843,1.161185833271191
19-2801663,,0,0.9707366666666667,0.9765595930232558,0.9923013238552292,0.9952856010839713,0.9961237026053801,0.9955529734719178,0.9964460293292732,0.9957059930350686,0.9978658847321119,0.9982419867118876
20-2801672,,,0,0.9810618556701032,1.0012633958751231,1.0024879125005866,1.0017554627130552,0.9996383724675785,0.9995033685360524,0.9989472458992132,1.0012184904065504,1.0010647658624232
21-2801654,,,,0,1.0247406129441927,1.0155891474822865,1.0100803545596986,1.0046635436936187,1.004014271490209,1.0025557945817154,1.0050529664237098,1.005083053629334
22-2801609,,,,,0,1.0054276972196354,1.0023188460965033,0.998572406090946,0.9986419749738292,0.997895189895401,1.001199486436892,1.00152920185302
23-2801181,,,,,,0,0.9994845454600585,0.9959951136134879,0.9969044228856401,0.995365003098011,0.9995832296148786,1.000124108375053
24-2801508,,,,,,,0,0.9935463553823992,0.9958967375214638,0.9939493462230563,0.9996134705512877,1.0002973967922224
25-2801506,,,,,,,,0,0.9988464095833456,0.9943360475657663,1.0043165087905364,1.0045432525673728
26-2801528,,,,,,,,,0,0.9796844232787711,1.0131539211541283,1.0102634261494716
27-2801543,,,,,,,,,,0,1.0462695149897436,1.023953491081519
28-2801572,,,,,,,,,,,0,1.0055183175515126
29-2801585,,,,,,,,,,,,0
