순번_정류장ID,1-2803214,2-2803360,3-2805324,4-2803140,5-2807621,6-2807597,7-2805549
1-2803214,0,0.9996961797313901,1.3211354135436448,1.1080257322205376,1.100564478242997,1.0947328334367161,1.1410401520689044
2-2803360,,0,0.9980042944626561,1.0076993429187984,1.006867714795282,1.0072017003125286,1.0748244320749956
3-2805324,,,0,1.0067299073934621,1.00585277787353,1.0063284105432306,1.0825345526864751
4-2803140,,,,0,0.9975458175644685,1.0044586055363691,1.2428649955277238
5-2807621,,,,,0,1.0006226066604336,1.3093346481134733
6-2807597,,,,,,0,1.3915450397520734
7-2805549,,,,,,,0
