순번_정류장ID,1-2802896,2-2805500,3-2802634,4-2802843,5-2802793,6-2802780,7-2802769,8-2802743,9-2802750,10-2802766,11-2802777,12-2806749,13-2806751,14-2806752
1-2802896,0,0.9899074128971673,0.9954234539102519,0.9953351835880737,1.001463694618239,0.9962427567021,0.9992316901989925,1.0877844716089897,1.24685392067778,1.450237558147805,1.3800669812114137,1.3426496186233061,1.309245021839749,1.31131330451312
2-2805500,,0,1.0013078109570483,0.9987189824378933,1.0057610381961313,0.9983175844370922,1.0017985185387983,1.1092064565793325,1.308324864688519,1.5709556026239486,1.4662650230773229,1.4081420461929948,1.3616632588126225,1.360156648735498
3-2802634,,,0,0.9950755748512623,1.0081457698566108,0.9969929011860279,1.0019691898078993,1.1370578746383921,1.3970838396111787,1.7566391515080577,1.5877109071947058,1.493871575883558,1.427196793061329,1.4197698573530442
4-2802843,,,,0,1.0072900125256146,0.991335547058253,0.9995215512995509,1.1651900166372238,1.4954615613885485,1.9776334397053412,1.7171482370681699,1.5777176802161899,1.4881497585136738,1.4737769104254115
5-2802793,,,,,0,0.9434375852159502,0.9905089773646,1.2571280646024243,1.8538637150662443,2.9223322437011663,2.140074897011405,1.80925280530393,1.6428349853270585,1.6050121366798034
6-2802780,,,,,,0,1.0201501187146456,1.2127371491570582,1.6788487815231954,2.7368160744085426,2.0068841145526934,1.7131223386388998,1.564487284912174,1.5361331620256453
7-2802769,,,,,,,0,1.3154262914815655,1.2401476347711777,1.4214111708345234,1.266281984886886,1.2225474774510998,1.1838740564273809,1.2012646170244425
8-2802743,,,,,,,,0,1.0101190275320469,1.0079579532512044,0.9634808859027293,1.0113858600394827,1.0104460139579585,1.0543216866030571
9-2802750,,,,,,,,,0,0.9916716348460834,0.9425996095106535,1.0079388149915298,1.0077363451394532,1.0571974824884036
10-2802766,,,,,,,,,,0,0.9063945067324715,1.0048269101143241,1.005537755527743,1.0645058554453062
11-2802777,,,,,,,,,,,0,1.0852154483121208,1.050302719815522,1.1190372226066556
12-2806749,,,,,,,,,,,,0,1.0071345184470912,1.008181310025916
13-2806751,,,,,,,,,,,,,0,1.0030758865144347
14-2806752,,,,,,,,,,,,,,0
