순번_정류장ID,8-2807567,9-2807571,10-2807570,11-2807564
8-2807567,0,1.0122256747438032,1.012812783872976,1.0126474653663442
9-2807571,,0,1.1003451676528597,1.0442928039702235
10-2807570,,,0,0.9875124875124875
11-2807564,,,,0
