순번_정류장ID,1-2800727,2-2800691,3-2800667,4-2800340,5-2800624,6-2806214,7-2803502,8-2807466,9-2803415,10-2805157,11-2805161,12-2805163,13-2805165,14-2806237,15-2805979
1-2800727,0,0.9775736671894736,1.0013735829340227,0.9992302264082897,0.9997097310729436,0.9997489360189176,1.033949361728937,1.0236803878420133,1.0186850977475024,1.0158472141268045,1.0159107773142002,1.0149727661471473,1.0155070562404382,1.1115331424746344,1.1174609805023694
2-2800691,,0,1.0169935801524457,1.0085289450747557,1.0064716086062695,1.004608401816136,1.036754902331544,1.0252867972551416,1.0197422842230024,1.0168673263477608,1.0168806508128738,1.0158042592528054,1.0162641401885095,1.1143712551529747,1.1203451426005666
3-2800667,,,0,0.9925132929446135,0.9973102475305932,0.9983998986164804,1.001691552529605,1.0007087634363765,1.0016216763001298,1.0002572607355997,1.0011679569958494,1.0007901763209157,1.0015872779375687,1.1015569573712354,1.1077016103591841
4-2800340,,,,0,1.0013994824486168,1.0005211209303444,1.001903782436902,1.0008242925570372,1.001771981860586,1.0003245705345731,1.0012486191344516,1.0008603836886003,1.0015949653750307,1.1032655933941826,1.109517154599037
5-2800624,,,,,0,0.9998788891714808,1.001930998472507,1.0008035488245781,1.0017816773810628,1.0003425660358751,1.0012452572299693,1.0008879978155987,1.0016760139085423,1.105442230915409,1.1118257833769447
6-2806214,,,,,,0,1.0020941668913628,1.0008515787618788,1.0018517609845,1.0003132609621561,1.0012458537143354,1.0008779211463172,1.0016892080844986,1.1084883380486454,1.1150604913865831
7-2803502,,,,,,,0,0.9985104050895803,1.0016425714937345,0.9991127004702564,1.0007629444888868,1.0001475305057554,1.001514687067269,1.1690937678448756,1.1794752336163195
8-2807466,,,,,,,,0,1.0042895882673337,0.9993590744306255,1.0018468801758036,1.0009133716419985,1.0027792077202151,1.2429077784956373,1.258130428050913
9-2803415,,,,,,,,,0,0.9866616982795443,0.9980520456081966,0.9969369688460104,1.0012443142996583,1.4942640832941998,1.5272001414644092
10-2805157,,,,,,,,,,0,1.0171294703609777,1.0058692350084046,1.0122265454815513,1.8250881393359697,1.8831821864214078
11-2805161,,,,,,,,,,,0,0.9937180584463695,1.0082205410918226,2.33975986560619,2.4443887128164
12-2805163,,,,,,,,,,,,0,1.053424717156485,4.278793852357665,4.6244846417056324
13-2805165,,,,,,,,,,,,,0,3.143259140543239,3.3873167907529487
14-2806237,,,,,,,,,,,,,,0,0.8802249880001892
15-2805979,,,,,,,,,,,,,,,0
