순번_정류장ID,1-2801795,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801659,12-2801647,13-2806781,14-2801568,15-2801498,16-2801479,17-2801473,18-2801486,19-2801519,20-2801571,21-2801610,22-2807616,23-2807617,24-2806090,25-2800225,26-2800217,27-2800210,28-2800187,29-2800177,30-2800143,31-2803592,32-2801030,33-2801024,34-2801003,35-2800959,36-2800841,37-2800840,38-2800839,39-2800981,40-2800535,41-2800544,42-2804975,43-2800560,44-2800569,45-2807222,46-2800563,47-2807520,48-2807504,49-2803359,50-2803214,51-2805065
1-2801795,0,1.0185415530997572,1.0109883908669386,1.0081365911567106,1.0023051873960873,1.0027204604874285,1.0048096874817698,1.0051558239373497,1.0087483945098012,1.006840116348786,1.0057115959808223,1.0056836265111988,1.0054376728131929,1.0311249925215769,1.0711292920971482,1.0648089352702856,1.0623661306633914,1.0957129692179346,1.1990476932530392,1.2107336868358025,1.2002197075115457,1.1941591976176331,1.1871774909994777,1.170813310546427,1.1598022780443469,1.1545844715956195,1.1443928690100518,1.2491848442507676,1.22884939976304,1.2271521686090947,1.3010743390458666,1.6274759476188463,1.7124279349893416,1.6849351797322871,1.648392930870229,1.7144365387239517,1.788626948707012,1.8512545749856797,1.8773539722502817,2.219702552723646,2.384708069673758,2.343850763704266,2.222843559957923,2.2336674290753704,2.1987727155423893,2.16277209325045,1.976050846450416,1.5863478154394595,1.5052880765974928,1.5025181713864144,1.4980087331369998
2-2801793,,0,0.9979817891673707,1.0011439970958793,0.9955967792298203,0.9988154434833071,1.0015590604109517,1.003196816457213,1.0076266439032195,1.00531624476604,1.0042218578533777,1.0045834513449112,1.0042219641443384,1.0324896802572043,1.075542599419719,1.068322378318045,1.065761818336916,1.1014251915726292,1.212867570140605,1.2252243750701315,1.213112754554234,1.205551821842239,1.1979011479200725,1.179427264863613,1.167449945201618,1.1615455011802664,1.1505306628371974,1.2604756385828535,1.2380504947528348,1.2362758039441482,1.3121262561355904,1.6549247148756425,1.7439168923251092,1.7139787561256836,1.674126356230117,1.7431080178829088,1.820445176227818,1.8865121408588479,1.9135851883738404,2.093925832678893,2.2479636939565326,2.2125961792084317,2.1088770945919513,2.1219805642069316,2.091482753500377,2.059739263600254,1.8940292700616268,1.5434797195186936,1.4987231375385561,1.4960672473578145,1.4916843994553104
3-2801779,,,0,1.0031680139829582,0.99484388195884,0.9989861991996217,1.0021291976168762,1.0038051822294856,1.0085725380838957,1.0059163046066049,1.0046730456861404,1.005017057491017,1.0045773034364156,1.0343965550165237,1.0795166600099644,1.0715673863888904,1.0687663783850239,1.1059070063901495,1.222696793113873,1.2354628926709244,1.2222044705390178,1.213677893392816,1.205430509805913,1.1855906822831548,1.172837950338979,1.1665547473583318,1.154876509535881,1.267895416849978,1.2442627481502406,1.2423053196145548,1.3194284819966733,1.672464387245311,1.7641068093427457,1.7325708668688835,1.6905584280821213,1.7610763996211127,1.8409789798891272,1.9089103098512896,1.936579969239035,2.096281207054233,2.2520879531558315,2.216395296783981,2.116761509906378,2.0611478884479832,2.032527394515446,2.003040883373267,1.8489457488975498,1.519385531056221,1.4813806578267317,1.4787906373202466,1.4745414980601903
4-2801766,,,,0,0.9867431742496525,0.9970181826594469,1.0017847651145881,1.0039464402986888,1.0095504762883705,1.0063190773858839,1.0048647135237783,1.0052284977172556,1.0047149255570353,1.037346972160712,1.086159615871762,1.0768802103143194,1.0736474822263744,1.1133657994173394,1.2395926628359695,1.2530521018329566,1.2376891116482733,1.2273916492766654,1.2180758916512626,1.1958140106530024,1.1817059589142187,1.1747648722133384,1.1619429546820053,1.2805594806366507,1.2549545449084147,1.2520071869171672,1.3313463763257942,1.7015979063106095,1.7977056469370438,1.7634132193678103,1.7176880320870958,1.7912531737948332,1.8746536188949439,1.9460436995279007,1.9747001856053623,2.033417351605898,2.185164114159767,2.1514213667332194,2.0596349082602625,2.004879493908109,1.9781080115321104,1.9511027619791195,1.806591038547382,1.4955635594929284,1.4544855686567495,1.4520220517864888,1.448044564918659
5-2801756,,,,,0,1.0066402847258518,1.0095565239963795,1.0090501876191098,1.0147598653558387,1.0097893326196112,1.0075932316794027,1.0076898359690396,1.0067194869865708,1.0427877339295595,1.0959213908227186,1.0846986095345414,1.080842422396767,1.1235739180032045,1.2613068113734018,1.2755216199397903,1.2573466310738917,1.2446572550658734,1.2339579586308376,1.208589871726202,1.1927714914397178,1.185002294362265,1.170750422132658,1.2955433474961522,1.2673929709782306,1.2637203367343741,1.345228202084864,1.7350699118905346,1.836249687201926,1.7986929450712417,1.7483889448049035,1.8253474852268448,1.9126869422358084,1.9882352982432436,2.0179769854909546,1.9278281075160946,2.070583451597722,2.0415626595061274,1.9629682261574524,1.915393768730606,1.892154601972527,1.867650396863038,1.7386314113306052,1.458278297918988,1.4277987844422435,1.4255425208181878,1.4218289415479197
6-2801749,,,,,,0,1.0131474506510898,1.0101676801647141,1.0173791564132106,1.0105247678180536,1.00777532523948,1.0078633872094238,1.0067301961647406,1.0474764927423381,1.1063793810670097,1.092666788277959,1.088038811779092,1.1345888561080781,1.287019300236086,1.302146447376366,1.2802326606431726,1.2644058318420295,1.2519415516267056,1.2226879017455976,1.2047804500337136,1.1960129225411138,1.1800599591349439,1.3121823223624847,1.2808129214787038,1.2765994898641073,1.3604479238313791,1.7734086535356712,1.880606574349338,1.839071349144037,1.7834489017112152,1.8641536994702856,1.9566090884868441,2.0366087939553963,2.0676051500845958,1.836857380851478,1.9725141900749017,1.9465718837560215,1.8738987394782436,1.8247596426041546,1.8042009102213794,1.7827391355303899,1.669452116312095,1.4197256595968732,1.3995394511825423,1.397454221354853,1.394015229666457
7-2801743,,,,,,,0,0.993649814930688,1.0100893318392565,1.0041487206150117,1.002257640900178,1.0032155272305907,1.0029051327907252,1.0484917720756102,1.11331078069471,1.0974224239442305,1.092152107113797,1.142328360024018,1.3086155688347982,1.3245786619392688,1.2990681420370092,1.2802911883153338,1.2662057222010634,1.2334636697865264,1.2137309489573105,1.2041061145538468,1.1867155215309986,1.325062067159279,1.291064485537849,1.286311122495827,1.3723315250970223,1.8053794098582236,1.917848479252222,1.8727590249201587,1.8126458229843425,1.896362339086582,1.9930719938364483,2.0771533505853674,2.109225295287473,1.8604340266774853,2.0010135746328697,1.973700142481688,1.8963072138608457,1.8443418363713349,1.8229197469512823,1.800304505915215,1.682218469982775,1.424628497713876,1.3771114269487517,1.3751204071683838,1.3718957657735569
8-2801185,,,,,,,,0,1.017751171940942,1.003833957208991,1.0012096943742743,1.0027188164354404,1.0024575296900187,1.0591176098517578,1.1362379740805977,1.1137770324050713,1.1066056624490161,1.1642519582824387,1.3614536516989026,1.3788326154054034,1.3441480999084714,1.317821462177619,1.299824166664494,1.2588074410877794,1.2348525754897788,1.2232525093145448,1.2025797957782212,1.353684032555974,1.3139160640044698,1.3069920512501936,1.3970095121164081,1.8694731440189947,1.9922545031408039,1.9397966739786023,1.8697482192361763,1.9595834413676991,2.0647983929092706,2.15688901650593,2.1909569965818143,1.8234607148716813,1.9640819065179158,1.9374000440407457,1.8629911811939013,1.812782042068684,1.7918957195173153,1.7701219061456885,1.6559246773221696,1.4075818905068174,1.340932268998337,1.339190743439911,1.3363038540852008
9-2801687,,,,,,,,,0,0.9925479518975455,0.9937308529163453,0.9978065411742344,0.9990457805190908,1.0677172564940587,1.1571211207105696,1.1275194451041677,1.1184140271579108,1.1829310896921144,1.4098592888729575,1.4282726199450948,1.3839704909856632,1.3499424381909053,1.3281583969341184,1.279387573328828,1.2516315821800759,1.2382865878590463,1.214771395518038,1.3762553224309988,1.3315497420331024,1.3233844177980059,1.415991797185196,1.9208084300531814,2.052107592360297,1.9932976657112071,1.914966444914194,2.01000507389508,2.1213912967408817,2.22038670984225,2.256027851557273,1.8494590516617835,1.9110661351743135,1.886400248845356,1.8175461260693393,1.7701437988336113,1.7504782283469562,1.7299535198926592,1.622101319328315,1.387663387130082,1.3158617606008025,1.3142263249102932,1.3116047570236153
10-2801184,,,,,,,,,,0,0.9952193752007412,1.0013558820979505,1.0015114505769251,1.0936392629340892,1.2028342801795158,1.1564491399928056,1.1430886677077619,1.218457251239808,1.4975868356272746,1.5168082381738626,1.453305353869842,1.4043053059462203,1.3756183276299694,1.3131466708301425,1.2789305340584751,1.2626593784857765,1.2344516184616348,1.4111945713602259,1.3584176733958475,1.3481487108405186,1.443851518696072,1.9953556950147284,2.138950012788558,2.0704373238413605,1.9795766480782617,2.0815232996873405,2.2027975137647733,2.2889715100267822,2.326502822417795,1.878918593443357,1.860722780531082,1.8373264178654134,1.7730460317461654,1.7283377746307864,1.709920197226084,1.6905352841199324,1.5888461294889107,1.367440773814042,1.2858071862161344,1.2843406320648487,1.281952534558291
