순번_정류장ID,6-2807565,7-2807566,8-2807567,9-2807571,10-2807570,11-2807564
6-2807565,0,1.21171791341594,1.113311101847992,1.0145758796973048,1.0151341306660717,1.0149577862285044
7-2807566,,0,1.031436935217004,1.0124720847318176,1.0130517350147499,1.0128853354988818
8-2807567,,,0,1.0122256747438032,1.012812783872976,1.0126474653663442
9-2807571,,,,0,1.1003451676528597,1.0442928039702235
10-2807570,,,,,0,0.9875124875124875
11-2807564,,,,,,0
