순번_정류장ID,1-2804979,2-2800710,3-2800705,4-2800713,5-2800363,6-2800740,7-2800749,8-2800753,9-2800768,10-2807335,11-2800777,12-2800783,13-2800792,14-2800794,15-2800800,16-2801771,17-2801773,18-2801774,19-2801173
1-2804979,0,1.8103963643362437,1.6120436959763338,1.287942658065011,1.4163002638539826,1.8819951585670986,1.7592743316632944,2.2821043265776217,2.124833526324571,1.9202882150337635,1.7799710276205654,1.710322864862378,1.6322632196304725,1.5843802910056337,1.646078583024806,1.7133356278090457,1.5951462581257183,1.5578042266617276,1.4818723465342485
2-2800710,,0,0.9705008003658817,1.003900718134359,1.0045831204777027,1.442919627438213,1.372723550180642,1.8795283955548994,1.8090929329677192,1.6496895986015638,1.546931787155018,1.4953130092120295,1.4378393847001758,1.4038923221818707,1.481132997543478,1.5586969181460628,1.4630761247581372,1.4332039465441793,1.3778956454159577
3-2800705,,,0,1.010493308414966,1.0081808644509376,1.200973287449661,1.1692755183417476,1.588042077252505,1.5901990817766989,1.4797589180148223,1.4097831240245424,1.3728826174991957,1.3311600172874853,1.307023022385913,1.3880782771429026,1.4670372372311538,1.3894379898228708,1.3650608827375676,1.3230465935782352
4-2800713,,,,0,1.0055225038426823,0.9918252978753488,0.9868068213553225,0.9971474954182254,1.0048070613080253,0.9985879431851412,1.0048073257298304,1.0039003533580904,1.161036676228274,1.149832647426547,1.1240554719405418,1.1438884457501624,1.1218416798357944,1.1149983541803816,1.1168821870928958
5-2800363,,,,,0,0.967818078890439,0.966479047055249,0.9910331367599284,1.0045084625075968,0.9962942295860696,1.004613502878066,1.0035035186594936,1.082917730415558,1.077595295779106,1.0697190468503341,1.1668819253181073,1.1378731975804381,1.129103780490614,1.128637511473179
6-2800740,,,,,,0,0.9642892439466315,1.0076066207911896,1.0033024760811031,0.9935715101069047,1.0039186499287394,1.0027167264015893,1.0004747389639015,1.0029005043167711,1.0761698997629872,1.182723681498192,1.1484229305934697,1.1382493121835264,1.1360003954777251
7-2800749,,,,,,,0,1.0413787345544223,1.0123588286362264,0.99839506608312,1.0088872409996674,1.0069240884681503,1.0038526162801875,1.0061268318201528,1.084268711640347,1.197662013750342,1.1585636336422145,1.1471238143257807,1.1430115026641356
8-2800753,,,,,,,,0,1.0000544605950363,0.9868815521289311,1.002660811732186,1.0012948175818182,0.9987481512736447,1.0018950228281633,1.0886579779298196,1.212686442760421,1.1674686752997283,1.1545264125215184,1.1486274710206028
9-2800768,,,,,,,,,0,0.9642925517260701,1.00481028349682,1.0020724079536765,0.9981311151955898,1.0026219451865044,1.0004369140365814,1.0028013825428843,1.0015461584688776,1.001678630550621,1.028234525156721
10-2807335,,,,,,,,,,0,1.0423466297482047,1.0238432870962102,1.010993887945068,1.0140899386324769,1.007640351554829,1.0080535297269357,1.0054035434594621,1.0052095094844828,1.033148410320357
11-2800777,,,,,,,,,,,0,0.9933948297460425,0.9891773262727555,1.0006108785920074,0.9981275651112846,1.002021563342318,1.0006248065319876,1.0008825545902256,1.0326819679959747
12-2800783,,,,,,,,,,,,0,0.9860859675391414,1.0035576017578738,0.9990722717390067,1.0022299719343095,1.0006346586239458,1.000914257643262,1.0347161209773719
13-2800792,,,,,,,,,,,,,0,1.0255356849876949,1.001983933264859,1.0060223614176693,1.0028747746554085,1.0029150475868671,1.0393440034714276
14-2800794,,,,,,,,,,,,,,0,0.9920053371879691,1.0000346081157534,0.9988006665807388,0.9994090695997825,1.0399155671463436
15-2800800,,,,,,,,,,,,,,,0,1.0095064705014023,1.0021302068507125,1.0023365873289896,1.0513817635290539
16-2801771,,,,,,,,,,,,,,,,0,0.996890699348095,0.9987214708543319,1.0620356568780787
17-2801773,,,,,,,,,,,,,,,,,0,1.00320123256013,1.0984156672185796
18-2801774,,,,,,,,,,,,,,,,,,0,1.1265235504896418
19-2801173,,,,,,,,,,,,,,,,,,,0
