순번_정류장ID,14-2801731,15-2801219,16-2801221,17-2801699,18-2801222,19-2801682,20-2801668,21-2801225,22-2801635,23-2801645,24-2801652
14-2801731,0,0.9827704767726161,0.9953194066780933,0.9927093155133604,0.9923399764306968,0.9962560675649201,0.9955817696928488,1.0034743089067018,1.0217463759979672,1.2343193434494506,1.407793948206922
15-2801219,,0,1.0038539984150974,0.9969765146813994,0.9953889098514633,0.9996506079901787,0.9972808761996447,1.005884991344511,1.0257339098736658,1.2630716754348494,1.460616453261144
16-2801221,,,0,0.9852010024170708,0.9879280799044323,0.9971807476616491,0.9956885518989255,1.0063045317847517,1.0151384001300277,1.1339166681747712,1.3275228165529405
17-2801699,,,,0,0.9908210698526809,1.0034400204541754,0.9974169173584619,1.0091999202483692,1.0185374279939492,1.0162562631722138,1.096578852677732
18-2801222,,,,,0,1.0156871426499439,0.9986300438472767,1.0119299508244413,1.0218593452754667,1.0189021450804088,1.017210590277908
19-2801682,,,,,,0,0.9946418117173333,1.0112495947800777,1.02272785937379,1.0192882418730862,1.0173767320122142
20-2801668,,,,,,,0,1.0242177441436402,1.0455062148093064,1.031702743528116,1.0260440781553848
21-2801225,,,,,,,,0,1.00915833213662,1.0049985938138422,1.003523569127214
22-2801635,,,,,,,,,0,0.9994286991728559,0.9990420785421907
23-2801645,,,,,,,,,,0,0.9984780540834354
24-2801652,,,,,,,,,,,0
