순번_정류장ID,1-2803214,2-2803360,3-2805324,4-2803380,5-2805503,6-2803207,7-2803173,8-2803175
1-2803214,0,0.9996961797313901,1.3211354135436448,1.1049751122920384,1.100731823664951,1.0891995832876704,1.0833500606106818,1.077676341764386
2-2803360,,0,0.9980042944626561,1.0036993404145647,1.001971285849968,1.0035866882663171,1.0032962312094176,1.0030429164752597
3-2805324,,,0,1.0017599927814054,1.000026073228208,1.0022221091870915,1.0020119820062605,1.0018419707575807
4-2803380,,,,0,0.9532350038381402,1.0030878017193872,1.0020663607148361,1.0015575166121176
5-2805503,,,,,0,1.0123742932586968,1.007987182214658,1.0057720513162618
6-2803207,,,,,,0,0.9998095945315549,0.9999604368491188
7-2803173,,,,,,,0,1.000095408304952
8-2803175,,,,,,,,0
