순번_정류장ID,1-2801688,2-2801689,3-2801718,4-2801231,5-2801747,6-2805782,7-2805783,8-2805793,9-2805784,10-2801790,11-2801952,12-2805785
1-2801688,0,0.9709990290869372,1.2833927845446758,1.1423789842026524,1.1106451410286085,1.0765199180231304,1.065548924032084,1.0564168354635544,1.0530317846720716,1.205462349856249,1.1798439343078317,1.7510589140530588
2-2801689,,0,0.9976903238443456,1.0119835985164463,1.0039865719319019,1.0016967807882555,0.9992744765455213,1.000988430886503,1.0021716906168419,1.1620806653271083,1.1419438555684889,1.719539255989282
3-2801718,,,0,1.0242669818884687,1.0085583599691392,1.003697418113872,1.0003615301661182,1.0022026939248438,1.0034806933916725,1.1904100421104438,1.1628771381191854,1.852198244623171
4-2801231,,,,0,0.9714124131409261,0.9892595339697341,0.9874546205057101,0.9936281616362612,0.9964766613492921,1.0220900128063781,1.1208060709540046,2.1331966299647838
5-2801747,,,,,0,0.9987469826597304,0.993563955955813,0.9989077749633188,1.0014130630859817,1.002023534112045,1.1374649635010972,2.32969573711662
6-2805782,,,,,,0,0.9814458229031994,0.9956493565027494,1.0005967963061984,1.0017757298569598,1.1832960365439364,3.1957703772227366
7-2805783,,,,,,,0,1.0040260544396107,1.0079111042626807,1.0057134332281341,1.217806710536114,4.057930889214961
8-2805793,,,,,,,,0,1.004049936105377,1.0036124786085894,1.3019141764460385,9.876774716201197
9-2805784,,,,,,,,,0,1.0034503074647358,1.3879181277752786,21.18272338195476
10-2801790,,,,,,,,,,0,1.0156862082939349,2.015686073551552
11-2801952,,,,,,,,,,,0,1.0057088713205031
12-2805785,,,,,,,,,,,,0
