순번_정류장ID,1-2805540,2-2805542,3-2805544,4-2803169,5-2803141,6-2803226
1-2805540,0,0.9975462447522991,1.0007555058139568,1.0006408737505241,1.000172150801261,1.0490740903783646
2-2805542,,0,1.001228221272654,1.0010073780427193,1.000434257953911,1.0499809074776887
3-2805544,,,0,1.0001012607435757,0.9987682625047974,1.056056935719267
4-2803169,,,,0,0.9973719923527253,1.0578372146883965
5-2803141,,,,,0,1.0597656203661328
6-2803226,,,,,,0
