순번_정류장ID,88-2801766,89-2801756,90-2801749,91-2801743,92-2801725,93-2801708,94-2801694,95-2801196,96-2801657,97-2801618,98-2801596,99-2801560,100-2801527,101-2801514,102-2801509,103-2801497,104-2801482,105-2801450,106-2801438,107-2805321,108-2801461,109-2801462,110-2801469,111-2801430,112-2801376,113-2801336,114-2801322,115-2807006,116-2801150,117-2801154,118-2801156,119-2806243,120-2806241,121-2806215,122-2800622,123-2800627,124-2800336,125-2800658,126-2800670,127-2800682,128-2800695,129-2800723,130-2800745,131-2800759,132-2800776,133-2800796,134-2800803,135-2800809,136-2800811,137-2801795,138-2801793,139-2801779,140-2801773,141-2801774,142-2801787,143-2801806,144-2801954,145-2801977,146-2802024,147-2802051,148-2802098,149-2802129,150-2802158,151-2802168,152-2802828,153-2802193,154-2802221,155-2802224,156-2802242,157-2802265,158-2802279,159-2802278,160-2802282,161-2802291,162-2802549,163-2802545,164-2802367,165-2802541,166-2802552,167-2802566,168-2802366,169-2802585,170-2802374
88-2801766,0,0.9867431742496525,0.9970181826594469,1.0017847651145881,1.0055448068199078,1.0055542569777125,1.0035636382461661,1.0024419983686648,1.0035458214300603,1.0036106754065308,1.0038865806883253,1.0018703685202035,1.0041618220104518,1.0036119366547172,1.0050485278272145,1.1541237250672416,1.2019585925705292,1.1831340765440255,1.2173280619753262,1.372488364124136,1.4526582660610317,1.5502645307114769,1.7939641588841413,1.7262825515970603,1.6477651814101264,1.6062761703595776,1.5877312866498674,1.540946192629685,1.5201138971939832,1.4946692741472163,1.4876823209725007,1.4457323908606832,1.567888852671063,1.6768205527862536,1.9916995470183378,2.158022070424019,2.4043355738126975,2.565125104757836,2.7454174811149845,3.0697725769590374,3.498020432260621,3.764659390693264,3.7722903485596064,4.00426603910707,4.544939884570826,5.221932255583613,8.347894576469237,10.210796487358115,13.105748962935479,18.984772524016382,32.42788322237504,53.82259121695431,39.61468083595092,29.694176102417778,17.491248100939433,12.456886239115498,9.785049144779412,8.474224613400729,7.422897305934766,7.037518530450418,6.2989266601651845,5.813459585090813,5.255927625678938,4.983823247050121,4.971002779607722,4.374336156355911,3.6802050238776185,3.567872477165876,3.4226131889763765,3.435049676908537,3.272112968851113,3.1420816576520827,3.101169634580066,3.3094112620608183,3.5131653505462634,3.5538476111934547,3.551970089549174,3.5863743092819327,3.4873890150156988,3.432335830357249,3.3580410168926726,3.312630048841334,3.267491236817093
89-2801756,,0,1.0066402847258518,1.0095565239963795,1.011760509115383,1.0106596227656302,1.0074400833495136,1.0053631011911297,1.0061736015252574,1.0060370026860856,1.0061744684594192,1.0037953526377057,1.00609586390882,1.0053566161645178,1.006856138663856,1.1719694704941421,1.2236886630101356,1.2009921096685738,1.2371808630649865,1.406480943237937,1.4952538658165595,1.6038982671417132,1.8776880053146763,1.7958166822931552,1.702702356452706,1.6542273277630781,1.6329827781363564,1.5788176557069937,1.5550754468318253,1.526240008378697,1.5174509755682113,1.4606474795763353,1.4400913246623122,1.5417682623625577,1.828781189056212,1.9767404128776647,2.1945497820465265,2.336126194303875,2.493451727853209,2.7739197569829526,3.139249910410416,3.3656710172255524,3.3790423815063146,3.574342871297691,4.02187848141857,4.570597698649691,6.95556957122747,8.266494041812068,10.159149144737972,13.540949676353712,19.556520626340486,26.04514297182587,22.315456191547103,18.786431049731263,13.043150163464547,10.02977623678192,8.22578795527893,7.2823165631613795,6.49652247162131,6.201049180581616,5.623970067630822,5.236297684848944,4.782498471587616,4.557238722420703,4.560278570069303,4.057724601504238,3.4587834393614068,3.3607244294401344,3.2335104503858085,3.247068857547636,3.102708847969743,2.9872699509426783,2.9512354667631437,3.1442232378753006,3.3322369160766954,3.37183572386596,3.3724898398909495,3.4066088747223615,3.3179316885450785,3.268709521511795,3.2022168845072048,3.161476382518312,3.1204685357402164
90-2801749,,,0,1.0131474506510898,1.0145543980302605,1.012298844970972,1.0077011633395703,1.0050463336765458,1.0060795369492541,1.0059275165408563,1.006096635330703,1.0033479661712168,1.0060226177995044,1.005197239551676,1.0068812877381643,1.1932109789575844,1.2499190150789863,1.2218931173482226,1.2605227454391694,1.4480153198301517,1.5481166038823082,1.671467448307126,1.9861775051373243,1.8838962744606746,1.7704929993634682,1.7125732255665869,1.6869669965079817,1.6241753138407364,1.5963533641980805,1.5631796126339588,1.5515133994362609,1.4875973803502036,1.4636475768303179,1.4269324848073783,1.672038882478216,1.8037415724418215,1.9964864061494219,2.120421480884513,2.2576571105399528,2.500247369558951,2.8123330852672286,3.005867261878916,3.0253390311714026,3.18912734586924,3.5606981223939727,4.008746911965988,5.859605799348662,6.8133759942219445,8.117434660266074,10.25542101243078,13.563322996572543,16.5458854107947,15.022451246154285,13.339854271952175,10.170080210909903,8.245963985215624,6.9923161919595325,6.710653178547177,6.035081842986491,5.77820285640246,5.272369180505887,4.929209700976677,4.523092783265786,4.322443284401943,4.175543170276608,3.875556081677732,3.326780099316214,3.2356617386117326,3.111004434344587,3.0616517617519334,2.9346455197741834,2.832366866909995,2.800983340508829,2.9798983554102856,3.1529349821606525,3.190731779403637,3.1937047585701546,3.2267693766300107,3.1482012116026903,3.1048548793007957,3.0452004358141274,3.0095142307573397,2.973028212118982
91-2801743,,,,0,0.9962348370861369,0.9997283363226344,0.996918541896105,0.9968387226134662,0.999937121878561,1.0004389079211276,1.0011665993414838,0.9983296709192399,1.002134844515406,1.0015521745180171,1.0039378872336706,1.210729106924741,1.2722909904689805,1.2389622913948635,1.2798739088529552,1.48472699541276,1.5958782755387173,1.7337695978018108,2.0899087976965207,1.9658825522661671,1.8316818498086378,1.7643744219684583,1.7352165524150536,1.663126720608768,1.631717318924966,1.5944859515363583,1.580344637283167,1.5097528956379704,1.483308369872543,1.4434043411459725,1.6172830656381112,1.7455327208347544,1.93306679909081,2.0535848381135797,2.1869478431227587,2.363236270524477,2.581625732059629,2.75410165267916,2.7761951146467574,2.9200073560785587,3.2443364131392114,3.6298057017700445,5.169937764115017,5.931550243748147,6.9391946911229345,8.516389030251089,10.773511575349014,12.649624925280868,11.774877542559079,10.718197217221517,8.624921164859693,7.223849627162645,7.536521893327808,7.339673456702805,6.516988141466081,6.209933008597644,5.613771509988254,5.214685140048977,4.752757458899771,4.5248121741908305,4.121261933146099,4.019750751475804,3.419885313861805,3.321474666298211,3.187248611108702,3.097061588430864,2.9650209919114263,2.858673272151512,2.8091711454164274,2.856019213867101,3.018210163702334,3.0549172739160935,3.0594978822819217,3.0923078500443064,3.02041907805469,2.9812842232077874,2.926777359467403,2.894512509545584,2.861091667337314
92-2801725,,,,,0,1.0056078606736685,0.9974965218235351,0.9971232856559238,1.0011579497033345,1.0016283481470603,1.002392903728897,0.9988106516782017,1.0032305690316912,1.0024409952796223,1.0047672740241382,1.148458283194715,1.2190476837643733,1.1903625110797327,1.2370578504708216,1.5499365018439533,1.680070624689959,1.8432911901402547,2.2735559697295904,2.107435655765899,1.9347318391297377,1.8506223330836353,1.8145488648529546,1.7269672935247458,1.6898109629985105,1.6457014567235804,1.6269050680798225,1.5453395442903675,1.515180544259343,1.4703225271749611,1.6549539110327964,1.7933369563608317,1.997201318999195,2.1291415191547287,2.2760300974063856,2.4707701542641867,2.508837020473797,2.6786065306280995,2.5647230318603325,2.6259100670782645,2.901785595663553,3.2251898123460543,4.478487198090858,5.071439161238631,5.8311963557116275,6.96444902036771,8.48780755358605,9.66998644013719,9.180069008031802,8.871819015875372,9.296192514743895,7.648121630695144,7.997352929462842,7.763481734739219,6.825819697996034,6.48083649157339,5.818289345094927,5.3802007571638235,4.877426577357453,4.631901223985242,4.200594801143589,4.090635072571672,3.459212695148542,3.356589043797655,3.2169450762452847,3.1233660462579977,2.986695110777484,2.8771960669414627,2.826127962852179,2.747387887442988,2.8912386421294753,2.927010677151358,2.933019361341663,2.9344350665178847,2.870387271520011,2.8359686185418216,2.7872559435925472,2.7850471528535294,2.754358396474733
93-2801708,,,,,,0,0.9893174712737017,0.9938072943305661,1.0000735628756612,1.0008240133599164,1.0018353118180823,0.9977356390420149,1.002935791732127,1.0020914221048527,1.0046807799649746,1.0733759548733426,1.1506708401192007,1.1304349065704047,1.1819376609642156,1.59679665834768,1.7414127986627617,1.924294354917252,2.4139783530990657,2.2120074221944717,2.00815939798492,1.9109830515303123,1.869111330173533,1.7700110832183182,1.7284314484352796,1.6793923584997428,1.6577721913210213,1.5685015960919257,1.5357797193971026,1.4871914285223347,1.679215011593751,1.8243523596321178,2.0392164795281023,2.178925248209276,2.335089552375774,2.5425594009676593,2.5815679926889996,2.7624677372680218,2.6375421008463444,2.5798906443162815,2.721560506598249,3.0146593274847504,4.130239610573338,4.645605715014008,5.298515628433138,6.249398023217399,7.490626869865405,8.425175641167769,8.065999217426704,7.8293748853516565,8.189200835237315,6.889289610305192,7.194711364059197,7.01498479581552,6.243463472225841,5.954737015546012,5.3932486518633,5.017675938976884,4.579601349176449,4.363835762194259,3.9812311359803423,3.890466451582484,3.3186596411254192,3.2247446849285044,3.096695927766359,3.010595033915851,2.8845060181397493,2.7832053938053005,2.7360790071574166,2.6629812333881966,2.8003606499879234,2.835383599178739,2.8423445611459726,2.844434637485561,2.7844390353498443,2.7530937556491866,2.707333784350069,2.7064280936908895,2.6776972517741444
94-2801694,,,,,,,0,0.9966489778611535,1.0034982353633444,1.0037067968453572,1.0044324224115413,0.9993014286350821,1.0048457582668964,1.0036603221083453,1.006880247130244,1.0025285126727463,1.0028983363377413,1.001967026168048,1.1623258189471786,1.6535316591299072,1.8160160005348547,2.023523130568478,2.589852474727425,2.339116942276611,2.0948470425743677,1.981290041828563,1.9333994398108458,1.8201206883907146,1.7731808560688778,1.7182258040795912,1.6927885302787724,1.5945481879729908,1.5588787489012494,1.5062743151623281,1.7057748364329368,1.8583008736024096,2.085293203628836,2.2336318226257346,2.400165946361549,2.6219298187374105,2.661298192752712,2.855273394790199,2.717635789303379,2.6543332433860214,2.5586980585922094,2.8257165038840957,3.825869974034072,4.280445122002558,4.845890799994173,5.655814004413393,6.690250123781915,7.448911417433065,7.179482185261826,6.998864058504054,7.310622298553674,6.25867186997281,6.529599346383444,6.387994117963976,5.74647877893246,5.5021131328647,5.020564594251042,4.695303930572345,4.311561682491828,4.121130951124992,3.7805238845485762,3.7062881270804913,3.187386859808595,3.1013112058697776,2.983743859286736,2.904121195193872,2.7879942232208763,2.693947374628158,2.650696907753662,2.582797797949484,2.7141520295939645,2.748455561973399,2.756271520771153,2.7594705281799436,2.7039037962190506,2.6744381121702205,2.6320657514927763,2.631258846242666,2.6045630274381684
95-2801196,,,,,,,,0,1.0104370600241597,1.008331032253285,1.0082299470269254,1.0004053493276979,1.0071800711493748,1.0053485035142091,1.0091075343588445,1.004099344782728,1.0038642334983645,1.0026735430197686,1.184968012564586,1.7672428979421155,1.9682966190861229,2.230403356532715,2.975907785789143,2.602958118158057,2.2654111324952284,2.1162269974407653,2.0538036567997073,1.9115646160884279,1.8539699119799413,1.787445897109634,1.7549228333684264,1.63942724993071,1.59833876029192,1.5384558278989378,1.75170270300409,1.9174481255922677,2.166404770160685,2.3305518311583944,2.5162689726379894,2.764676129465606,2.8043129812451806,3.0228296284764298,2.860757886773258,2.786702591005302,2.655562888253359,2.5605027274427647,3.413006168280512,3.7912202584518235,4.252193503544881,4.895132791990458,5.692693697845832,6.259971434731831,6.084208160046209,5.9599876857447445,6.213746458808424,5.444139495325073,5.671502383459554,5.577267911880499,5.084824327652997,4.894146735344407,4.5139160983513325,4.250931634242817,3.9368648241990125,3.7794338826617047,3.4943612935358064,3.441927047630826,2.9954165071171808,2.9202548403842354,2.8173566774496925,2.747603341031073,2.6448185202453587,2.5617183273295905,2.523376214753197,2.4629289598860913,2.5855480860047773,2.6187742453084986,2.627779369739482,2.632765340749605,2.5828462919874022,2.556578974240054,2.5184377999698153,2.518949489401641,2.4946719800888335
96-2801657,,,,,,,,,0,0.9997059004900078,1.0037518427459144,0.9916087590711832,1.004883510676705,1.0029471826588225,1.007308140846253,1.0015047173502027,1.0017414358721743,1.0007153626283884,1.211691394201173,1.922179954397939,2.1822226483058405,2.5315976559119506,3.5908770110590353,2.9843956557325204,2.491470903918333,2.288279354130358,2.2055035937418555,2.023213296148707,1.9505616528920662,1.8687577393589463,1.8259331961342227,1.6901352078279115,1.6424369250669906,1.5738427110108286,1.8020086294909852,1.9829966213078,2.25770245614905,2.4406753516501967,2.6495474969133044,2.930472160476303,2.9691053229053033,3.2185791627313365,3.025528132131494,2.9380353591785284,2.7845631874045442,2.6509932033297647,3.1939750034737333,3.3871457203306723,3.7706193140160833,4.296176332508989,4.931534637981668,5.372939051706503,5.255641580408709,5.167619557770532,5.382423300265823,4.79896833870646,4.998238326712708,4.933169357053639,4.547663060373951,4.395982656674192,4.090002409269815,3.875226478491375,3.615845903650169,3.4838508752975152,3.243349708674627,3.2083170156165153,2.8224966383282593,2.7565993163166933,2.665952708216027,2.6044293326572894,2.513476109856437,2.439700221856315,2.4058788497311814,2.3519869846063783,2.4668166131100677,2.499046400111034,2.509271862514264,2.5153644860252156,2.470042517933207,2.4472099080942455,2.412635895489346,2.414484842238617,2.39254785562918
97-2801618,,,,,,,,,,0,1.007935143947243,0.9866040015011494,1.0062951700783302,1.003615628200726,1.0094939121503141,1.002424705207419,1.0024852101148727,1.0012346112537622,1.2315229488729251,2.0397529407212507,2.348431651529678,2.7730333516996573,4.130654582213838,3.28625951444753,2.6559853942047633,2.4092485914652495,2.310651427276115,2.0971636037037173,2.0147175503523354,1.9220500874701036,1.8721726466220419,1.721719538972143,1.6696927978634086,1.5957670535389363,1.8332469266206612,2.023842355407727,2.314995408173516,2.510148134612609,2.734168533385497,3.036560430100016,3.0490138358486556,3.3139681603334097,3.104231792470075,3.009611708581008,2.844462128106003,2.7016398070639682,3.2723421723903536,3.1945275925107164,3.544558592809536,4.017937156904589,4.5848524991182975,4.974484533012518,4.880238997251901,4.805444106359442,5.004702159013138,4.499137297815332,4.683276615099653,4.632139877233605,4.292669990661933,4.158069001371527,3.8850573456436113,3.6920386980645588,3.4568087382820574,3.338011411929364,3.1178802890146384,3.091353616074825,2.7341717624722097,2.6725232081039767,2.588328934551283,2.530858261006184,2.4457571406853758,2.3766156365190594,2.3450455835676913,2.294431351472575,2.405320138812662,2.437030063373503,2.447529432660548,2.4546823431713976,2.411874956866245,2.3907288392663357,2.358218957248947,2.359809095631308,2.3390595915248547
