순번_정류장ID,1-2805936,2-2805934,3-2800328,4-2800640,5-2800636,6-2800637,7-2800647,8-2800666,9-2800678,10-2800688,11-2805582,12-2800715,13-2800752,14-2800788,15-2800799,16-2800804,17-2803056,18-2802651,19-2803065,20-2803067,21-2803040,22-2803071,23-2803082,24-2803093,25-2803107,26-2803121,27-2803125,28-2803225,29-2803233,30-2803234,31-2803237,32-2803241,33-2802763,34-2802635,35-2802730,36-2802727,37-2802734,38-2802756,39-2802782,40-2802829,41-2802814,42-2802801,43-2802791,44-2802784,45-2802785,46-2802796,47-2802177,48-2802817,49-2802618,50-2802176,51-2802169,52-2802154,53-2801846,54-2802103,55-2802067,56-2802056,57-2802050,58-2802075,59-2802089,60-2802079,61-2802060,62-2804815,63-2802071,64-2802091,65-2802097,66-2802088,67-2802081,68-2802066,69-2802044,70-2801906,71-2802004,72-2802000,73-2807183,74-2802018,75-2800097,76-2800060,77-2800094,78-2800092,79-2800091,80-2800081,81-2800085,82-2800087,83-2800090,84-2800089
1-2805936,0,0.9963200709463799,0.9955500099547251,0.9985971786112683,1.000398668307968,0.9931647142909696,0.9961601894675289,0.9873571901167258,1.0043845287186632,0.998870636826382,0.9993364632040831,0.9976967267390878,0.9996848029784559,1.045828271127059,1.2281562583876493,1.2140555936331003,1.1959028496661726,1.1928080422980063,1.3871844916719722,1.4479194437401302,1.4318594265141806,1.5267444777691168,1.5897182448323195,1.6503163135034127,1.6170539321974235,1.5958463220112549,1.5540031314914078,1.5363224327639147,1.5354601638219127,1.5742799772854148,1.5499598904560725,1.5309784785410303,1.6314675354822081,1.5623683304195515,1.5289732302072043,1.6425050592352257,1.6770950028234062,1.6547149471914526,1.6159039681688172,1.5699713695914363,1.5517471866371517,1.5737034651253918,1.6051339971207172,1.5894660739918085,1.625453062108985,1.6083878946912544,1.5912590750012547,1.5678940037969331,1.5529536615258677,1.5417513781083034,1.5648997734212982,1.656282580511799,1.754460605922278,1.8304241717655698,1.8853851371695514,1.8616831361147972,1.8360964047302137,1.8451538728897117,1.8248063161911632,1.81270831145246,1.7879923619045763,1.777294461336672,1.764661507102448,1.7572812079202118,1.7462168044565989,1.7763979831007373,1.7806978559083273,1.7620068419312107,1.8067271650110948,1.8129952219935312,1.8017588528656976,1.7804131977373971,1.7436645369456327,1.7187121204057383,1.68628473627334,1.6677191806300926,1.6487115854450871,1.637172675625525,1.625600446203012,1.6008563048476836,1.6210174660614873,1.607505342613166,1.5984128229259236,1.602428195095458
2-2805934,,0,0.9951040391676866,0.9993430339884897,1.0013391029540613,0.9925702941357863,0.9961349797078266,0.9861874449017561,1.004797131886511,0.9987300809559678,0.9992440252454703,0.9974828993632063,0.9999100975192188,1.0487585603627303,1.2429758520036884,1.22713836983032,1.2068860218163175,1.187929532524688,1.2695388436892505,1.3298087374573568,1.318034083017255,1.4069942492812093,1.4669303575174126,1.5262723644749283,1.5005147543510184,1.4841759937558756,1.4515142814890212,1.4373978964282679,1.4411405036227012,1.47861225658136,1.4594285876346964,1.4453533556824123,1.5411663806672031,1.4838456269472196,1.4986978476978225,1.6466573872302548,1.6817223228056053,1.6589164412924458,1.6189185248465052,1.5717727789768587,1.5533321422934077,1.5758134163725257,1.6074151330420867,1.591433479332069,1.6409006508091801,1.6228532768582664,1.604757591733158,1.5804825178864075,1.5647333577134597,1.5531850603936599,1.576348229332535,1.6702384265742902,1.770938941784948,1.8490809098776013,1.9056048866498356,1.880991274902745,1.8541024666869974,1.8632499805416998,1.842012525894796,1.8295674830800042,1.8036808007246465,1.7928588323926784,1.7794373675387993,1.7714769419685257,1.7604117314802803,1.7909905021117334,1.7954562236437024,1.7757985897410142,1.8217675265256033,1.827606310262636,1.8160971316231582,1.793989494067353,1.75586482237826,1.7300921081424927,1.6970795564040217,1.6775319576170489,1.6579640819854347,1.6460982380268534,1.6341977248994064,1.6087613764809077,1.6290585282207934,1.6153778197517537,1.6062141137852617,1.6102758015362204
3-2800328,,,0,1.0017318174739138,1.0038742088833705,0.9902030466825924,0.9956267162335398,0.9829072769134167,1.0064226234070015,0.9989509087381153,0.9995319198900727,0.9974805693453449,0.9999109504316867,1.0542907529503263,1.2729712413286385,1.2533023825357534,1.2285043648791643,1.205400066459461,1.188259157070107,1.1749541850371568,1.168210894785507,1.2250455561485893,1.2806061386526162,1.3374984928915694,1.3223182676335925,1.3125201060268896,1.2925566683680125,1.2840651084939854,1.3284657444399666,1.364726093890389,1.350839194450961,1.4323324697617028,1.5315971604575151,1.4734127556186307,1.5257456479956706,1.6834152794799606,1.7204752905332945,1.6944526578833745,1.6506373960809966,1.5989710894681726,1.5782876407177524,1.6017622531071023,1.634345576856012,1.6167751151070109,1.6683475594291162,1.6489281067773833,1.6294564739954358,1.6032036394424196,1.5860490386838075,1.573332342243057,1.5976498916283928,1.696415455266692,1.801634775402177,1.883679838419028,1.942972976023103,1.9163048287251265,1.8870901724649987,1.896254996259426,1.8731784485820824,1.8596413568076877,1.8320172925363236,1.82028717818306,1.8062276341653354,1.7978389875398295,1.7855856065580615,1.81737704019088,1.8221851496712025,1.8013623218883894,1.8485483112660084,1.854112059900127,1.8419933838304545,1.8186101255567022,1.7779032936383565,1.7506167304517986,1.715536425212663,1.6951756180178057,1.6746828896841952,1.6623156681862337,1.649616203969639,1.623098100343149,1.6439608050947259,1.6295563236399027,1.6198677069050242,1.6239478956786366
4-2800640,,,,0,1.006101905711954,0.983400095549594,0.9931571314634619,0.9774735895706902,1.007397068995527,0.9985040788749312,0.9992108681995339,0.99690603306714,0.9997071318621359,0.9996020428279871,1.2021457435500367,1.186923852716949,1.1679599083540415,1.1512791803740268,1.1385255698769559,1.1290817602654488,1.123563257356581,1.1496425803580608,1.1546821384607795,1.2101189344444325,1.2011519692652022,1.1953133750192848,1.1835024715176279,1.1783578391691074,1.2939721167680875,1.3306460560390898,1.3180247305786426,1.399821708949159,1.4992594808464876,1.444266522285477,1.4969254354247143,1.6549367160519746,1.692462595625634,1.667549628651592,1.624621334208678,1.5746068938833626,1.55490581686192,1.5787283970460837,1.6120931813392898,1.617293687988641,1.6839306626354458,1.6633164263322946,1.6428449133523055,1.615623748112539,1.59764438459996,1.5844864158548202,1.609510109745936,1.7105795909168597,1.8197600995235739,1.9050626284440488,1.966230527424768,1.9379396076246052,1.9074192930045777,1.9159700648297897,1.8921050390893586,1.877926374689146,1.8490129570349079,1.8366065604383957,1.8219250151080548,1.8130068676221018,1.8003874086123601,1.8330325155486893,1.8378938562534701,1.8160565754277966,1.8647802605396862,1.8701550793065926,1.8570984100021333,1.8327865675295358,1.7906749205116061,1.7622702833950248,1.726213257992817,1.7053985997104704,1.6840230466652466,1.6711688083612741,1.6583772690621608,1.630856931250089,1.6521055105140519,1.63729567952051,1.6273283063637984,1.6312945481342884
5-2800636,,,,,0,0.953631977712092,0.9849129131110826,0.966472680567621,1.0085350912260203,0.9977060362106301,0.9980858005531085,0.9960142024895503,0.9989353098150761,0.9992902743756551,1.013011907573884,1.010885188928803,1.0087346340751717,1.009832215043489,1.009429320591618,1.0104106777182127,1.0084005834592809,1.0368274561612467,1.045806665449242,1.0998249826137125,1.0954179427127455,1.0932351783184373,1.087932880627682,1.085186217155244,1.1921898483045599,1.2273442620783392,1.219166169109733,1.2959188420939929,1.3900040807078367,1.3483976416754975,1.4616525374157652,1.617596501265739,1.6557160100294244,1.6321926191660434,1.59152847208452,1.5439735831940813,1.5254274836313548,1.5493702237834992,1.5832987863686172,1.637697132277395,1.7074706184426371,1.6850911539861901,1.6634283985358227,1.6339774538789877,1.615053770678765,1.6011156548894014,1.6266121020162554,1.731723543753426,1.8449909578379096,1.933614980970271,1.9969833895607598,1.9668708903704315,1.9346572710432755,1.943205946599389,1.9175177603266123,1.902525375159406,1.8724768125742695,1.8592328786656556,1.8439073853149048,1.834332723150717,1.8210522235662254,1.854874332574817,1.8596224288770378,1.8366630026186683,1.8870332946761628,1.8917440627403455,1.8780331678674116,1.85266826818596,1.8087074975645825,1.77875408406401,1.7411466106619016,1.719255733493871,1.6971382502623495,1.6837901393262982,1.6704051815003114,1.6419480343107105,1.6635519216052692,1.6482288917581007,1.637906116404833,1.641721457835066
6-2800637,,,,,,0,1.014439535946507,0.971793792944399,1.0204392873764803,1.0041571490376446,1.004407287214156,1.000918983144877,1.0035254388403272,1.002544418016108,1.0028595099373394,1.0010193953376076,0.9999224062807142,1.0020276493203542,1.0022598897592958,1.0038448134933602,1.001767893562996,1.0317180456020574,1.030149688947646,1.0670954524364356,1.0641806567786305,1.0627267247834655,1.059004543012955,1.0600753341450657,1.1918598730087684,1.2279826296361158,1.219735341552838,1.2985678370155258,1.395254458595154,1.3520709874480012,1.477878325738769,1.6401888255526915,1.679302553168357,1.6538174116860709,1.6105459032779887,1.5603190875391746,1.540441543880862,1.5652470869002502,1.599798563473702,1.655911507311534,1.7274491176960942,1.7044271527277066,1.6810377359494537,1.6502541479710482,1.6305373199153659,1.616074089257402,1.6417466840176216,1.749776279454715,1.867128776727183,1.958707154642265,2.0239038278752735,1.9915793180248003,1.9581609721032114,1.9661286383182455,1.9393825219593746,1.9236943343083255,1.8922621252742675,1.878278268699842,1.8624485508896769,1.8527726621738672,1.8387691898708214,1.8734290587818119,1.8778760281262954,1.8541345863699412,1.905556599290506,1.9099668100782792,1.8958612377518993,1.8690492486349666,1.8234641771509574,1.7925746084247653,1.753681418453461,1.7313095018587046,1.708473395934404,1.6947086159991855,1.6806988466311545,1.651573436882938,1.6735413987457426,1.65768813655429,1.6470660569815172,1.6508196870444083
7-2800647,,,,,,,0,0.9384010772905766,1.0237918284931886,1.0028601651782783,1.0033411304905377,0.9994186921775828,1.002696391436365,1.0018289025601357,1.0019458378932318,1.0003297389243575,0.9989622138730315,1.0013013150575447,1.0013957328131948,1.0031298097566619,1.0011662892911308,1.0323192940114947,1.03065170719975,1.0691325535897855,1.0661865397967785,1.0647825931481503,1.0608006027812547,1.0615607654578516,1.1984682889627651,1.2359600768907675,1.2270768971402042,1.30895268901268,1.409400418844907,1.3632086045899026,1.4943188463998434,1.6638388541174378,1.7040913877568349,1.676872177418726,1.6306337837746705,1.5770064710607519,1.5560313043865888,1.5810708547630925,1.616513892153785,1.6745318782123786,1.7484569921245565,1.723915189308447,1.6995882847706476,1.6671359085575765,1.6462065403950652,1.6306900077842443,1.656895139747698,1.7686680814415765,1.8893601593295744,1.9841538451228768,2.0513519205304322,2.017930392580527,1.9823235182521426,1.9904802636585264,1.9621578370852977,1.9457042067165746,1.912575841637598,1.8983156326082224,1.881410748297486,1.8711180305887707,1.8566731183171674,1.892245107166152,1.8970442481405128,1.8721128608191742,1.9248631388129223,1.928620674727443,1.9139268802403864,1.886327860865362,1.8389520181517789,1.8068962845071923,1.7664831678516406,1.7432348877465498,1.7196437574436854,1.7054420772991827,1.6912024795022373,1.6608587861030644,1.6833146726252814,1.6671045227438195,1.6561668451516947,1.6599553237829658
8-2800666,,,,,,,,0,1.0867273753667046,1.0260676950895633,1.0223800794378246,1.0148177077350733,1.0143674755090784,1.0101531186697499,1.0090659870195466,1.0067264006930996,1.004549781590211,1.0066351955637254,1.006232634995086,1.0076527997583635,1.0054210037297138,1.0383489532073924,1.0362488746171215,1.0721631498315831,1.0687530352016341,1.06720102871134,1.0630515205440871,1.0676381273692361,1.2120303957243446,1.2514389187300248,1.2414365345762088,1.3276594564205972,1.4334520158426143,1.3824046639965748,1.51878863363508,1.6991575777717352,1.7406187013075678,1.7107468504520524,1.659929880145702,1.601635698519438,1.5789884670252345,1.6043968463089304,1.640734855240899,1.701756216235401,1.778516270164612,1.7524858476948153,1.7258883587807865,1.6908976124872845,1.669014366996636,1.6526014720405766,1.679669471082253,1.7956118068576172,1.9216620474469779,2.0213901321204086,2.091347034125706,2.054971880748141,2.017485686476644,2.025294049567612,1.994380249035337,1.9768479198397533,1.9415729297213922,1.9269925419732397,1.9084966602429534,1.8975595933810259,1.8826031276110753,1.9190707761685435,1.923894481091146,1.8975239310931287,1.952410905960558,1.9550759957722166,1.9395565712597538,1.9107556446735927,1.8608787137450629,1.8269220553181293,1.7845776524989996,1.7605156585039705,1.7359746524914192,1.7208172732735503,1.70596782362215,1.6743474084207322,1.6973244491059216,1.680484820078639,1.6691100284527685,1.6728044828003743
9-2800678,,,,,,,,,0,0.9681390472865942,0.9798780273498684,0.9773741919784513,0.9907220641290445,0.993563747271447,0.9951418958801105,0.9940619897936087,0.9927907104545126,0.9964950770547946,0.9973656150194348,0.9997930323655987,0.9976157515424321,1.0339008325079728,1.031887282387723,1.071157643176631,1.0675254453916876,1.065706843910466,1.0610096178387194,1.0663068067601347,1.2216366813084663,1.2639926692193162,1.2526819609920898,1.3453931046009513,1.459004444186794,1.4015108068979005,1.5483117896922032,1.7438510294152407,1.7879223755951656,1.7531812812145084,1.6965216785319996,1.6314962861998599,1.606032677415763,1.6325825489717145,1.6705532067728055,1.7345983073804805,1.816831459873638,1.7878549990168546,1.7589848597844215,1.720609895518155,1.696288771338084,1.678415427738898,1.7061837191256486,1.8298478694813678,1.963816690154267,2.069247852286055,2.1432785404857686,2.1037485637988027,2.0626213238222717,2.0692837201724377,2.03683377402077,2.017094660844938,1.9787416934276643,1.96237113631673,1.9435071938904342,1.9310918079029833,1.9149497033939387,1.9531948943609871,1.958067005679789,1.9301908171171394,1.9867966833741146,1.9891629980655245,1.972642373046099,1.9408694500235038,1.887557842453408,1.8519464202938924,1.8066605403084797,1.7809141525038592,1.754958557137531,1.7394369499947295,1.723872642220028,1.690206279967878,1.7139168134671703,1.6965467849077231,1.684278957004411,1.6878725544616835
10-2800688,,,,,,,,,,0,1.0062095487298426,0.9884474066931398,1.002468721482704,1.0010236741669112,1.001383417577625,0.9993990718138751,0.9975240186937366,1.000688399890091,1.0008881841271358,1.0034703291987133,1.0006628246699145,1.0409069018259778,1.0380007150128752,1.0809892081438948,1.076297344280036,1.074205072793558,1.0688965309808358,1.074040045494773,1.2430045238852216,1.288930073692724,1.2754360981158763,1.3762192795239647,1.5000542279009295,1.4329646343725952,1.5888830061509416,1.8027632452437568,1.8493483337937269,1.8091564522851578,1.743945561468289,1.6702707855627044,1.6414294230927096,1.6696351069217175,1.708400736272121,1.777614641322088,1.8652798372697061,1.8326172890924532,1.8004040071683955,1.7580464405015042,1.730932308473706,1.7112462629272356,1.74069757301817,1.871926120471788,2.0150930170585752,2.128799439605946,2.2075572687014,2.1635318734450064,2.1171701837596335,2.1238289190152493,2.087265160484639,2.066280208111288,2.0241781258058236,2.0063034650429254,1.9850760646441854,1.972117622229674,1.9541587482278213,1.9948126673933766,1.9997068720329418,1.968847166578266,2.0289364404851464,2.0296106652474886,2.0115282619017294,1.977726869965202,1.920293599767814,1.8817425642211105,1.833594137097098,1.8061415132945888,1.7783728625164057,1.7617650976551822,1.7451245058212101,1.7097785967198802,1.7343013379137815,1.715628835497295,1.7029880103725394,1.7064300702405948
11-2805582,,,,,,,,,,,0,0.9680487180216842,1.001340717253804,1.0002439031667134,1.0013991049374276,0.9987112311223909,0.9967830406332958,1.0006487201423406,1.000865890372957,1.0033209739755073,1.0006320069416816,1.0428950997474518,1.0399539379657758,1.0843121835331186,1.079241118815681,1.0767364878890273,1.0710418430427393,1.0767031293382974,1.2528442261929345,1.300078537095636,1.2857283803445223,1.3905861085321232,1.5194709491557437,1.4477146746099068,1.6088181354962243,1.8328334945645253,1.880661960933758,1.8376999783664332,1.768042817465366,1.6897802519546963,1.6591606938843773,1.687747225647349,1.7276566471552761,1.7989423999278746,1.8894752511440762,1.8550072161464448,1.8210532120834784,1.7765333883145833,1.7480801465738367,1.7274636237581054,1.757076081841842,1.8920107773139465,2.039991146240009,2.1573200751441344,2.2384101982875326,2.192120976382724,2.143484765494662,2.1497775553311356,2.111489648746217,2.0895634433552486,2.045607009143052,2.026991274996735,2.0048796659874166,1.9913764825109947,1.972703746247527,2.0143498466876015,2.019251354096056,1.9871919320606888,2.0487086219416994,2.048718262841802,2.029954807717243,1.9949123542737086,1.9354829934979767,1.8956533098083708,1.8459941524981605,1.8177259772782193,1.7891506912265482,1.7720803651278259,1.7549791095223262,1.718677748596853,1.7435835077994268,1.7244433807682662,1.7114794658219532,1.7148499801554753
