순번_정류장ID,49-2805832,50-2803179,51-2807599,52-2802587,53-2802565,54-2802511,55-2802435,56-2802398,57-2804816,58-2802185,59-2802169,60-2801846,61-2802103,62-2801847,63-2801952,64-2801805,65-2803543
49-2805832,0,0.9950712399709174,1.0515115882622745,1.0128259262460761,1.0124454663416693,1.0116649209368047,1.0110675306118935,1.0236293881033756,1.0332624604635645,1.0548200219547301,1.0539467863121599,1.052528663205154,1.0521086171151028,1.050933529994629,1.0765220803456,1.1120982659009901,1.1537370539934344
50-2803179,,0,0.9934981402075022,1.001782269649757,1.0018276264005026,1.001575096390723,1.0012608734547028,1.014206481253364,1.024043587711839,1.0458273008470709,1.0452251760824167,1.0440102288734447,1.0437099610765919,1.0427363476101734,1.0584289581172561,1.0848498657170018,1.1254864269889733
51-2807599,,,0,1.0036808340440917,1.0036464566697465,1.0032321961868298,1.0028457727257643,1.018170238427698,1.0297644048705106,1.0554442049134871,1.0543941284916458,1.0527093313167966,1.0522552286702747,1.0508755361632725,1.0690340612861962,1.093043367568119,1.1158200670253298
52-2802587,,,,0,1.002952713385922,0.9993986501410544,0.9985287720697046,1.0004332086895253,1.0032632805032047,1.004593433556156,1.0058163397966613,1.005406100944676,1.0057486013581283,1.0056084807465946,1.00523938329928,1.0224377566714333,1.0843998143003195
53-2802565,,,,,0,0.9959986337184653,0.9959711177274835,0.9993574386880002,1.0030858988228675,1.0046962978125253,1.006108324286231,1.0056021754012487,1.0059829455851867,1.0056681966139365,1.0052522472081291,1.0244057926436179,1.0930103299890104
54-2802511,,,,,,0,0.995923591291433,1.0016649262434407,1.0063108865317028,1.007630094270145,1.0090242717614317,1.0079340534608983,1.0082761387654928,1.0076241240778256,1.0069103321245445,1.0292586819444824,1.109618322474907
55-2802435,,,,,,,0,1.0054566509940128,1.0100262382120218,1.0104707137259696,1.0116507678628275,1.009898863864366,1.0101708267213794,1.0091762810548857,1.0081821408538187,1.0329177273179393,1.122127084407932
56-2802398,,,,,,,,0,1.010031149470714,1.010729505826744,1.012356122825005,1.0098585491832195,1.010215571331621,1.0089648969064093,1.0079867269931637,1.0374569097365316,1.1446210135173933
57-2804816,,,,,,,,,0,1.0020913970184029,1.0080574303031657,1.00605495466493,1.0069480548267622,1.0060617523749973,1.0051805985648619,1.0055602216983233,1.1060126848609728
58-2802185,,,,,,,,,,0,0.9921995751100711,0.9977463088671464,1.0005207691324698,1.0015977073914173,1.0015432922582947,1.0025013064964918,1.0012751012132877
59-2802169,,,,,,,,,,,0,1.0021307302162126,1.0053505088211454,1.0043362164512155,1.0038194939348701,1.0042934245399924,1.002578167256237
60-2801846,,,,,,,,,,,,0,1.0142542273071422,1.0070437088664415,1.0045719838028582,1.005476142489406,1.0030454855025683
61-2802103,,,,,,,,,,,,,0,1.0028111251756953,1.002063817500397,1.0037175336047135,1.0014009677413236
62-2801847,,,,,,,,,,,,,,0,1.0013720338940884,1.0042318666420633,1.0008467910741243
63-2801952,,,,,,,,,,,,,,,0,1.0087614912069858,1.0004577487768087
64-2801805,,,,,,,,,,,,,,,,0,0.9931957316957601
65-2803543,,,,,,,,,,,,,,,,,0
