순번_정류장ID,1-2801620,2-2801624,3-2801644,4-2801637,5-2801224,6-2801670,7-2801683,8-2801223,9-2801702,10-2801220,11-2801723,12-2801218,13-2801744
1-2801620,0,1.0088893388680773,1.0241628833447185,1.0108354312112326,1.0043782875415566,0.9976408680675803,1.002582337730444,0.9976127133518078,1.0880399692544198,1.260583599733392,1.36170330444539,1.3347115863202148,1.3956308653251934
2-2801624,,0,1.0467974013113475,1.01228703479942,1.0025543777490773,0.9942891276212541,1.001574692340541,0.9959906239145521,0.9987290675832301,1.1109741931325234,1.2184638897111464,1.204382525054293,1.2870206267019824
3-2801644,,,0,0.9773212805911825,0.9859545422559988,0.9810742228801015,0.9961101733787554,0.9905297012375988,0.9940451562250998,1.099865840214656,1.2164239789529963,1.2015304303085568,1.2901729514874452
4-2801637,,,,0,0.9910342762390442,0.9823166228768646,0.9986537683678793,0.9920970653588933,0.9958242648789376,1.014808854689333,1.0306352270342036,1.0331398091943258,1.1452972147456868
5-2801224,,,,,0,0.9711308516800193,1.0009346681660578,0.9923658427413338,0.996882554152908,1.0196081615127248,1.0101190716004527,1.014950728976012,1.1418462122366286
6-2801670,,,,,,0,1.0099967566775823,0.9975786072768482,1.00223901516733,1.0286556261687847,1.0158275338792535,1.0206539111272686,1.158711782443166
7-2801683,,,,,,,0,0.9455385132518324,0.9854433821197155,0.9974863473648454,0.9861016821891923,0.9999187934740407,1.2108958000970471
8-2801223,,,,,,,,0,1.0281059540553212,1.0263969218504692,0.9971479068064119,1.0113440591094884,1.2468862334202522
9-2801702,,,,,,,,,0,1.0245414906431856,0.9865672518680332,1.0072446042890506,1.2801190443723238
10-2801220,,,,,,,,,,0,0.9691202606635071,1.0022150743455913,1.3196505564696652
11-2801723,,,,,,,,,,,0,1.059269761066466,1.074568164076361
12-2801218,,,,,,,,,,,,0,1.080609746864195
13-2801744,,,,,,,,,,,,,0
