순번_정류장ID,88-2800977,89-2800972,90-2800995,91-2801013,92-2801023,93-2801031,94-2801040,95-2801058,96-2801074,97-2801255,98-2801250,99-2801248,100-2801245,101-2801244,102-2805070,103-2801261,104-2804870,105-2801343,106-2801171,107-2801172,108-2801159,109-2801400,110-2801406,111-2801422,112-2801439,113-2801180,114-2801495,115-2801506,116-2801512,117-2801529,118-2801544,119-2801187,120-2801581,121-2801606,122-2800694,123-2800708,124-2800720,125-2800737,126-2800757,127-2800769,128-2800782,129-2800803,130-2800809,131-2800816,132-2800818,133-2802653,134-2802657,135-2802663,136-2802664,137-2802675,138-2802683,139-2802685,140-2802695,141-2802702,142-2802707,143-2802715,144-2802729,145-2802736,146-2802753,147-2802762,148-2803139,149-2803138,150-2803231,151-2803232,152-2803181,153-2803255,154-2804952,155-2803250,156-2803238,157-2803228,158-2803110,159-2803097,160-2803102,161-2803108,162-2803114,163-2805713,164-2803122,165-2803104,166-2803094,167-2803080,168-2803075,169-2803047,170-2803670,171-2802637,172-2802652,173-2803058,174-2800370,175-2800369
88-2800977,0,1.0038775533703337,1.0099523481419808,1.3212323989982353,1.4309238647269944,1.3527216921412983,1.3596575505770778,1.2634063510759452,1.2305369317338533,1.1739318026066783,1.1554116319065144,1.1414110640064508,1.1334693003908431,1.1259486934308125,1.1164820342357258,1.1103189481498228,1.1541083432506465,1.2942114421043953,1.4046644870333156,1.556964711502518,1.6867618765555994,1.646407899297837,1.615017408358915,1.6266066927483338,1.6294565183648526,1.5670631185263644,1.542872016831097,1.5377974658163878,1.5202297842976351,1.4918676668733128,1.4678070108875636,1.4496613263304843,1.4364543247643857,1.4131307074843404,1.370827987700999,1.352332674174326,1.3408673491993077,1.3322493619714844,1.3311630425921672,1.3214501715588756,1.3647776568572658,1.3387111629535358,1.3643166097121142,1.3633689985454012,1.3572477756352683,1.3493321287868774,1.3416931138966623,1.3361828008629246,1.3671153030067316,1.4131694537894561,1.4278702685321154,1.4193190480464706,1.406459265795372,1.397239720630129,1.4300005766880568,1.4230063379699474,1.406302127782566,1.3916161046734374,1.3836959326732092,1.378609654089466,1.369576918076668,1.378541394409336,1.407862572674063,1.3963679634585442,1.3885165384674139,1.38112142926303,1.3719266213829606,1.365385522919951,1.3858585176097475,1.4365540494425728,1.5132396265028116,1.560121574605878,1.5676087084634207,1.59950306767083,1.636453192163615,1.708531670168503,1.7439256479045293,1.7856141474613152,1.8290153395109474,1.9120766518102956,1.949676583587461,2.0134242349454325,2.0960252720745673,2.182623053234761,2.2326574267332417,2.326971808312038,2.343167688466954,2.4483622709720896
89-2800972,,0,1.0034418680883015,1.0028717960212317,1.0032056234055522,0.997218088695425,0.9996340507393687,1.0105328939350127,1.002114406754391,0.9984512872515929,0.9990372816408187,0.9987867399783731,1.0004685955641355,1.0022886056745353,1.0003725550126896,1.000994954976137,1.0578147854307909,1.1905262857241283,1.293551464554438,1.4372743716788465,1.559901358711681,1.5279019864140044,1.5025371791253788,1.5184230808536732,1.525652388830665,1.4747752519865778,1.4568383673642185,1.4543255176812373,1.4395588875490961,1.4163469118135799,1.396400631831284,1.3812748427744816,1.3701841142311886,1.350681009225948,1.3154774706665087,1.2999106126702997,1.2901388292513052,1.2829516455688388,1.2829369530871482,1.2745981530229524,1.3172977982856133,1.294849269880793,1.3202519789806202,1.3205112382833648,1.315086261106739,1.30819620925493,1.301343917764533,1.2966498919506086,1.3268293330655512,1.3718308905892025,1.3865149730194513,1.378692214378626,1.367229243795008,1.3591655067597601,1.3916782379090282,1.3853962560662165,1.3702291978002845,1.3570100862466614,1.3498093392292403,1.3452672550344518,1.3371086275051076,1.346510113493525,1.3754936983850952,1.364941892841518,1.3580606823054795,1.3510409544661344,1.34273773787449,1.3367722043503367,1.360343869566879,1.4102418343656173,1.485818649309371,1.5322060134349396,1.5397546408255267,1.571183847861065,1.6078040011397599,1.6787830040295502,1.7136512101733028,1.7545927602210254,1.7975900614148221,1.8740497720414147,1.9110285254619122,1.9734973199639736,2.0544031038041832,2.139193994706478,2.1879916617799693,2.280437694909652,2.29732721326652,2.408897491253595
90-2800995,,,0,1.001890676221697,1.0029177260630402,0.9919855501554848,0.9973105309606541,1.0131522001464446,1.001684147050589,0.9974230391344843,0.9982426529467329,0.9980301078148776,1.0000219587176107,1.0021289221526586,0.9999759603483116,1.000699054401699,1.0634654434819517,1.2109539487526244,1.3269163903963643,1.4896921300415726,1.6296836366646166,1.5893645887922536,1.5580964276706173,1.5731916640697265,1.57868100449999,1.5174120122969608,1.495035501222932,1.491127287597148,1.4741389034415966,1.446898774639423,1.4239224266642052,1.4066410562761933,1.3940613876277343,1.372011122593973,1.3325010282978877,1.3152455677332882,1.304500560685324,1.2965642939977051,1.296242004980969,1.2871474612577298,1.331891526262979,1.3074283287500814,1.3339658948757191,1.3338022820748496,1.3279077345376948,1.3205549789600726,1.3131714470574882,1.3080942545147216,1.3395337563351977,1.3865833428707224,1.4018575040034156,1.3933096802520177,1.3811621009545834,1.3722190682823687,1.4059235519401816,1.399161168349167,1.382932627067092,1.3687772473992905,1.3611080665919073,1.3562446289870322,1.3475540091004006,1.357081002322054,1.387106783467334,1.3757912496766136,1.3684434113523904,1.361045544925075,1.352279641165241,1.3460511009726837,1.3700737735844921,1.4216659484731833,1.4998005046606153,1.5477270043032019,1.5554901097010139,1.5880538418395957,1.626132623008346,1.6995834265062875,1.7358181049716215,1.7784035942897616,1.8231631015491652,1.9027485847852963,1.941348173375263,2.006616707941849,2.091296166482347,2.1802067549880206,2.23145829386517,2.3287150607839675,2.3453495505642814,2.4615144552551436
91-2801013,,,,0,1.00540895389907,0.9825257563071099,0.9947946220866322,1.0162297583766076,1.0016362269491002,0.9968154500697514,0.9978154672418289,0.9976274877488444,0.9998432544745379,1.0021497666305927,0.9998205382799583,1.000608998134691,1.0674225398967117,1.225116212052588,1.350191417141968,1.5265236518428014,1.6790229160213226,1.632290792493884,1.5965606167766213,1.6108199739847013,1.6148471327653773,1.5460115563909074,1.5204178530058983,1.5154847443191035,1.4967732800586093,1.4668903913080629,1.4418254246099536,1.4230708230726796,1.4094803329214403,1.385710460197208,1.3433243418083944,1.3249551493527436,1.313572559659832,1.3051457589646738,1.3046153292303893,1.2950305154690431,1.3410548623648701,1.3152888575684951,1.3423225641031633,1.342088259476084,1.3360167132947696,1.328170753315681,1.3204498598933958,1.3151292801042798,1.3474674051557947,1.3956710013623344,1.4113094931925996,1.4023741693007137,1.389412783782165,1.3801725473002062,1.4147251076632517,1.4076577946358877,1.3907582642683893,1.3760119147348402,1.3680482048134552,1.362982449858758,1.3539579114090765,1.3635560904713373,1.3941634295585958,1.382427147185308,1.3747871568790109,1.3671540442449983,1.3581002681561354,1.3514907181174851,1.3760511003724425,1.4286291855421633,1.5083298045344706,1.55726031118211,1.5649880020146585,1.5982448320829576,1.6370406589482198,1.7121779485695632,1.7492508266146032,1.7929741957592338,1.8386889903407537,1.9204830963546302,1.9599447845233675,2.0271080502835055,2.1138116398468227,2.2054598265727132,2.258432750892563,2.358515423105356,2.374960187206455,2.4936354660172486
92-2801023,,,,,0,0.9676646490848826,0.9916871712832507,1.017602475663644,1.0012371686539605,0.9963050162918684,0.9974298159176,0.9972778891739911,0.9996148221009385,1.0020274627791048,0.9996270487906614,1.0004546372253627,1.0688413016111646,1.2314280560891209,1.360679456542773,1.5432657460152235,1.7015793254196774,1.6517614860954957,1.6139090323237117,1.6277179179676722,1.631019216642483,1.5586652377215537,1.5315830112424778,1.5261736337146388,1.5063970712374601,1.4755986471172726,1.4495936587760698,1.4301792973041276,1.4161376428714627,1.3916035182582358,1.3479474196989925,1.3290899956797324,1.3174287921297612,1.3087881285956444,1.308165948998272,1.298367992123656,1.344941717169673,1.3186107792028219,1.3460424798338795,1.3455893933371443,1.3393890693436852,1.33138249848121,1.3235163119491242,1.3179744198458412,1.350522256813511,1.3995091591406308,1.4154317072884488,1.4064513403023664,1.3931079547704686,1.3836847534986216,1.418434456509571,1.4112361164163103,1.394048843589535,1.3790493273950393,1.3709598381103105,1.365807612253312,1.3566405553933027,1.3662680618116652,1.3970234187219757,1.385206049301356,1.377441477625181,1.369708447217483,1.3605322549105177,1.3540001366848762,1.378634416155112,1.4316344391461464,1.5121055789962736,1.5612625996559077,1.569331090121456,1.6028940850473794,1.6418297729698281,1.717767698814022,1.7552070473404313,1.7991141636148231,1.845290694901896,1.9277656308543074,1.9677986910570164,2.035547119456756,2.1235778608619262,2.2163400529405943,2.269599323865936,2.371161364828089,2.3875188680213113,2.507563412033697
93-2801031,,,,,,0,1.0114000414009285,1.0297383827829956,1.0077678772747822,0.9991875776757951,0.9999516688737882,0.9994783085236084,1.0017702269698332,1.0041284599027231,1.0014266883718979,1.0021629332553332,1.073265526683114,1.2436366253999123,1.379993543391478,1.5732235631494202,1.741477642757461,1.686122217668006,1.6444933557649677,1.6573593876740935,1.6592783746456758,1.5807622691969372,1.5510579977446082,1.544796142548552,1.5236511760201206,1.4907990739863883,1.4631748967554865,1.442626386813671,1.4278115639296027,1.4019661373592518,1.356130977717165,1.336437515625488,1.3243009006083966,1.3152927856778172,1.3145034294610654,1.3043422654525463,1.351791184722741,1.3245008531176332,1.352350466986129,1.351739239238016,1.3453208147252127,1.3370420944401191,1.3289308588109925,1.323327690739937,1.3565318531863673,1.406019492015519,1.4221887053589692,1.4129354372667056,1.3994187048016904,1.3894546179172746,1.4248134743570098,1.4173964428352839,1.3997299471735256,1.384307554722962,1.376008127558653,1.370710926010245,1.3613057007416007,1.3710678028807193,1.4023132138682612,1.3900951571823146,1.3821193707410493,1.374037165214799,1.364836491595486,1.358065317971376,1.3828562895580523,1.4365143841382686,1.5179331128335947,1.5679665824301134,1.57607876341137,1.6101123413040221,1.6496052849187168,1.7264917199213028,1.7643705160337322,1.8092164657969398,1.8561292345875258,1.939915750070955,1.9807850989387772,2.049726001913887,2.1390234633669754,2.233719420424739,2.2882195021124923,2.391654032606221,2.4078541843916486,2.5295120666121793
94-2801040,,,,,,,0,1.0374494955253397,1.006639441282441,0.9974803950343731,0.9986333574249707,0.9982913733491536,1.0009074390137866,1.003542806230991,1.0006920078538895,1.0015365642156906,1.076746534471679,1.2575149922829505,1.4034671078630319,1.6112594318830598,1.793262973307169,1.73010162186335,1.6832306678094275,1.6947471628528996,1.6947450954575025,1.607935258251202,1.5747609663654611,1.5673813051735292,1.5444501657316596,1.508938768781112,1.479237103841817,1.4572446222456277,1.4414498660341422,1.4139540625409879,1.3654122293998756,1.3446925402279424,1.3319744402226232,1.3225203698433008,1.3215361156447147,1.3109346916845352,1.3594903030217895,1.3310367902336075,1.359280104630466,1.358487763678086,1.3518091075294902,1.3432069682532757,1.3348039222986907,1.3289907674321813,1.362856444702215,1.4136855502333634,1.4300340622269612,1.4204443377745724,1.406294563102531,1.3962077885061728,1.4320662782610962,1.4243840265751528,1.4061375180818894,1.390206327149701,1.3816547894363302,1.3761843208032103,1.3664941646551902,1.3762141925284115,1.4080430262917494,1.3953694494288689,1.3872431672134689,1.379143901286904,1.369429807644402,1.3625672557896844,1.3877507043224477,1.4421379845703197,1.5248599402489005,1.5758397313470334,1.5841172887642758,1.6186291772728973,1.658817258376539,1.736915173614565,1.775629348627421,1.8213389149847843,1.8691738109687683,1.954606375140265,1.996025509691689,2.0666019563534617,2.158073861869728,2.254803872241797,2.3106228594452145,2.4166516480770883,2.4326532923681903,2.556834431605533
95-2801058,,,,,,,,0,0.9195594223276795,0.9775828761779748,0.9840088227185002,0.9861473264108539,0.9910224382967867,0.9955192543536915,0.9928870797500969,0.9946382543924303,1.0828156753279727,1.2939608891690415,1.4687752912890697,1.721339431298469,1.9465776357005256,1.8571280301284931,1.7931671915651102,1.7996295825840967,1.793093019786118,1.6809525565776484,1.6374134446038215,1.6267016327645425,1.5986235615952866,1.5555479958210152,1.5200295162549962,1.49404397373715,1.4755649035095093,1.4435927672314504,1.38784130898875,1.3644365099538163,1.3502106081399894,1.3396060765626217,1.3381221743280294,1.3263947523880986,1.3777926777141407,1.3463683727693618,1.3759636943057794,1.3747043722796621,1.367498958315066,1.3579294951906762,1.3487832123832415,1.3424362227922921,1.377853633732165,1.431433489226941,1.4487080120176121,1.4382646885994916,1.4228247628490371,1.41169714857528,1.4492421821911798,1.440892911348875,1.4211918982610108,1.4039915916349923,1.3948129411544674,1.388913076856742,1.3785183991614771,1.3883814433680521,1.421423815741756,1.407860974897369,1.3991278746258142,1.3904437314987432,1.3802265146932102,1.3729250956662558,1.3953800829873884,1.4516635731860261,1.5372767953305766,1.5897889286854139,1.5978859649351285,1.633902507283685,1.6759807845696466,1.7569265023193772,1.7970891695525457,1.844996697032322,1.8948955167093333,1.9899158916114463,2.0336407995515433,2.1077933618259372,2.204327581013926,2.3066591318068586,2.3660476263875654,2.478711242117831,2.494157795539932,2.615046742663553
96-2801074,,,,,,,,,0,0.9862819164136564,0.9912416067270213,0.9922050803162066,0.9967319654628168,1.0008525691462977,0.9974194921959836,0.9988325777374794,1.0915141430948418,1.3158265552840733,1.5040046280960448,1.7774520882762006,2.0232423256983916,1.9198480985312967,1.8470827070545963,1.8503462397969315,1.8401180273028122,1.7156401183840104,1.6670444027126454,1.6546656838015341,1.6245579131984282,1.5775954807852093,1.5393966841060764,1.5115830966168684,1.4918820262967347,1.4578731476382758,1.3988441757570849,1.374225672022187,1.3593215767678402,1.3481937665031742,1.3464522678274866,1.3342197046010857,1.3866964934212511,1.353806181356223,1.384037227594393,1.3825452386560944,1.3749054708386927,1.3651119172862298,1.3556409919289774,1.3490581043196215,1.3852471832902555,1.4399031385557437,1.4574742106513447,1.4463801026742817,1.430393668955255,1.4190051255881324,1.4571268581781827,1.44849362403249,1.4281776110683118,1.4104362817539178,1.4009919434810834,1.3949074911620836,1.3842119252291472,1.3939955907673605,1.4274856252359156,1.4137593428635924,1.4045628565010044,1.395871311951358,1.385400434625995,1.37772599343083,1.400399054892344,1.4574368741548183,1.5442565685388523,1.5977724492233616,1.6060211152128603,1.6424751201727872,1.684841364413126,1.7674030038637933,1.808373886429369,1.856677337196206,1.907587257091433,2.004438757827168,2.0488204852787044,2.124576405825613,2.223058839814981,2.3275499979077074,2.3880203408119605,2.503224856994161,2.5184064751783555,2.641227820896321
97-2801255,,,,,,,,,,0,1.0040090460526314,1.0002983924320858,1.007015850443142,1.0117703711668922,1.0042697519199686,1.0053537827908663,1.1306787914535117,1.3795761729025244,1.4125533470530938,1.6626187094794487,1.9407385229120062,1.8319581235236948,1.7570954506059044,1.7674696344888168,1.7621411590313105,1.6387266939628617,1.5937108005455174,1.5836209461353228,1.554772297478591,1.5102734019158894,1.474442447465096,1.448496833647095,1.430144149420551,1.3987892995944267,1.3452685429777402,1.3230064808171034,1.309455733994655,1.299564672203839,1.2990893854942454,1.2879752577186439,1.3422423807262034,1.3119848161322087,1.343606924695977,1.3431529348975533,1.3361151427710996,1.327081696738078,1.3182511684102882,1.312206627582246,1.3490896570152409,1.404798044260141,1.4227731015798823,1.4122721944970567,1.3972490927430727,1.386516945087361,1.4256347063913162,1.417401655484638,1.3979168953539796,1.3810593568167873,1.372035995159517,1.3663091182612876,1.3561671815759746,1.3667939642799611,1.4008430913712595,1.3876085085483811,1.3791240733083046,1.370523271771191,1.3604741236076319,1.3532569876877878,1.3765692083517262,1.4342777221956506,1.5222191136909682,1.5766062675558596,1.584974284045994,1.6219683186079317,1.6652451394466965,1.749189308663607,1.7907477561815148,1.839938580124477,1.8918340457307419,1.990896245668616,2.036420499207679,2.113562127527345,2.2146420620369756,2.3218843339644133,2.3840355126136417,2.502624460956638,2.5182734541612977,2.6445266290323564
