순번_정류장ID,17-2806476,18-2806477,19-2806478,20-2806479,21-2806480
17-2806476,0,0.9525961015784788,0.9507527407090726,0.9629387100798873,0.9671742038202951
18-2806477,,0,0.9441840588259887,0.9772235777115539,0.9800140312844824
19-2806478,,,0,0.9981415864147614,0.9917789247626717
20-2806479,,,,0,0.9849250212323645
21-2806480,,,,,0
