순번_정류장ID,20-2801191,21-2801573,22-2801558,23-2801545,24-2801503,25-2801479,26-2801466,27-2801442,28-2801436,29-2801448,30-2801486,31-2801519,32-2801571
20-2801191,0,0.9709188672714776,0.9790633050952332,0.9873083424073332,1.003415599233881,1.007363094952468,1.0057760834250382,1.0033500608090253,1.0108231943002848,1.2753455788653043,1.7341477005808925,2.3701070670112956,2.352233122499032
21-2801573,,0,0.9948334921818232,1.0027184497315127,1.021877667140825,1.0227946522537357,1.0176744760483063,1.012510601731573,1.020567415028258,1.3635274203454322,2.0172414890319037,3.0723344143081763,2.9847539311612477
22-2801558,,,0,1.0131417273231917,1.0344499328811954,1.0313622701466407,1.0230210551427386,1.0158231793308392,1.0245647465800862,1.4291952216680466,2.2612573351305882,3.8035845663030172,3.6047085940072434
23-2801545,,,,0,1.0460080046282043,0.990268925627559,0.9918673216439878,0.9907489429228559,0.9938943259866817,1.4939798587255384,2.536248852536513,4.816205645425965,4.403816454758933
24-2801503,,,,,0,0.92709264024112,0.9581433183569219,0.9674185213065158,0.9776375765545469,1.5381623358826202,1.931778033432033,2.628994813319996,2.572498808322391
25-2801479,,,,,,0,0.9960279029292461,0.9913568612454132,0.9968314248104099,1.8342188963036725,2.4219080293773225,1.926696357116239,1.7696532759615593
26-2801466,,,,,,,0,0.9869307123825737,0.9971945209649835,1.5210777939714877,2.1403728846424004,1.7281304558250794,1.6004723917243349
27-2801442,,,,,,,,0,1.006551188994326,1.0081542790323759,1.1753418023524647,1.1246691668423883,1.1054543079677663
28-2801436,,,,,,,,,0,1.0094769977724718,1.010390548145302,1.0052112141362912,1.0023149622618368
29-2801448,,,,,,,,,,0,1.0112885978909962,1.003033251788819,0.999457425163238
30-2801486,,,,,,,,,,,0,0.98723608176743,0.987025453575833
31-2801519,,,,,,,,,,,,0,0.9866526146498368
32-2801571,,,,,,,,,,,,,0
