순번_정류장ID,1-2801231,2-2801753,3-2801233,4-2801236,5-2801234
1-2801231,0,0.9884263520598051,0.9868888311660005,0.9935143416691368,1.0270834644334486
2-2801753,,0,0.9836033851810116,0.9987528980013406,1.0629588635412566
3-2801233,,,0,1.0128864747765975,1.0062071103194188
4-2801236,,,,0,0.9872993446762458
5-2801234,,,,,0
