순번_정류장ID,1-2803214,2-2803360,3-2805324,4-2803140
1-2803214,0,0.9996961797313901,1.3211354135436448,1.1080257322205376
2-2803360,,0,0.9980042944626561,1.0076993429187984
3-2805324,,,0,1.0067299073934621
4-2803140,,,,0
