순번_정류장ID,12-2801638,13-2801576,14-2801580,15-2801564,16-2801501,17-2801450,18-2801438
12-2801638,0,0.9971558631685212,1.0140876789828066,1.2392556888241228,1.1557298785580143,1.1065762764951423,1.0872584930790408
13-2801576,,0,1.0036029291345951,1.003023890971242,1.2806635136491367,1.1550378999278645,1.1156936453828084
14-2801580,,,0,1.0025974473510775,1.0115441789865207,1.0027664505321734,1.0055837569965378
15-2801564,,,,0,1.001841710117743,0.9961317534755946,1.0015760121938313
16-2801501,,,,,0,0.9913273063152903,1.0014561778426414
17-2801450,,,,,,0,1.0082689043067496
18-2801438,,,,,,,0
