순번_정류장ID,1-2804422,2-2807563,3-2807568,4-2807569,5-2804424,6-2807565
1-2804422,0,1.0102733443404879,0.9988244514106581,1.0060486029333047,1.082328174697003,1.1111953625269646
2-2807563,,0,0.9705215419501134,1.0001285347043702,1.0835467622662818,1.112927191679049
3-2807568,,,0,1.0388724035608308,1.0843253054013993,1.113920840446154
4-2807569,,,,0,1.0845658260226458,1.1143238682268501
5-2804424,,,,,0,0.9190001072846261
6-2807565,,,,,,0
