순번_정류장ID,1-2804988,2-2805069,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801258,9-2801277,10-2801290,11-2801314,12-2801348,13-2801369,14-2801402,15-2801437,16-2801457,17-2801477,18-2801517,19-2801539,20-2801580,21-2806837,22-2801628
1-2804988,0,1.2068921800914485,1.1564350569158373,1.1304023512756822,1.1033237601946737,1.0809217254561077,1.0706463704680562,1.0591169753518632,1.2954924188729133,1.3906642531376316,1.3231836617050623,1.3174574202456466,1.3835640161586351,1.3490073020605426,1.3274687376871281,1.312164911730687,1.2999385902531686,1.2717727301542474,1.2647992456582429,1.2546924583438144,1.2570031258893881,1.4352265595767932
2-2805069,,0,0.9493749296091902,0.9716876767327908,0.9895699996643016,0.9841788740707719,0.9893812771592865,0.9912326204239638,1.125997153918908,1.2541922612032428,1.2021243333350464,1.2087700157127146,1.2864169543260504,1.2564642087186295,1.2401247943821272,1.2281503450300983,1.2186247209821428,1.1945915145304566,1.1899315746615349,1.1820039719626168,1.1897461078561204,1.3809442015613544
3-2801243,,,0,0.9965483600431313,1.0055981804892586,0.9929653917435436,0.9968402824844733,0.9970207605131826,0.9963646883203324,1.0464510653591514,1.0705761842953285,1.0628042049050546,1.133199306030625,1.1195265396945853,1.1154563470998335,1.1112585554311871,1.1077424061103933,1.0942469514434061,1.0935881335754003,1.0899484673267823,1.103721629742051,1.2804850177840301
4-2801242,,,,0,1.0106415111136546,0.9919160120775248,0.9968989422010975,0.9970876894052678,0.9963444988438983,1.001223358258304,1.0762839068425172,1.0672365381319884,1.0624958405005835,1.0555367587257365,1.0518305705115065,1.051282989226279,1.0506094824223258,1.0420502687265232,1.0411868973864145,1.0397111641763568,1.0361355056698565,1.1946812684551278
5-2801247,,,,,0,0.9711738934437777,0.9856152636844363,0.9903205467214774,0.9912827792771011,0.998220611512075,1.0857163841790622,1.0740253943491074,1.0681081697042212,1.0597948583761199,1.055311474694646,1.05449663759068,1.0535992148174929,1.0440732793025191,1.0430570816253846,1.0413902432241047,1.0374186233846328,1.1989692727010592
6-2801249,,,,,,0,1.0004822055283231,0.9988059841266125,0.997003354319538,1.0038285918332626,1.105114115871133,1.0884567337531674,1.0803769070231226,1.0697155748055647,1.063743109034312,1.0622806939620328,1.0608722972034395,1.0498740664270174,1.0485153132223282,1.046472561106952,1.0419820202201822,1.214800040922359
7-2801253,,,,,,,0,0.9975389101592582,0.9956749273155199,1.0046725681842912,1.125715187203262,1.1023388283030322,1.0915764468627294,1.0781626208234596,1.0705652634262381,1.0684483758690202,1.066533745782351,1.054011060113286,1.052339766195156,1.0499506320225298,1.044535604357252,1.2303151993322785
8-2801258,,,,,,,,0,0.9937720503272052,1.0068627370371284,1.0041449430370422,1.004996906676819,1.0085281867200233,1.0056238523121575,1.0065187760336622,1.0093819135173323,1.0111718993213088,1.0041184878148741,1.0071192007243819,1.0069954800939898,1.0318026278917294,1.2546050002742235
9-2801277,,,,,,,,,0,1.0194296795472675,1.0085038392488688,1.008347104608527,1.0122652699422234,1.0081093307469842,1.0087952654869023,1.0119095673856897,1.0137786009813894,1.005469894567124,1.0087639185817483,1.008528111898271,1.035783570068824,1.2847885983287304
10-2801290,,,,,,,,,,0,0.9999979089996656,1.0033481858843005,1.0039005344574323,1.000438709253103,1.002671580874955,1.0070907731952043,1.0097247613746878,1.0007316097608727,1.00204075850421,1.002226109604608,1.0020141006085466,1.118909268795795
11-2801314,,,,,,,,,,,0,1.0079629031886195,1.0001349113877476,0.9960499018263993,1.0003178987324541,1.0066252348647586,1.0101213788890295,0.9988053016125527,1.000574269994949,1.0009181226569206,1.0008768763921858,1.1380788134263018
12-2801348,,,,,,,,,,,,0,0.9879917054727791,0.9880493737337772,0.9970568862716954,1.0061690925618845,1.0107455721249377,0.9967538085289355,0.9990837145375432,0.9996332610188512,0.9993919924069847,1.1569994090850038
13-2801369,,,,,,,,,,,,,0,0.9880934099122619,1.0004949135765642,1.011278908641845,1.0159702575374627,0.998232627566633,1.0007418660403802,1.001184281741162,1.0010779746044378,1.1744883387101548
14-2801402,,,,,,,,,,,,,,0,1.012731882911126,1.0247868651683605,1.0279572921986064,1.0011113264218583,1.0038223198880316,1.0039510468326711,1.0026238166912012,1.2037069827430797
15-2801437,,,,,,,,,,,,,,,0,1.042165662606737,1.0397168248386854,0.9964169553915027,1.0009026455902232,1.001557599516107,1.0006447789061041,1.239776235303994
16-2801457,,,,,,,,,,,,,,,,0,1.0368907563025211,0.9786064724870165,0.9887636598365104,0.992089417091115,0.9948786152410821,1.2695684694251699
17-2801477,,,,,,,,,,,,,,,,,0,0.9489350658239978,0.9722978256869481,0.9807460992907804,0.9882498218866403,1.3045327388794554
18-2801517,,,,,,,,,,,,,,,,,,0,1.02017580773367,1.012218901766238,1.005907745910564,1.4534558315029076
19-2801539,,,,,,,,,,,,,,,,,,,0,1.0047906674742053,1.001901324693434,1.5647422993030007
20-2801580,,,,,,,,,,,,,,,,,,,,0,0.998317349322025,1.3124769640401976
21-2806837,,,,,,,,,,,,,,,,,,,,,0,1.3246324770585889
22-2801628,,,,,,,,,,,,,,,,,,,,,,0
