순번_정류장ID,1-2805540,2-2805541,3-2805542,4-2805543,5-2807591,6-2807593,7-2807592,8-2805548,9-2807589,10-2807595,11-2807594,12-2805544,13-2807596,14-2807620,15-2803141,16-2807600
1-2805540,0,0.9972962974803502,0.9975462447522991,1.0005465023847377,0.9995295026698132,0.9995187516212268,1.7472773050848018,2.290237418444473,2.220845755100259,1.593343888668511,1.485541673703278,1.916087790660155,1.817497192563238,1.7649907054889609,1.714626667835171,1.7036886846483938
2-2805541,,0,0.9976742800633854,1.0009432274097871,0.9997524371039792,0.9996804165237975,1.8223603444357928,2.448317798966758,2.361009221110457,1.6246794057607803,1.5063165586182239,1.9583943280535618,1.8478877829873628,1.7914239050132428,1.737652205272247,1.7260154753815904
3-2805542,,,0,1.0019407838962238,1.0002441187398061,1.0000061913394769,2.0181690314564755,2.892282234780446,2.744546563698281,1.6949349672533363,1.551480739750983,2.0513864715290238,1.9128809461702465,1.8475065843494607,1.786160292733599,1.7729820414194273
4-2805543,,,,0,0.9944060809779222,0.9978092140276414,5.351353002260094,198.70153491941673,20.348225585418277,2.082511549656401,1.7683276316344232,2.5247274846298144,2.2084559159002306,2.094686440184062,1.994164616850618,1.9732235841404542
5-2807591,,,,,0,0.999486753680013,2.2166586714407233,5.3124795489746,4.351969790480549,1.6413489436145876,1.475345198540587,2.108358121884157,1.9260362251192311,1.846892078011251,1.7747932559543915,1.7595558440444439
6-2807593,,,,,,0,1.0001027825579016,1.1296429231345322,1.1237112097677517,1.046303575717679,1.0371868494802396,1.506796184670142,1.4821244873060448,1.4485273549439612,1.4152203287381206,1.407925847388002
7-2807592,,,,,,,0,1.0067155421519516,1.000489741993288,1.000215440037175,1.001138710218588,1.5803696405356156,1.5324766107803565,1.488811352019509,1.4470750700686101,1.4380957226229412
8-2805548,,,,,,,,0,0.9815950920245398,0.9991351073838425,1.0004817194740372,1.6567908896705266,1.5829369112405283,1.5305359667964529,1.4816922454587962,1.4713076786170887
9-2807589,,,,,,,,,0,1.0001513169455456,1.000007719706713,1.6854198547800456,1.6009730554445702,1.545260362064926,1.493773511876054,1.4828720052651876
10-2807595,,,,,,,,,,0,0.9996781457948783,4.284038763459769,2.3753466572489903,2.104095860467338,1.9118975003552021,1.8760744698270113
11-2807594,,,,,,,,,,,0,1.0025209441918435,1.168570424407732,1.1516266522589915,1.1320206207189654,1.1276415477042394
12-2805544,,,,,,,,,,,,0,1.3926169670442399,1.296402886668641,1.229628779970061,1.2173412277899358
13-2807596,,,,,,,,,,,,,0,0.9981177764383679,0.9980291046595688,0.9960019092491984
14-2807620,,,,,,,,,,,,,,0,0.9979384030303097,0.9942435006271981
15-2803141,,,,,,,,,,,,,,,0,0.9781418705659559
16-2807600,,,,,,,,,,,,,,,,0
