순번_정류장ID,1-2807632,2-2800680,3-2806689,4-2800722,5-2800307,6-2800758,7-2803491,8-2806937,9-2804966,10-2800663,11-2800655,12-2800654,13-2800340,14-2800624,15-2807077,16-2807079,17-2806633,18-2805743,19-2804896,20-2805037,21-2805221,22-2805232,23-2805872,24-2805230,25-2805333,26-2805228,27-2805226,28-2805575,29-2805499,30-2805843,31-2805408,32-2804947,33-2805317,34-2805874,35-2805024,36-2806658,37-2806743,38-2806902,39-2800582,40-2800571,41-2800554,42-2800544,43-2804975,44-2800560,45-2803766,46-2800351,47-2800549,48-2800543,49-2800385,50-2800536,51-2807212,52-2803764,53-2800530,54-2800523,55-2800519,56-2800517,57-2800515,58-2800508,59-2800506
1-2807632,0,1.0163081622150034,1.0130228918275506,1.0100595480095471,1.0108277115333912,1.00921116387954,1.0072643286583438,1.1431178439256855,1.5002501711019918,1.529406198367412,1.5036579139100943,1.5096425435787892,1.5514221033598985,1.681568452248093,1.907032546770993,2.114073892225369,2.0474549268503175,2.0655836295681165,2.2039723855791356,2.4095913309809815,2.57546420144889,2.7310087119716626,2.6630774666767145,2.590153193323538,2.6043916874897306,2.610475569301225,2.473350881832335,2.41938407933539,2.5971779392990717,2.775086901615167,2.810352608729735,2.722306847593245,2.6756300592200013,2.598980161100925,2.5462441886770617,2.49548073314897,2.3125378613379635,2.2570736861015708,2.230400288011911,2.1644260299627653,2.101624206805888,2.123516564088128,2.2267145219589755,2.7673992800599247,2.7783384788797125,2.6964385470895467,2.647351766471817,2.649158496307417,2.638445481378906,2.5226654870225786,2.4482922169848274,2.5093411243862374,2.508850549701402,2.4661113132700163,2.4307646428078917,2.408153530538054,2.384770408585523,2.3142076009428285,2.2807376731945204
2-2800680,,0,0.9798360299181963,0.9845825022068543,1.000308792552245,0.998107479269997,0.9967851708991091,1.0495877636944346,1.78731881084519,1.8293315558331231,1.750143860303482,1.7499329548470717,1.8254912404402353,2.0909044854346597,2.5771118390887815,3.131329246166758,2.831057279368983,2.8245025573513907,3.1725157029482927,3.7549096298912525,4.282951313256463,4.785083604092319,4.448162271706859,4.122568773708336,3.8576494971921917,3.662190174425652,3.269824621785988,3.394923444952144,3.8555477779805543,4.34099751515965,4.408183736882662,4.086354450447886,3.9284007323710743,3.6877634979984366,3.5321786621828344,3.3884020564634985,2.899899435322082,2.777501476366298,2.720798477814006,2.5856897712901885,2.464084920146356,2.485915031279886,2.651277188455166,3.596901714361843,3.603506726552163,3.4232824537263413,3.319348316658159,3.314367896718424,3.279660018177982,3.0515386566019567,2.912341481405816,3.0033645850236375,2.999954429029631,2.921917406766169,2.8587671716620084,2.8190411751889233,2.778221323421569,2.6585126188501818,2.602960145559187
3-2806689,,,0,0.987794805534657,1.00511112969217,1.001455994906786,0.9989808083551798,1.0004733398209447,1.4437711017450348,1.5011382900401216,1.4574103502806122,1.4703434273928813,1.5430590403547348,1.770588454017045,2.1824006387919272,2.614521784275007,2.4226040877385695,2.4358674825677693,2.7136597140599594,3.166568758204135,3.566820867509222,3.9493771162021605,3.7220256434295984,3.4967240029449327,3.308875476850068,3.168270394373341,2.8774311778184707,2.984642102340656,3.359931720831958,3.7476653364229757,3.8088095441320675,3.5709589061302913,3.452273721602106,3.2685326900478966,3.1482581504493905,3.0363123451893377,2.654159761808957,2.5536110436605495,2.5076412069052414,2.395240831341015,2.293745058696694,2.318288854404531,2.4681339569133645,3.310233270546342,3.319752020411992,3.168455042920331,3.080621488126769,3.0784822859630965,3.0520192122499643,2.8565937934580634,2.736345481640943,2.8213026271031394,2.819006714365852,2.751160299940201,2.6960507691334286,2.661278732877268,2.625544214925843,2.5199989695639555,2.470984367111659
4-2800722,,,,0,1.014295645044621,1.0065282912867544,1.001629369309188,1.0029206073095291,1.0678127615940043,1.133776885422876,1.1229775987482096,1.1472320361087722,1.2153233616415855,1.4022133773526075,1.7358172629005777,2.0491271619599654,1.9554390049711674,1.9859831274206683,2.1941139773381413,2.5221271297493204,2.8043611438334177,3.0784060203959447,2.9447036748482547,2.8086645928540346,2.692056304760182,2.6036328952616485,2.413393185202493,2.501163000172186,2.788075404604366,3.077786373567897,3.1316898093567214,2.975240734744561,2.895640814225912,2.76984515178938,2.686326184016626,2.6080566228091264,2.342071271233168,2.267623080733036,2.232917624393328,2.147448565184261,2.0698023797581735,2.0980621515665545,2.2276327545426637,2.9461447566511803,2.9587333375826828,2.8410336161684357,2.7721263652398545,2.7732166989102165,2.756354936806743,2.600223509355926,2.503105999631756,2.57980707488855,2.578848715745883,2.523266583767839,2.4781560056585668,2.449861741599818,2.420488639543642,2.333185184927101,2.2924459686864376
5-2800307,,,,,0,0.9884001407270729,0.9914175623463909,0.996413071259656,0.9904621379285977,1.0003800980114927,0.9990275121009726,0.9982253040443125,0.9982505279003384,1.0007995877215157,1.2465604123784026,1.4617195798624232,1.4455477425085745,1.4051227159603539,1.5227864413441026,1.721954797294031,1.8883402983148772,2.0570065113026232,2.0052311166904198,1.950987407383798,1.9026468687389448,1.8659557056029477,1.7808018567046253,1.8451036568607173,2.032586670390069,2.216275029607091,2.260259737062611,2.1866937550466505,2.148227930577907,2.0852418638242054,2.042697989805205,2.0027642736388076,1.965455944662088,1.9168347553921552,1.893533410372197,1.8371362688613118,1.784566843166333,1.816532788332092,1.9250567235802067,2.400781536188871,2.41665424981212,2.342516491766948,2.298567463415507,2.303649571441805,2.299191614597351,2.196568839157099,2.1418019122627276,2.275284547988921,2.276061460226111,2.2343846446695816,2.2006108645728877,2.1786881140329104,2.156475127860694,2.0901379080835114,2.0589173192081947
6-2800758,,,,,,0,0.9930086650343756,0.9990146876461226,0.9908562543781227,1.0023275084591787,1.0005891209007,0.9995435768631503,0.9994419248236307,1.0020880719775953,1.2735137542287416,1.5169016972443239,1.4928316476324315,1.4439756369244832,1.4231561582909127,1.4824142387959138,1.620222345257217,1.7628150537776377,1.7289426909486072,1.6932128177274337,1.6608767655293235,1.6366263522584783,1.5778726395584135,1.6353079633927743,1.7955805065402013,1.9511126180482576,1.9918620166732781,1.938793916741135,1.9107710920665018,2.007397824280056,2.028997323841253,1.988821033753106,2.0294081574868486,1.974907988211542,1.9483731944768852,1.8859150799255167,1.8271093877849116,1.8598179072952048,1.9754549075184458,2.2119560481090454,2.228588367621563,2.1676592182667944,2.131385407640457,2.1375946288791208,2.136839481742262,2.0511282644889826,2.1967333934845072,2.3393068508523274,2.338943565052942,2.2936864474926675,2.256117976010269,2.2331935349486547,2.2086473207674304,2.136396193888194,2.102297912181705
7-2803491,,,,,,,0,1.0086153688441437,0.9896333286814274,1.0064749895353702,1.0035137146721427,1.0017709504024597,1.0029475585185834,1.0043138344001112,1.3457813353752268,1.669785141638797,1.6164272425347541,1.5417545180722894,1.5111881644484177,1.4628468096458886,1.4396923378520017,1.4067926001119984,1.390416420067988,1.37345353487859,1.3576533656674512,1.3464637365558245,1.3163014515241915,1.3660445162405388,1.5016702819014611,1.6281397663571902,1.7351479426493777,1.8953616049340647,1.9951642005559609,2.182421599251374,2.206413086047058,2.150933113104573,2.1795909863492025,2.1081010605020714,2.0745058275315853,1.9943707153893342,1.9210761542316181,1.9551046311468125,2.0889406674440614,2.297433106241265,2.250305930589402,2.184826072742019,2.1460230940062095,2.152438301703858,2.1513158024565646,2.1186558102414157,2.316137204564652,2.4794297497314024,2.4789337323447476,2.4235833024683187,2.37857652604137,2.350135518531514,2.3210439928911857,2.2349670606277012,2.19504820862105
8-2806937,,,,,,,,0,0.9791784282730198,1.0056483721482106,1.0018900997363915,0.9999154977184385,1.0016497915396734,1.003534349373356,1.409053738152475,1.8160198884651246,1.7271067021914146,1.6253953671017045,1.5837287292116604,1.5226947526711916,1.493793810591576,1.4516023413339403,1.4317960766159366,1.411664231555214,1.3919599160839042,1.3786551226854038,1.3428342219102833,1.3971782602402982,1.5470041783775874,1.6886068012457767,1.8092140929669713,1.9915663669550243,2.1062786395879987,2.323996217551088,2.3492605679451497,2.280043285455899,2.2956283804904496,2.209294981488433,2.1694622938529444,2.075778359612177,1.9886320145685168,2.0253031647091753,2.172225574724521,2.397812299390628,2.3431733413145563,2.267877543822862,2.2228820534221283,2.229652544048551,2.2263273792558422,2.187143289411935,2.402622839475043,2.5818407716054894,2.581112199057879,2.5176172766560567,2.466900216598654,2.434426221808737,2.4019119379508376,2.30532563835233,2.260782510890208
9-2804966,,,,,,,,,0,1.0675754882347597,1.0329506464175582,1.020007065205005,1.0176304276907377,1.015469369334579,1.6331572085785722,2.373933425915563,2.09414263578488,1.8819357059397892,1.7995827149811896,1.6923715786240534,1.6406923224075518,1.5731371723721115,1.541807578629883,1.5096154366417875,1.4808797261811903,1.460313975616885,1.4094247395594657,1.475061599136783,1.6609119536507417,1.840021933599722,1.9967020601042194,2.2386466570019348,2.3946012250657054,2.6993355454351575,2.726190843625576,2.6143767142165077,2.583150776129281,2.456764561729564,2.3997638228406752,2.2668497617199157,2.1512139739040372,2.186096110871143,2.3669017868854536,2.628937097808314,2.5551578870321014,2.4552797366779253,2.397236831169406,2.402370728482321,2.3943405254105756,2.339903262829972,2.5960914315795893,2.812839777437323,2.810074812967581,2.7278623690891974,2.662094020841952,2.621046556985426,2.5792480976796077,2.4578754484010847,2.402570538308835
10-2800663,,,,,,,,,,0,0.9842288272102101,0.9863830863189016,0.9958177550718733,1.0016637794770393,1.5202725012885487,1.8412691061651256,1.7135212154877209,1.583564466384698,1.5350586085319982,1.4643548248455378,1.4324057387963418,1.3891248759964296,1.368824766573495,1.3480058384700337,1.3290696054880833,1.3161273073937438,1.2813304274450255,1.3432752438228235,1.5129734251871572,1.6758991097200053,1.8176973560732155,2.035010808683812,2.1746133843982474,2.4454408788739728,2.474455772974282,2.383504778817069,2.4129975257346397,2.3032780146043654,2.3304379818846983,2.361944074228985,2.228740454312531,2.10778542699633,2.225366634594755,2.479422649653499,2.4143879536793285,2.3259237360017333,2.2743777244412913,2.280653095708729,2.275988302426613,2.230104937244783,2.471800759540918,2.6756341952488754,2.673805849882789,2.5996789004109675,2.540225246346142,2.5030401422441018,2.4651891822852376,2.5083205294244753,2.4483972031533434
