순번_정류장ID,16-2801725,17-2801708,18-2801694,19-2801196,20-2801657,21-2801618,22-2801596,23-2801188,24-2801469,25-2801430
16-2801725,0,1.0056078606736685,0.9974965218235351,0.9971232856559238,1.0011579497033345,1.0016283481470603,1.002392903728897,1.0005045867765177,1.0014432269155995,1.0014928651521973
17-2801708,,0,0.9893174712737017,0.9938072943305661,1.0000735628756612,1.0008240133599164,1.0018353118180823,0.9998029802011706,1.0009820031525827,1.0011019351158275
18-2801694,,,0,0.9966489778611535,1.0034982353633444,1.0037067968453572,1.0044324224115413,1.0014577399584144,1.002421495623163,1.0023270351849578
19-2801196,,,,0,1.0104370600241597,1.008331032253285,1.0082299470269254,1.0030550576184378,1.003820256763598,1.0034424677079257
20-2801657,,,,,0,0.9997059004900078,1.0037518427459144,0.9981849061821005,1.0009208366692537,1.0011315936307623
21-2801618,,,,,,0,1.007935143947243,0.9976297491585524,1.001172937650508,1.0013484362036003
22-2801596,,,,,,,0,0.9920144627546625,0.9994680449662826,1.0002131258457376
23-2801188,,,,,,,,0,1.005883801819927,1.0040038343795417
24-2801469,,,,,,,,,0,1.001820553811935
25-2801430,,,,,,,,,,0
