순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2804990,6-2807301,7-2803514,8-2803093,9-2803107,10-2803121,11-2803125,12-2803232,13-2803181,14-2803254,15-2803258,16-2803263,17-2806495,18-2802802,19-2802790,20-2802606,21-2802764,22-2802635,23-2802730,24-2802727,25-2802734,26-2802756,27-2802782,28-2802819,29-2802852,30-2802888,31-2802912,32-2802949,33-2802975,34-2802981,35-2802624,36-2802989,37-2802993,38-2802969,39-2802615,40-2802952,41-2802918,42-2802864,43-2802824,44-2802618,45-2802828,46-2802193,47-2802196,48-2802200,49-2802204,50-2805533,51-2802218,52-2805976,53-2802233,54-2802254,55-2802261,56-2802258,57-2802252,58-2802249,59-2802368,60-2802440,61-2802421,62-2802409,63-2802413,64-2802417,65-2802424,66-2802416,67-2802411,68-2802427,69-2802444,70-2802457,71-2802486,72-2802503,73-2802521,74-2802531,75-2802534,76-2802546,77-2802562,78-2802571,79-2802576,80-2802585,81-2802374,82-2802588
1-2805726,0,0.9427561043740694,0.9553776213878155,1.139410114108486,2.271408225414943,1.7255090679197571,1.5113589468649584,1.3503712489556223,1.3171100875347028,1.2977377652348705,1.2628655854760014,1.2308005045612092,1.216870711148047,1.1959352011718798,1.2305117914169303,1.311312018470382,1.2909277821634526,1.3702637340587178,1.4259456738734653,1.556305775323604,1.6293589055652378,1.5867800421960123,1.5372567894325817,1.7007358832136459,1.749155525609868,1.7139873590707206,1.6562961596726122,1.6183688836854917,1.5997289813351512,1.5746309479756566,1.5550451630162747,1.5345791759151988,1.5187475996532214,1.5001735646300751,1.5366643334476342,1.5129277591815316,1.4955958306110682,1.4776476692969884,1.463664802291978,1.4809502760644844,1.5527359267746046,1.6570308113762962,1.7282515702499088,1.7302074398359346,1.7087558733021189,1.640121165062686,1.5974758962792344,1.577189001829701,1.5708282890788858,1.5536974329463589,1.5389496628246078,1.51987204597875,1.5168430646053002,1.511612166655018,1.5469327560118478,1.6312837724761473,1.7203772012807905,1.8452738964910482,1.9081714649154964,1.9315235405258058,2.0034797659161123,2.058128726108933,2.037127450997842,2.0369878733327007,2.218652493747826,2.186046032450569,2.1494050150743713,2.2532832320411957,2.2238676865860176,2.330080433293437,2.4467764546208413,2.4207893437444588,2.3890503045841336,2.3540279440050984,2.3251315153154084,2.29750473500355,2.264820457114091,2.238076419242535,2.213368694903188,2.2664848594661158,2.2471837944340183,2.2609834436721687
2-2805739,,0,0.9633030465334819,1.246925529869596,3.5643630819642285,2.0304083375929247,1.6498269081554502,1.4130288655875587,1.3684090355948908,1.34332308959275,1.2976499918863498,1.2583996873682086,1.240539918546771,1.215351593083589,1.2521740617525203,1.3396334215808732,1.3156481020293262,1.401340979720323,1.460702617252267,1.602565800097606,1.682158071617429,1.6310357967947309,1.5746141410596557,1.7511695064849697,1.8019302646287167,1.761660510912473,1.6964140386740956,1.6541090224786483,1.6333055819373845,1.6053654571816456,1.5837411736932088,1.5612378924656936,1.5438669455364595,1.5235613767170524,1.5617021857003797,1.5360103959860285,1.5170167929552214,1.4975616751454532,1.4824766675311405,1.5000701414730953,1.5750543754296544,1.6835421879979713,1.7584507139218193,1.7598371239441934,1.7367260990010431,1.6630485975067062,1.6173439796089712,1.595775106171546,1.5894254235520604,1.5708703536486752,1.5550883448437656,1.5349589487781679,1.5315564948238694,1.5258574902261348,1.5627438740747577,1.6494006078395334,1.741578863572927,1.870923985929206,1.9365863545300868,1.9603716772795055,2.0353029564987657,2.091910681235105,2.069951052798753,2.068631077530556,2.2581422097201553,2.2236601392881346,2.1845486432521057,2.2922366217338013,2.2610360114581916,2.3719244596279565,2.493301795066631,2.465659042748367,2.432150934578382,2.3948259134672925,2.3639693518205895,2.3348296182935413,2.300304620442834,2.271722740942644,2.245853170877902,2.3003280856672093,2.280518313199153,2.2936873242430713
3-2800372,,,0,1.5502297983262452,4.539875634336359,2.0131592234652578,1.5966345662123806,1.3642504287161896,1.3224335474419264,1.299417827273591,1.258038877977297,1.221956511027529,1.2074281785140581,1.1842226086444672,1.22321005271606,1.313580724133488,1.2905561263764402,1.3788230332573246,1.4403718836692243,1.586008859287593,1.6675743254434305,1.6168551440588192,1.5599346806137862,1.7410273335726607,1.793396390918586,1.7525380344163184,1.6864842223937262,1.6438035761043084,1.6228927578132133,1.5948720938861618,1.5731945844590651,1.55066494602174,1.5333044954160642,1.5130321143044887,1.5518283760414566,1.5261583654245907,1.5071956127020305,1.4878122272206533,1.4727837594430757,1.4906570301273485,1.5668927351604507,1.6766488275144407,1.7527817823595697,1.7541163364381274,1.731007523362013,1.6564311484758645,1.610908902516671,1.5891574770734,1.5828041482574933,1.5643583037976145,1.548713107256856,1.5283353481878124,1.5251945023013966,1.5195816650721876,1.5565418292717965,1.6443178021827087,1.7371011190145693,1.8680930648280696,1.9341676010233377,1.9585785186708378,2.034240468508188,2.091745222644774,2.0693289867460387,2.0681818082824073,2.2603674963489886,2.225579059329862,2.185535744054217,2.295226622879497,2.262960739186687,2.3753273497618683,2.4990908495413957,2.4700840238762525,2.4364842132733346,2.398382335605217,2.3672717935248477,2.3380753656251274,2.302701209237548,2.27392329447123,2.247382167640153,2.3026451408665864,2.2827567743509234,2.2956829974129835
4-2800317,,,,0,0.9987056887869572,0.9989183426823148,1.0020323411844607,1.0017617950686801,1.0011500271395661,1.0023700376331515,1.002112354900629,1.000195920834793,1.0072286420655625,1.0017361552207458,1.044919695543551,1.1273068600111544,1.1193695460694437,1.1987586243191326,1.2589174691957838,1.388082077119002,1.4610196351608171,1.4343194213544561,1.3968718966603313,1.5588231831685404,1.6113617720591022,1.582362761718564,1.5332845014431218,1.501235689448576,1.4858880778588806,1.4654110683677664,1.4491496807361082,1.4321349871938212,1.4190621669915897,1.4036942708844697,1.4407224008055721,1.421003275112242,1.4062586975736584,1.3913149435715688,1.379546386893026,1.3970699583499555,1.4696407446995565,1.5749986143450563,1.6458899596774548,1.6490772557924893,1.630044094835874,1.5679858961971154,1.5295822665482566,1.5112548671058497,1.5059026042309904,1.4901206137545149,1.4768620137423485,1.4594550562741908,1.4580084034046434,1.4541361217714803,1.4895386821071748,1.5728470655919933,1.6615589322873119,1.7854372368565044,1.8481801392171073,1.8715977276376279,1.943642272552042,1.998356681328277,1.978209601632068,1.9788899536752782,2.1606590203183966,2.129065103476315,2.093441423833241,2.197683726935764,2.1693649267745805,2.276153658076064,2.3926673371522593,2.3670158773258336,2.3369748108665753,2.3018818501286002,2.273713922730723,2.247493288008492,2.21540809100308,2.1893455417832137,2.1654361653540515,2.2183624024028354,2.2000153834229508,2.214429491003298
5-2804990,,,,,0,0.9991222517779661,1.0036337523268977,1.002593371409966,1.0017321548157896,1.0031704447291467,1.00237397585933,1.0001153306996307,1.0081577344025996,1.0021290657553972,1.0506640799880615,1.14321729249198,1.1330830088814379,1.2223671730662873,1.289177873906836,1.4351402630530017,1.5183908156919057,1.4822487511753157,1.4364062245671034,1.61776248539145,1.674650368811357,1.639110855502094,1.5806560555795508,1.5430197480961954,1.5247216826434407,1.5007389848418855,1.4819540844503005,1.4624274463936744,1.4474723647501508,1.4301804824560542,1.4697369089379113,1.4473785987896153,1.4307912030896288,1.4140008548236747,1.4007224156266775,1.4195314492560063,1.4962936409318837,1.6080079267764704,1.683834636259072,1.6865444776005538,1.6651345322332622,1.5964930071399048,1.5539703808096053,1.5342399836971508,1.5282566298812619,1.5113835543768386,1.4965611264181415,1.4780117333970164,1.475989855576655,1.4716623285468897,1.5085610351496854,1.5958649211388978,1.6887974412525626,1.8198208493576162,1.8858305972263412,1.9103910433498064,1.9864036174373996,2.044286591022018,2.0222630623672666,2.022331352958644,2.215411348832035,2.180821822489915,2.1422877115342875,2.252344668487022,2.2209599129192927,2.334006011808032,2.458912196050461,2.4303511844368924,2.3970475876055275,2.359057938899658,2.328722280887012,2.299771752046543,2.2648158965372356,2.236071175793601,2.2105931563320094,2.266041082165969,2.2465800563349845,2.2606079548954208
6-2807301,,,,,,0,1.0081820880904735,1.003968644826745,1.0025939279968556,1.0037978202000506,1.0026946340217529,0.9999312155886875,1.0093992390153765,1.0022992106402162,1.0583402685332182,1.165000552159406,1.1514813581366228,1.2536985164603207,1.3295611145900543,1.4985358174203807,1.5960371393424864,1.5448707191753233,1.4869166442462611,1.694019769174975,1.755807651076489,1.710957956340247,1.6398705417680188,1.5943710484715974,1.5726939548041527,1.544026238706217,1.5219167577414918,1.4991124607542303,1.4817184501982998,1.461732445350611,1.5041095570895777,1.478609955910593,1.4597047930020906,1.4404281620484056,1.4256348272494297,1.4454318312766155,1.5274785605345904,1.6070566519780538,1.6858174834088366,1.6887860380526618,1.6665117118029036,1.5952922383666177,1.55171449507672,1.5312059596355658,1.525223597222658,1.5077064481001126,1.492978878291838,1.4739481583418061,1.4719913234996589,1.46753755568119,1.5054233647481765,1.5948932732791543,1.6903051899850485,1.8248038552514994,1.8931859961447386,1.9183087471609679,1.9971394610728985,2.056756295372928,2.034185921627295,2.0719338146706936,2.278045593631502,2.240079159020277,2.197228642971864,2.3144438808037893,2.280035672747233,2.400445134703098,2.533719530345822,2.502681944793166,2.4657227017753467,2.424489170463343,2.3904736341013124,2.3587061867180235,2.320380801455127,2.2898279965137367,2.2611854781694762,2.319886299493746,2.298734315256783,2.3120689418985716
7-2803514,,,,,,,0,1.0012407133727432,0.999869342236861,1.0019865269962085,1.0015821629531296,0.9983673298117757,1.0100624116078074,1.0015740664066344,1.0673913043478263,1.1930689802044734,1.1744395951403952,1.284194757991993,1.3709068840225336,1.569444968494133,1.6848181136892058,1.6134974179506263,1.5400290864459791,1.5695715576844755,1.6346458335593002,1.5973863602793004,1.5370897124063216,1.5470261847079656,1.5895360435321801,1.5576419982451237,1.533489977267403,1.5089695569457402,1.4901562735712142,1.468210468297052,1.5132798959848863,1.4856782429584008,1.4653002962897874,1.444999028087624,1.4296923963438846,1.421120370378265,1.4721149105200024,1.5448371354715875,1.6213276895812665,1.6259809841194042,1.605679549739381,1.5414609830146877,1.5017470009911251,1.4830567996169939,1.4776366538915213,1.4617261920566038,1.448299586698968,1.430741517667011,1.430137397762254,1.426684524066493,1.4639836538035995,1.551947019474233,1.6456245597598818,1.7781701423240397,1.8452500547043265,1.870408780914978,1.9477513500894308,2.0069625797000854,1.9850984543066519,2.064517455300066,2.2743980609781547,2.235747392242876,2.192392374883311,2.311691814554455,2.2766794659365015,2.3997064175245497,2.535839278516727,2.5041004088960754,2.4661047877096776,2.4240365278523472,2.389587956274682,2.3568300421998143,2.3184549784112862,2.317280064175184,2.287508645381557,2.362183805731293,2.339543122900195,2.3524714466030128
8-2803093,,,,,,,,0,0.9956870298748364,1.0055189685557926,1.0019017069805964,0.9965911177707855,1.0142871062169028,1.0017059738720273,1.0915881816870208,1.2649408408548846,1.230242036833353,1.2073083832346132,1.1826296947567607,1.3695691510493482,1.484221781909517,1.4406169363953134,1.3865063259130723,1.3463936233748333,1.4110562941899178,1.3893174452576695,1.3502101925552163,1.4325135856803055,1.4758380652631857,1.4499852317353752,1.4300796640596118,1.4098745077781367,1.4437697209686546,1.4230248189326957,1.4222047547111103,1.3991555690137634,1.3819992792927296,1.365138064800725,1.3519782039803678,1.345063467815947,1.397681097067523,1.4295513597053817,1.5019333670143151,1.5092329724215197,1.4924701486142278,1.4415684982255097,1.4099140783382618,1.3945950251277883,1.3905008390313462,1.3770588646965924,1.3664817960099949,1.3519756095919144,1.3553365873719951,1.3536842288526476,1.3895492786114343,1.474243862316666,1.5644288166538216,1.6916147121689433,1.756013368849032,1.7806935260725354,1.8554253708489352,1.9122763627544144,1.9649556318510133,2.0628117346238666,2.280956375759662,2.2408335491820277,2.1956733959033605,2.319416041299195,2.2828532319640695,2.410854716976738,2.5527987243719727,2.5192015252787305,2.479865898470264,2.43561230732466,2.399622821294826,2.3651825852189177,2.325481072658725,2.325612411717226,2.2946575037768784,2.371977062946179,2.348213889733173,2.3615638882036274
9-2803107,,,,,,,,,0,1.013767156619067,1.0029610786401921,0.9968209574869599,1.0177512317296975,1.0020346532013882,1.104085387227176,1.3019575243591486,1.2573825458108419,1.2289756265478435,1.1992920830253595,1.4053586025741278,1.5325060017258172,1.4773247392930902,1.414348644594874,1.3685803350925834,1.335163874830265,1.3184654443158692,1.285883873492355,1.4554324562762495,1.5010423922350826,1.472603909359921,1.4506980999085195,1.4283252125656258,1.463655347309083,1.441059777651978,1.4396710079852766,1.4147129307058317,1.396445857132465,1.3783023931469278,1.364218976805818,1.356807792897135,1.4110477788003826,1.4297071818505023,1.5037319131711602,1.5109696865377993,1.493968579277109,1.4453638430900182,1.4182301171952307,1.4023844318912835,1.397851229310019,1.384129826649882,1.373106591016448,1.3580644007901865,1.3628394027449524,1.3608645178402874,1.3976893468295548,1.4845132169146489,1.5771041007878834,1.707931477985974,1.7742840939870774,1.7996139060101115,1.876643770241038,1.9352614687537202,1.9894685542905692,2.0913714896396733,2.3171567589250426,2.2747729972718203,2.2269258487842687,2.355168255048646,2.316446249595652,2.4495236322011014,2.5963118349983034,2.5613709065621446,2.519328836423229,2.4730108636800265,2.435101694997313,2.39884841755672,2.3569889395709707,2.356979559947053,2.32435271537437,2.4042223578067103,2.3791256450035623,2.392480127797048
10-2803121,,,,,,,,,,0,0.9978401620746347,0.9917981364360318,1.017541113264842,1.0006075651080766,1.114019885750464,1.334633443646922,1.2802739498368327,1.2467120371117073,1.212495889534522,1.4351156329662804,1.5732007582754732,1.507317243275232,1.4365608707094228,1.3859641521633348,1.349390315224806,1.331644078677436,1.2960322603874126,1.47288005147415,1.5203077215517793,1.4898477945968438,1.466050272649009,1.4423979677300225,1.4788575599447196,1.454773579037243,1.4526857637891302,1.4262254580054865,1.4069420602930667,1.3878101471463762,1.3732023369033415,1.3652279942853385,1.4207118729536834,1.43942520547282,1.5153422344320033,1.5226592897022597,1.5047138100840278,1.4539193544095903,1.4257987451633483,1.409384500002215,1.4046864900438136,1.3903854483631166,1.3789803827786693,1.3634830839451886,1.3684102631250525,1.3660497267728164,1.4035170169016782,1.4919434082320293,1.5863496581217738,1.7199339638274875,1.7877699767735857,1.8135921360598433,1.8923700445390148,1.952524398404044,2.0082485042784657,2.112391431294619,2.3448698854310996,2.300463036253495,2.250923185265206,2.3824887951027414,2.3420715305919004,2.4786424698674674,2.629864814235898,2.5931736033465187,2.549682608174568,2.501299544961456,2.4618990300545276,2.424069690705854,2.380488413326545,2.3804291307580856,2.346669672440455,2.428112344353523,2.4025805875763226,2.4149888725178075
