순번_정류장ID,11-2800608,12-2806010,13-2805910,14-2806008,15-2807283,16-2807237,17-2807430,18-2807238,19-2806168
11-2800608,0,1.0008356783653691,0.9975360253411971,1.000508129659182,1.0020345895211893,1.0028106371685257,1.002947299546322,1.0301042863040217,1.2322818155289197
12-2806010,,0,0.9859916506969151,1.0000541759767863,1.003012767506606,1.0042051125280032,1.004246134466496,1.0465541075030131,1.3562512559657578
13-2805910,,,0,1.009277736932395,1.0081887386583128,1.0088116077503677,1.0081396002456218,1.0579174140924552,1.4231835616801811
14-2806008,,,,0,1.0053451102576472,1.007135570352007,1.0065298792401558,1.0148047563154203,1.4914200262090054
15-2807283,,,,,0,1.0018480161732424,1.003243065058138,1.0079063682228546,0.9987007766103245
16-2807237,,,,,,0,1.004520641613074,1.0104016289516946,0.9981569704022306
17-2807430,,,,,,,0,1.0152064568955435,0.9966765509032904
18-2807238,,,,,,,,0,0.9863935561908143
19-2806168,,,,,,,,,0
