순번_정류장ID,16-2805166,17-2805164,18-2805162,19-2805158,20-2803416,21-2807467,22-2807468,23-2806215,24-2800622,25-2800336,26-2800670,27-2800695
16-2805166,0,1.0179990208707685,1.0103097852573977,1.0044609383619685,1.0058831935360197,1.002634392693531,1.002854840211304,1.002109553683612,1.0265704151568786,1.0259954726650802,1.025732276271525,1.03941686918256
17-2805164,,0,1.007546246192227,1.0023079047695684,1.0049337522664827,1.0019998228684501,1.002431726372395,1.0018355595435824,1.0267345692962864,1.0261073619312602,1.0257998918922002,1.0397055903298575
18-2805162,,,0,0.9911902430256413,1.0017342480218008,1.000550426763793,1.0015165155884445,1.0012559661747351,1.0271569793875452,1.026491391655065,1.0262441428257096,1.0406399198953227
19-2805158,,,,0,1.0074840520778143,1.0019126197000936,1.002377180706695,1.0017874278948937,1.029081980946239,1.0284033067389202,1.0280180374728185,1.0431691328383546
20-2803416,,,,,0,0.9996259821869032,1.0012571232660927,1.0011197674860797,1.031553573042333,1.0306618412841333,1.0302289327064347,1.0469299166268058
21-2807467,,,,,,0,1.0031291573424452,1.0017167816270403,1.043899354100215,1.0420630763009824,1.041113562681226,1.0632115075021715
22-2807468,,,,,,,0,1.000749162827021,1.064400231595287,1.060193616741663,1.05798245945582,1.0889040830329308
23-2806215,,,,,,,,0,1.2679899532309495,1.145079478735789,1.1126323400441522,1.079397848926692
24-2800622,,,,,,,,,0,1.0045890341284778,1.0060621210215892,1.001999681523679
25-2800336,,,,,,,,,,0,1.0063559812154441,0.9998097168384741
26-2800670,,,,,,,,,,,0,0.9959006863271024
27-2800695,,,,,,,,,,,,0
