순번_정류장ID,13-2801663,14-2801705,15-2801716,16-2801728,17-2801735
13-2801663,0,0.9898114143920594,1.0320451323875244,1.2247712668348258,1.2008153072355647
14-2801705,,0,1.0141136215189124,0.9953046277697176,1.0003930138101507
15-2801716,,,0,0.9747687370592024,0.9913149354634406
16-2801728,,,,0,1.0167466945674444
17-2801735,,,,,0
