순번_정류장ID,8-2807596,9-2807620,10-2803141,11-2807010,12-2805325,13-2803211,14-2803214,15-2803210,16-2803361,17-2807315
8-2807596,0,0.9981177764383679,0.9980291046595688,1.0830431983103965,1.023963583938892,1.0213541532018304,1.3101367656126048,1.813666236980591,1.7747961731568795,1.751335761764153
9-2807620,,0,0.9979384030303097,1.1272765725892617,1.02650440894667,1.0233161287926298,1.3318189914433043,1.8797653788040452,1.8348993852624556,1.807820761407973
10-2803141,,,0,1.261457183126408,1.0293047191785343,1.025399854324222,1.3559405747826068,1.9552855091793473,1.902708311247467,1.871236203526369
11-2807010,,,,0,1.002802171125365,1.0029885550232056,1.3630786233595615,2.0180281053268847,1.9573084156726266,1.9212779124336032
12-2805325,,,,,0,1.003909171556822,2.068063693430869,5.886851863785215,4.758470259260123,4.269790721517785
13-2803211,,,,,,0,1.7956612612534921,21.99907988219131,10.179342938845314,7.732979214905396
14-2803214,,,,,,,0,0.999065124419244,0.9962715447477924,0.9934382896951711
15-2803210,,,,,,,,0,0.9788567952592128,0.9720825119964955
16-2803361,,,,,,,,,0,0.9615388530881919
17-2807315,,,,,,,,,,0
