순번_정류장ID,1-2801418,2-2801431,3-2801452,4-2801487,5-2801510,6-2801523,7-2801563,8-2801598,9-2801623,10-2801653,11-2801676,12-2801186,13-2801710,14-2801727,15-2801744
1-2801418,0,0.9796906760551719,0.9920379495961344,1.0035023618335022,0.9985782162667972,1.0022150477117806,1.372775704748306,1.3321727150159353,1.2858537469514366,1.2585740420901828,1.2166295444070372,1.185100552026204,1.1714598713750664,1.1577114465652456,1.1513165829367629
2-2801431,,0,1.019144294980961,1.0243110627902505,1.011009703224178,1.013410760448491,1.0074595152564954,1.0076243226372295,1.008046893148891,1.0057378028733637,1.0042843787154034,1.0044795369536939,1.0052663927753476,1.004453826267274,1.0175545459466524
3-2801452,,,0,1.0277274323183059,1.0075248181775356,1.0117328532490386,1.0053375125315136,1.005796687888808,1.0065681403124074,1.0041277517626965,1.0028086405828145,1.0032559343993062,1.0042072459260103,1.0034246391766393,1.0174578877425953
4-2801487,,,,0,0.9704128946787369,0.9965278038735279,0.9956660087325798,0.9978773067331672,1.0004291516835828,0.9981894173866438,0.9978486408235484,0.9992670160891338,1.000724854121561,1.0001708062843229,1.0160970783935153
5-2801510,,,,,0,1.0163210301714458,1.0022128559549777,1.0035681642198508,1.005204639701905,1.002002541871874,1.000766191669025,1.0017266469269548,1.0030415208225827,1.002221342262478,1.0187519753850145
6-2801523,,,,,,0,0.9926058582069949,0.9971158142074693,1.001078944107656,0.9978624367053492,0.9975099222452214,0.9993189705467311,1.0010578719644183,1.0003706769035712,1.0189538465589445
7-2801563,,,,,,,0,1.0089702253363835,1.0099596109048163,1.0017657265854647,0.9997590480091605,1.0014877185732365,1.0033879391883809,1.0022244144620207,1.0235306406685238
8-2801598,,,,,,,,0,1.0066075451343717,0.9965731778645684,0.9965475110139974,0.9995981653473934,1.0020282107595702,1.0009495315584367,1.024668121348631
9-2801623,,,,,,,,,0,0.9818527741575125,0.9918228215922215,0.9977128422202498,1.0010424686340842,0.9999420926447067,1.02654536324534
10-2801653,,,,,,,,,,0,0.9965176937323966,1.0012736174392842,1.0043458360000281,1.0024409592479562,1.0316465558550991
11-2801676,,,,,,,,,,,0,1.005607317974375,1.0088548244506188,1.004899936874072,1.0412002795714628
12-2801186,,,,,,,,,,,,0,1.0144401696923897,1.002214128306859,1.0541035245138877
13-2801710,,,,,,,,,,,,,0,0.9906749609936981,1.06710253386508
14-2801727,,,,,,,,,,,,,,0,1.110152335808529
15-2801744,,,,,,,,,,,,,,,0
