순번_정류장ID,7-2807566,8-2807567,9-2807571,10-2807570,11-2807564
7-2807566,0,1.031436935217004,1.0124720847318176,1.0130517350147499,1.0128853354988818
8-2807567,,0,1.0122256747438032,1.012812783872976,1.0126474653663442
9-2807571,,,0,1.1003451676528597,1.0442928039702235
10-2807570,,,,0,0.9875124875124875
11-2807564,,,,,0
