순번_정류장ID,39-2803875,40-2800253,41-2803871,42-2804720,43-2806360,44-2803868,45-2803866,46-2803863,47-2803864,48-2800255,49-2803615,50-2803614,51-2803859,52-2806227,53-2803858,54-2803611,55-2803609,56-2806232,57-2803608,58-2803607,59-2803606,60-2806297,61-2803616,62-2803853,63-2803850,64-2803617,65-2806299,66-2803618,67-2806300,68-2803600,69-2800273,70-2803601,71-2804331,72-2803581,73-2800271,74-2805489,75-2807150,76-2804581,77-2804582,78-2807389,79-2804032
39-2803875,0,1.0395340639620585,1.0071519724018005,1.0009635053105377,0.9959790569430833,1.0026008934655863,1.0021542064424547,1.0018677180625437,1.0029877231490052,1.0043023908511493,1.0030868219088773,1.0016487760549782,1.0033865539821663,1.0033762865103422,1.0031206536393018,1.0031061856384833,1.0025438780974905,1.002568775139944,1.0015866554061161,1.002222389455691,1.0022475292344006,1.0012895321491022,1.0016647335704898,1.0018531311717502,1.0021052620158875,1.001356001882583,1.0017494442784758,1.0020437166898843,1.0021631136739073,1.002981961031546,1.0017079601019714,1.001107579070098,1.0017874989260174,1.0015258831765366,1.001136219217088,1.0015544610057237,1.0009195275149594,1.0016813017470463,1.0019109720115986,1.0022965035367735,1.0659009882630035
40-2800253,,0,0.9531434557436279,0.9783275096194712,0.9890030307618478,0.9976529832484736,0.9978230543850248,0.9984338522954092,0.9998627012875737,1.00141106226504,1.0004944860307696,0.9994711252072834,1.0014605256992926,1.0015281365902418,1.0014624476511125,1.001534856354334,1.0011889915577743,1.0012771636396725,1.000308837308867,1.0008158484824219,1.0011019251096054,1.0001775747319088,1.0007966798537031,1.0008137643082702,1.001298089038727,1.000570394874787,1.0010090215272252,1.0013271943793292,1.0013068733909571,1.002190165658394,1.0009135035475574,1.00031163482048,1.0010165573449648,1.0006225770236281,1.0005262996657098,1.0009732276977685,1.000339397452499,1.0011282033375977,1.001249067421963,1.0017698633487204,1.0666078109907557
41-2803871,,,0,0.992000139279403,0.9928124992902776,1.0015399782843921,1.0015584083796385,1.0013117547079835,1.002645312321935,1.0041744421683232,1.0028177206936986,1.0012835800045925,1.0032163789826725,1.0032121428151513,1.0029539769955103,1.0029475948805375,1.0023729687291532,1.0024073485818408,1.0013725349335274,1.0018289237804165,1.001868198604914,1.0008823122717903,1.0014904007475183,1.0014943433070016,1.0019616136933438,1.0011864294202224,1.0016043355756363,1.0019140793644867,1.001878354510244,1.0028986812081522,1.0014305846578124,1.0008126127481833,1.0015206858070436,1.0012547591644494,1.0009985176673304,1.0014351827127919,1.0007825345098107,1.001571374962941,1.0018103070824358,1.0022085418058353,1.067802767282625
42-2804720,,,,0,0.9916101622632121,1.0028110643403478,1.00215538668636,1.0017755025241042,1.00323963162455,1.004922206370972,1.003314046300405,1.001553170348435,1.003603192332277,1.0035814517994293,1.0032635474118536,1.0032388647950332,1.0025895286710234,1.0026149319578679,1.0015268371425263,1.0019924577825994,1.0020278073507616,1.0012113626222447,1.001830343477829,1.001827550739839,1.0022976563767916,1.0014792538189774,1.0018963116178878,1.0022085515633656,1.0021639575809278,1.003196630579864,1.0016792976213722,1.001041339216306,1.0017647099935,1.0014874373589635,1.0012170307929502,1.0016565724740927,1.000983435588686,1.001785717301768,1.0020257769376517,1.002430845847787,1.0694736733039842
43-2806360,,,,,0,1.0446279599774728,1.0222660472019232,1.0139665701803033,1.0151932320596107,1.0174577992552225,1.0114063103902553,1.0062227586713746,1.008625802423396,1.0082806328212008,1.0071086828596614,1.0067883009711036,1.0052605341441694,1.0051303212118263,1.0036795287461078,1.0040839011650478,1.0043165687397069,1.0029389433908082,1.0035979169338607,1.0035528769578288,1.004021055668347,1.0029697928576136,1.0033676507895661,1.0036848957080347,1.0035896829373692,1.0046658469992977,1.0029055485538485,1.0021694893187916,1.0029620533512045,1.0026276671847243,1.002283983711017,1.0027303219429282,1.0019578028202822,1.0028186372810737,1.0030610666971036,1.0034963205065042,1.077243373965849
44-2803868,,,,,,0,0.9619035521576785,0.9823273065576379,0.9901495707322939,0.9959158407160341,0.9955183764362106,0.9954190680679549,0.9994241099354274,0.9996819571488826,0.9998993238682514,1.0001380287394053,0.9999482193494227,1.0001510157866287,0.998879413514892,0.9996707757290713,1.0000996168912353,0.9989642384951597,0.9995603772029936,0.9996129197941445,1.0002864780464853,0.9994391359503887,1.0000460558840003,1.0004652740014786,1.0004672878296723,1.001962855539432,1.0002559657161927,0.9993710575836362,1.0002295324429278,0.9999439825802595,0.9996949870947708,1.0002541603162092,0.999530224660269,1.0004725517382438,1.0009154214573779,1.0013826492967814,1.0768937239769554
45-2803866,,,,,,,0,0.9999043341199195,1.0069245590819222,1.0101187253309478,1.0036949639321135,1.0001026848129162,1.004027930918868,1.0039559793712491,1.0033731344458305,1.00332502610198,1.002380007855421,1.0024298361480124,1.0009464531568693,1.0019365180272253,1.0019859477017081,1.0006451741172049,1.0014675653186529,1.0012119493902465,1.0018382706554443,1.0008473319732725,1.001398603227291,1.00200844342669,1.0019604813359266,1.0030280647310572,1.0012176319858346,1.0004645848481128,1.0013350086035167,1.0010155010239432,1.0008819401986198,1.001250828593158,1.0004768706870029,1.00157390527324,1.0018569459126532,1.0021810487794276,1.0801184853766783
46-2803863,,,,,,,,0,1.0225439650408854,1.023888573227476,1.0056059334246605,1.0001500171215192,1.0048479492408793,1.004687063310701,1.003861157385213,1.0037579247993904,1.002613509396506,1.0026502629867164,1.0010317170824072,1.0017468552681188,1.0021345041597716,1.0006936954274281,1.0015651638672451,1.00156865808406,1.0022126827567246,1.0011413762467096,1.0017028166581414,1.002111048293312,1.0020572274895119,1.0033655891444908,1.0014640063180111,1.0006749025947088,1.0015773777760326,1.0012395624323907,1.0009188778062457,1.0014652341806933,1.0006575466858547,1.0016311172367565,1.0019224286628634,1.0024081655798127,1.0828199233551878
47-2803864,,,,,,,,,0,1.025955304824835,1.0006442945049399,0.9974600190437691,1.0031106273463462,1.0031116086663467,1.0025995845594124,1.0026245217993435,1.0017306683092333,1.0018375073525145,1.000208845509007,1.0010223984893005,1.0011219634545123,0.9997237234579371,1.0006655074366024,1.0006945269878325,1.001402182667238,1.0003649854922632,1.0009869527885338,1.001425773275936,1.0013947317779666,1.0027753681439715,1.0008641440384134,1.0000724961245573,1.0010012175473602,1.0006709617873424,1.0003689521460728,1.000947381215072,1.0001425337613092,1.0011446904799641,1.0014515359225866,1.0019494294831888,1.0835772433956203
48-2800255,,,,,,,,,,0,0.9946852018266181,0.9950448951126538,1.0015513800264337,1.0017200588758357,1.0015260118421672,1.0016710105300084,1.0010115939066668,1.0011787371979886,0.999551563888623,1.000444380537144,1.0005749643928716,0.9991960356358888,1.000180799294121,1.0002243137550584,1.0009699775893215,0.9999485321652415,1.000605959249062,1.0010630777107847,1.0010442698153112,1.0024680428826838,1.0005467132782613,0.9997516171922619,1.000696895092969,1.0003699802992443,1.0000774704899993,1.0006745876403544,0.9998697131820528,1.000889284197588,1.0012051542725915,1.0017106555425486,1.0841588839377088
