순번_정류장ID,1-2806577,2-2804581,3-2804582,4-2800267,5-2804730,6-2804102,7-2804104,8-2804106,9-2804108,10-2804110,11-2806326
1-2806577,0,1.1863622755735919,1.1207505794007138,1.3720991094228343,2.1382187441773803,2.0078988394820025,1.8513557138126127,1.7012280188869429,1.5061618276749813,1.4649881620842333,1.3585626508436708
2-2804581,,0,1.0110687855548655,0.9975883807915058,1.2723293367360111,1.2477487296068468,1.2165047747023703,1.1826105619847873,1.13584652959789,1.1276505800051304,1.100634378569698
3-2804582,,,0,0.9865866852924662,1.00346458424989,1.0040621116179216,1.0038288121480625,1.0019438651997794,1.0003438882050708,1.0021879051287237,1.0021067656613416
4-2800267,,,,0,1.0093138688349024,1.0094070626285647,1.0082698745124161,1.0052017327487774,1.0024486442759484,1.004369506756687,1.0037754118791775
5-2804730,,,,,0,1.0101072062882943,1.005248348556292,0.9987134902306133,0.9970222326951046,1.0010253256066886,1.0012845859504977
6-2804102,,,,,,0,1.0022035784684011,0.9956853162363675,0.9954836897039029,1.0001269969386684,1.000722916076346
7-2804104,,,,,,,0,0.9908846708408225,0.9939315602229157,0.9997377746872986,0.9980332398101303
8-2804106,,,,,,,,0,0.9953222179605774,1.0027599971231302,0.9993260665205684
9-2804108,,,,,,,,,0,1.024732014292571,1.001949064192991
10-2804110,,,,,,,,,,0,0.9954572790519538
11-2806326,,,,,,,,,,,0
