순번_정류장ID,1-2800717,2-2805253,3-2805251,4-2805249,5-2800563,6-2807520,7-2807504,8-2804433
1-2800717,0,0.9981696266110347,0.9976990006365253,0.9988219415890457,0.9997276791380268,1.001272607739198,1.0067900090718664,1.004744577440143
2-2805253,,0,0.9948844144874069,0.999713905302655,1.000739502654781,1.0026311510071828,1.0082848282399182,1.0053688279837651
3-2805251,,,0,1.004753574175095,1.001702848504273,1.0033308427592706,1.0087031219016875,1.0055479818651682
4-2805249,,,,0,1.001131805459099,1.0031958173762634,1.0088249084088567,1.0055611692115038
5-2800563,,,,,0,1.0053122563345993,1.0103421803500399,1.0059935630111163
6-2807520,,,,,,0,1.004314248756879,1.0028772349282984
7-2807504,,,,,,,0,1.0017316199050375
8-2804433,,,,,,,,0
