순번_정류장ID,1-2801355,2-2801359,3-2801339,4-2803548,5-2803547,6-2801352,7-2807081,8-2801326,9-2801319,10-2801296,11-2801281,12-2801279,13-2801278,14-2801295,15-2801309,16-2801329,17-2801335,18-2801378
1-2801355,0,1.000289353712408,1.004626785923085,1.0029217669533002,0.9968715074571812,1.0006309588997881,1.0016586084827066,1.0008850469687143,1.0015876230524159,1.0051224760928585,0.9999121113626133,0.9997914418466691,0.9996803539121484,0.9992954675221334,1.0010631904585494,1.0010733027449434,1.0020543865064313,1.142931031056773
2-2801359,,0,0.9973819432763419,0.9979566829219746,0.9924637387778467,0.9979762118036375,0.9996615592028856,0.9992052311361149,1.0001390839033697,1.0042681617389373,0.998763479109995,0.9986958604776376,0.9984068951737024,0.9982984367422851,1.000466408539748,1.0003035608941515,1.001363638541364,1.151091465752891
3-2801339,,,0,0.9987284955442696,0.9901320316670205,0.9981754430644553,1.0002512412934015,0.9995580105856989,1.0006186550693614,1.0052523317739703,0.9989218374104691,0.998837306089905,0.9987784176499616,0.9983839257041094,1.0004981935497195,1.000541760862283,1.001679883502794,1.1636597812362182
4-2803548,,,,0,0.9854409756116959,0.9979914348089075,1.0006145437382166,0.9996976471057223,1.0008999070276776,1.0060293321912535,0.9989398805512621,0.9988467889963603,0.998782412863505,0.9983582050179585,1.0008713176917632,1.0004234937456313,1.001865415269609,1.1743533209020267
5-2803547,,,,,0,1.0175973662960431,1.0124023105674482,1.006057338070414,1.0066954968814472,1.0117774398028396,1.0017246392919998,1.0013946827484055,1.000733328392105,1.0000900763002956,1.003099401050437,1.0024383155624152,1.0040037967216389,1.1998251667175546
6-2801352,,,,,,0,1.0072631190856582,1.0014449252586342,1.0032530196103044,1.0105109489051094,0.9993091429403103,0.9991503549150353,0.9986491506534734,0.998114335744974,1.001622612941485,1.0010101488806742,1.0024847890653472,1.2170394530503916
7-2807081,,,,,,,0,0.9975005103124778,1.0013728269575386,1.0114268880185766,0.9978640007907383,0.9978294364238476,0.9978576633833298,0.9973308277521088,1.0009751466334866,1.0006759757256791,1.0023129022818997,1.2391864158723247
8-2801326,,,,,,,,0,1.005360546747873,1.0198334276512468,0.9972355092960384,0.9972768339427945,0.997398606479653,0.9963173556817384,1.0012582897529378,1.0004931649405255,1.002424596615865,1.2832725196084416
9-2801319,,,,,,,,,0,1.026601758520825,0.9956417617532904,0.9959443054738082,0.9963175824869094,0.9957995850337092,1.0003790348894146,1.0004737992359154,1.002571693133758,1.248205201530656
10-2801296,,,,,,,,,,0,0.9732741450051209,0.9792555331991951,0.9830646937224284,0.9847601685030863,0.9938008185084496,0.9937592458482659,0.9967276741325792,1.2980735687050446
11-2801281,,,,,,,,,,,0,0.9927659838787515,0.9937662570634136,0.9933337398952427,1.0043850430861534,1.003004383406902,1.0064905944888458,1.4439824743292955
12-2801279,,,,,,,,,,,,0,0.9945070182175009,0.9935585294151031,1.0072887846572516,1.0049624797039336,1.0088491796628987,1.2364732064850048
13-2801278,,,,,,,,,,,,,0,0.9924759136246207,0.9993760900699062,0.99874838520974,1.0045744908351382,1.0370861575780994
14-2801295,,,,,,,,,,,,,,0,1.0047625810727643,1.0014532398700633,1.008864851530589,1.045960629762934
15-2801309,,,,,,,,,,,,,,,0,0.9973630523059639,1.012281711763577,0.9970346261456434
16-2801329,,,,,,,,,,,,,,,,0,1.0431130387114458,0.9969190823394115
17-2801335,,,,,,,,,,,,,,,,,0,0.9874403358064548
18-2801378,,,,,,,,,,,,,,,,,,0
