순번_정류장ID,16-2801607,17-2801663,18-2801672,19-2801691,20-2801215,21-2801699,22-2801682,23-2801668,24-2801635,25-2801645,26-2801652
16-2801607,0,1.0230876854685609,1.0073987559746238,1.0072870403940926,1.0095774162848654,1.0094006631124521,1.0091526908723754,1.0061355840494857,1.0132722871654556,1.0125810617441278,1.0751058001978908
17-2801663,,0,0.9707366666666667,0.9949936476629619,1.0007025408715382,1.0023742838853442,1.002557203412452,1.0004031521641985,1.0102812878995344,1.0096059524232504,1.0879045667344438
18-2801672,,,0,1.007112927508427,1.0108899263080982,1.0113918591335644,1.0096797697730409,1.0048920999036242,1.0153783294470704,1.0142564484100995,1.1033504074758627
19-2801691,,,,0,1.0176881941587823,1.0159452969855431,1.010565680536483,1.0028767926089353,1.0179580871202218,1.0161933814188622,1.138648012957793
20-2801215,,,,,0,0.9826347563870921,0.9954104320475088,0.9949712665657047,1.0142250408122755,1.012647564291675,1.150326806551979
21-2801699,,,,,,0,1.0034361465572676,0.9974156954650647,1.0185374279939492,1.0162562631722138,1.096578852677732
22-2801682,,,,,,,0,0.9946418117173333,1.0227289348924051,1.01928915861462,1.0173775645102745
23-2801668,,,,,,,,0,1.0455088707107194,1.0317046037994182,1.0260456215081646
24-2801635,,,,,,,,,0,0.9994286991728559,0.9990420785421907
25-2801645,,,,,,,,,,0,0.9984780540834354
26-2801652,,,,,,,,,,,0
