순번_정류장ID,70-2802918,71-2802864,72-2802824,73-2802618,74-2802176,75-2802169,76-2802154,77-2801846,78-2802103,79-2802067,80-2802056,81-2802031,82-2802010,83-2801983,84-2801975,85-2805277,86-2805276,87-2805274,88-2805272,89-2801921,90-2801927,91-2801924,92-2801916,93-2801925,94-2801908,95-2801715,96-2801690,97-2803662,98-2800165,99-2803661,100-2807012,101-2807213,102-2805602,103-2805807,104-2805603,105-2805808,106-2801183,107-2801685,108-2801666,109-2801633,110-2801192,111-2801636,112-2801604,113-2801564,114-2801520,115-2801180,116-2801495,117-2801506,118-2801512,119-2801529,120-2801544,121-2801187,122-2801581,123-2801606,124-2800694,125-2800726,126-2800751,127-2800765,128-2800782,129-2800797,130-2800813,131-2803049,132-2803063,133-2803062,134-2803061,135-2803060,136-2800370,137-2800369
70-2802918,0,1.0029567015101564,1.0076599941279651,1.0406642919315081,1.062065033480133,1.0541921123370939,1.03661131204048,1.0386802649216,1.036304775383411,1.0294070084462978,1.0277986316921637,1.0497151506223281,1.0463615172819611,1.045439099140725,1.0462480330792276,1.0392645488165058,1.0383212634755985,1.0370822373927326,1.0358376011296326,1.0332342711102716,1.0310609207111598,1.0311019294242487,1.0709209463161506,1.2103832369413527,1.2221407097155483,1.1986681291131305,1.1933890283405184,1.1823721001756249,1.2084428129675968,1.3057422594818207,1.409992110703676,1.449906475072144,1.513119045892395,1.581806858592959,1.623881327476581,1.696223102207163,1.8332498680717082,1.9268405632859633,1.9159893428383694,1.8734442557211985,1.937785181736275,1.9968867017497558,1.9659657298146973,1.9378876477640268,1.9095946848773901,1.937182026912538,2.0284891576885307,2.001841611019498,2.04880992985043,2.180320481720888,2.23828471407988,2.2230057413234996,2.20050091343887,2.3552273083219126,2.76832600256232,2.9520827366624296,3.1573745201475196,3.2754518725371304,3.500428451665393,3.699374708928475,3.7139969152238823,3.9379040509590415,3.817468058266575,3.730771228936765,3.5471307522976714,3.4272141680492907,3.314515172748342,3.0349297620325224
71-2802864,,0,1.0233360522022839,1.0137513557141777,1.0120610585128191,1.0020642408827996,0.9901285269213115,1.0340138771886003,1.0314325290606816,1.0230194453033987,1.0216270179566296,1.0273781997958444,1.024440178566462,1.0244998715897542,1.0346873150379545,1.0277593299154713,1.0273450682448444,1.0262085661859612,1.025286013413043,1.023195764355396,1.0213188922401977,1.0215727141519706,1.0333370510834616,1.1812585426940325,1.1968340622627076,1.1746436321363196,1.1703807138564226,1.1841546732128838,1.2159806867208947,1.31245178030935,1.4353256595797075,1.47910432382877,1.5487445162366573,1.6247795241738694,1.671531054599775,1.752041778300262,1.9062786643613707,2.0120867559152242,2.009285197937909,1.957276478074494,2.0069436725732523,2.0720655520315723,2.0358943588861993,2.0031269006965617,1.9701171890998042,1.9990079245569141,2.0994363678965953,2.0686382248219433,2.0655138832536823,2.20529321441953,2.266804270093493,2.2503016229864587,2.219481496072548,2.3171404810062173,2.7372049837766426,2.9249290107849486,3.134361923834041,3.25557698442731,3.4871315476613014,3.6930893632701687,3.7083650146667293,3.7427190190792445,3.668994742858138,3.587919246066785,3.4104866407700882,3.2976726965225205,3.2985803746403692,2.978981545690206
72-2802824,,,0,1.0070270811576372,1.0074040396386386,0.9967062119794464,0.9842834746054718,1.0355245651351999,1.0324106761450111,1.023398674405386,1.0214769748125423,1.027673706788344,1.0245165833894716,1.0245762115626356,1.0356363016332288,1.0280007854182907,1.0275503586789776,1.0263516698926918,1.025378690668823,1.0233713591301021,1.021235862428507,1.0216690755067328,1.0337007694553983,1.187428573978078,1.202895919709718,1.1793315420447374,1.1746762780891777,1.1885091620159176,1.2210631908093563,1.3203476801595817,1.4471283721921384,1.4927557775471054,1.5649159682627254,1.6434244847262567,1.69222376719213,1.776037306255034,1.9370281142294852,2.047826442038798,2.044240853613068,1.9885172166677891,2.0401243739755,2.107732987107766,2.069157482580301,2.0339810613279874,1.9989319311863305,2.028351643780077,2.132578273923122,2.099656761621781,2.09627202709907,2.2415243182006552,2.305543812422878,2.2870949994301077,2.254444294298352,2.3555205318818353,2.7955694248482583,2.9929948490893388,3.212933368837746,3.3421583755750977,3.586466285484629,3.8072147144372384,3.8203145737114528,3.8560140158129017,3.7744750004122967,3.6863077256219174,3.4955595834672293,3.3747952876538636,3.3741271290029013,3.0338875098006786
73-2802618,,,,0,1.0038351809585915,0.9893416897812671,0.9757311993382803,0.9966052262376205,0.9996129817946636,0.9963192224023225,0.9978163839429811,1.0280225038357302,1.0245060995357875,1.024572102578726,1.0274507966058601,1.0204096815376822,1.0204227259177963,1.0193462738626855,1.018663924958954,1.0169366706059815,1.0152545590287647,1.0156749059274346,1.0341886489070105,1.1968563865994135,1.2120714731030435,1.1863518859762097,1.181079434974812,1.1908056538821035,1.2243121554601055,1.3273277272330501,1.459469887834,1.5067269280651994,1.5821966988858938,1.6649449482878622,1.715994591099468,1.8039964113102582,1.9740996049258492,2.0916859004662456,2.0788825228866568,2.018875848782162,2.07284940927904,2.143510702351292,2.1021412371162502,2.064753083045218,2.027602456966973,2.0569760061032896,2.1657728942424073,2.1309486035140224,2.127010183354783,2.2794527610792383,2.3459219187910105,2.3261330476264326,2.2912959147618976,2.2593227457397647,2.6746179297305814,2.860596306695621,3.069241456490965,3.19009280395826,3.4192700288851645,3.62329900554588,3.640367859564403,3.6754382205600282,3.604496903687451,3.5247923416234683,3.3504145637583607,3.239207891615408,3.242494531171274,2.928545558517554
74-2802176,,,,,0,0.9799781982484873,0.9671029828914489,0.9951288730577493,0.9989217638235749,0.995379332067313,0.9971632435262996,1.030168717852094,1.0262302060478465,1.0261877227109082,1.029121887574292,1.0214431529889765,1.0213856739384473,1.020219594424042,1.0194542730173297,1.0175707805143723,1.0157722307047636,1.016198330185375,1.0353995408788987,1.2051840919565615,1.2200188804535042,1.19246535593013,1.1866513512266872,1.196382451557876,1.2306779042114666,1.3371044092645354,1.47347080068655,1.5224743809422168,1.6008881723148598,1.687041364901357,1.7405221466214935,1.8327550772615238,2.0108108708267016,2.134545438779913,2.119824313138223,2.0551695343797682,2.1114314843326754,2.1850183854635787,2.140669365976684,2.10063476191638,2.060714853366206,2.09057749289535,2.203815779535822,2.1667190733854023,2.1618704210557182,2.3210617542496035,2.390438170531234,2.3686070538034816,2.3315353069792746,2.2643622136529507,2.556478115255562,2.730149973527629,2.924469936301074,3.0364807901649433,3.2504540731364395,3.439452876089392,3.4600756991060213,3.49543547306134,3.43380603683111,3.3621006449595163,3.2044384124061414,3.1034792463820944,3.109658497648942,2.8224022277743535
75-2802169,,,,,,0,0.9554417437995639,1.0021307302162124,1.0053505088211454,0.9990753784596675,1.0001009431812082,1.0135162069655634,1.0102125469633993,1.0113443933741613,1.0265226236074827,1.0184247113346474,1.018852271655989,1.0174118009043804,1.0167442558942785,1.0149879560688628,1.0132387413370953,1.013760009857044,1.028707622556879,1.2080972616775205,1.2233597534666705,1.1941126955443973,1.1879430557957305,1.2030242174466697,1.2387441864978015,1.3500426680298154,1.4934798094602058,1.545428604705334,1.628489440247913,1.7200443312781828,1.7765019888658962,1.8750191068710222,2.066475877665566,2.2001227686458074,2.1912264158567982,2.1181635557069436,2.178379801621398,2.257010041907744,2.207312043641681,2.162229402050251,2.118457362359682,2.1482759545230206,2.2688309505297717,2.227725027885411,2.222003514213327,2.3929247523894737,2.4660709976188633,2.4418146276945736,2.400449708911126,2.3263717465623963,2.553902453720466,2.7315638393118116,2.9295232764168158,3.0444861528925586,3.2636043536467803,3.430866769445414,3.2762740693098578,3.2426841464104146,3.1949292469837673,3.133801446261416,2.9983998667616594,2.910399744039014,3.038036569235289,2.763103913300882
76-2802154,,,,,,,0,1.0507929091726955,1.035271044122398,1.0148117062700368,1.0135972287018706,1.0255499373010704,1.020653914093318,1.021080358511024,1.0379726578149941,1.0271037433980696,1.02655539881761,1.0249479512710604,1.0237259984686666,1.0210383661199538,1.018683192500247,1.0190956984404618,1.0343880932978582,1.2295228875047817,1.2431156464498705,1.2093165041465415,1.2017478699507287,1.2167955960935268,1.2539674339740678,1.371984608376046,1.5254483509097059,1.5807304658422767,1.6701713733392582,1.7694523394514567,1.8310128610653746,1.9380769307488537,2.148450200697845,2.2958468340108884,2.2830668985832676,2.1985962351960855,2.2638764287488353,2.348946292415538,2.2920616304038504,2.240969491924515,2.190993704997858,2.2208766039220458,2.3514494880535373,2.3050228173489753,2.297403216600836,2.4833391721340434,2.5624549074554377,2.5336989991479126,2.487442611123637,2.4042856254032845,2.6489367666391335,2.8422298051651795,3.060109114173644,3.185762942966021,3.4285581822359505,3.6122870512023115,3.4336370243112824,3.3714460356324545,3.3153422112837942,3.247236767008619,3.0973217720686774,3.01862494301964,3.1547412521861617,2.8493324744477535
77-2801846,,,,,,,,0,1.0142542273071422,0.995773749646607,0.9994704864634255,1.0142815940303636,1.0094148962389706,1.011086601128673,1.0357208024019324,1.0236481575267748,1.0233577523048731,1.0216789960776818,1.0205467095664538,1.017962844370052,1.0156329750742115,1.016178078271593,1.0138599690341124,1.1229146030429857,1.1733934348766286,1.1490012605501154,1.1455183001736922,1.2264437899092344,1.265133987310642,1.3904390671774067,1.5537100053654591,1.6132201848617194,1.709808765170606,1.8169511876623068,1.8834829028146365,2.000561270448874,2.2312515035702316,2.395030855954533,2.3776744986528406,2.280188889242217,2.351090775506937,2.4433132951840695,2.3782823879947728,2.3200881353770497,2.2632047067590553,2.293438786128736,2.43462282220164,2.3823125911613956,2.3732727469827277,2.5753369518950686,2.66061614930889,2.627192759795304,2.575139226219282,2.4823632700069895,2.7452204017365984,2.956127455240401,3.1947164251540356,3.333895584129836,3.602301021205961,3.8088279474329583,3.6006335304719546,3.4513483410525354,3.4445583717351775,3.368429083483211,3.2019789123376876,3.1281815712693963,3.2747670043285,2.9362728122333754
78-2802103,,,,,,,,,0,0.9818009519502057,0.9924039256428431,0.9970761506708328,0.9933144787441825,1.0016468851811517,1.0383992564101536,1.024365777038621,1.0239681717147031,1.0220892944042304,1.020817808942305,1.017985956551779,1.015478922145961,1.0160687675033255,1.0136244011895366,1.080149179843581,1.1819828437658488,1.1552090444319274,1.151131761752939,1.2354166052842253,1.2755664384699448,1.4065118266430252,1.5784858433869378,1.641364882283427,1.743494620920783,1.8575022665927365,1.9288507493766625,2.0542936613280043,2.302964570208648,2.480823794180165,2.459131764227667,2.3498946551321094,2.425596496381432,2.523906777881698,2.451595303018065,2.386679465565503,2.3244112979816793,2.3544575593197354,2.5046107611666746,2.4471515225991123,2.436543606847343,2.6530639360118817,2.743549487267807,2.7059643389954853,2.6488297300423094,2.5470143134472365,2.8249409818551516,3.050790269747794,3.3075029243199707,3.457923823103209,3.7490494267283814,3.975280703404081,3.7411221636559366,3.574466195377605,3.5639576180346597,3.4802197625810525,3.298202236118301,3.2178992188560485,3.3719437190232,3.0060222239972134
79-2802067,,,,,,,,,,0,1.0088701882071984,1.0050353778216687,0.9983243663190133,1.0027744493447346,1.0138344783090596,1.002641979082513,1.0048685061256972,1.0036959527304556,1.003885016131669,1.0031733265318576,1.0018177861557724,1.0029763306184807,1.0024800993765355,1.0903084783433319,1.1857030965512618,1.1565284551999793,1.1520934532737575,1.2418967368741394,1.284220391802885,1.4235288715654761,1.6083218938347932,1.6759449694937958,1.7870943045551948,1.911565958498299,1.9898299422029404,2.1277632951042587,2.40506321974352,2.6047955618921224,2.5490744400849827,2.425090858718685,2.3736100413886883,2.472747683143917,2.4018534592094163,2.3387680486549054,2.277479379186043,2.3091671996662053,2.459746820561641,2.40330706073187,2.392973490357579,2.6094599476272338,2.70059271198785,2.6638652819532234,2.607461122435428,2.507084375729564,2.787132286018544,3.0136781029144792,3.272212122184317,3.4223331045885588,3.7163353539634945,3.944619596551806,3.7091486104437412,3.543491242490554,3.5325057833532187,3.4487841496730187,3.267994557631211,3.1879930385376665,3.3422925892879674,2.978654063279637
