순번_정류장ID,1-2802166,2-2806621,3-2806503,4-2806507,5-2802175,6-2801848,7-2802181,8-2802178,9-2802797,10-2802795,11-2802798,12-2802808,13-2806616,14-2802827,15-2803777,16-2802823,17-2802783,18-2802757,19-2802733,20-2802706,21-2802628
1-2802166,0,1.0335551631571964,1.0074376716257498,1.0205590488748126,1.012789173571114,1.0006249091796489,1.0101532350309343,1.0091178738618731,1.0086860600508971,1.0062423358773904,1.0087874639126166,1.0102159343561687,1.0083364841586604,1.0077943274202548,1.0073402579191801,1.0080625378186994,1.033740893564668,1.0314754909265063,1.0397858669503548,1.0376768243117136,1.058729169075264
2-2806621,,0,0.9858773030243487,1.0141120192469841,1.0070412838412626,0.9943192879418381,1.0061578120019572,1.0058155866649525,1.0056723598749098,1.0032845681925437,1.0061734078535367,1.0078713867252087,1.0059968996855648,1.0055564866706737,1.005233575481203,1.0061134203351083,1.0334859593520438,1.0313824750993605,1.0395982001970445,1.0374229002447244,1.0592775101817424
3-2806503,,,0,1.0278446996572042,1.0110947058157909,0.9931509416468908,1.0081814837486016,1.007298903924768,1.0069613454212352,1.0040915206124799,1.0073419926962424,1.009176740669871,1.0069909152093763,1.0064357751345119,1.006010160358954,1.0069298329568706,1.0367257197460118,1.0338230177226904,1.042802233196832,1.04018824011524,1.0634470995085676
4-2806507,,,,0,0.9926131117266851,0.9719306611984071,1.000147596774108,1.0014411752283836,1.0018586982888797,0.9989517684128006,1.0032262473797173,1.0057574785338161,1.0034450682628169,1.0030657907654046,1.0028784631101642,1.0041405930252425,1.0377934033934424,1.0347316469632806,1.0442916962127526,1.041297445180026,1.0665443554796628
5-2802175,,,,,0,0.9428383565538812,1.0028870644362482,1.003513436899871,1.003669012976831,0.9997979738666266,1.0049450209776216,1.0077985419447582,1.0048934351632894,1.0043257157626584,1.003981924401245,1.0053289180491685,1.0429519850255533,1.0385292777487183,1.0491195988959972,1.0453491153987258,1.0726096248889228
6-2801848,,,,,,0,1.0569194358269103,1.0272071927029263,1.0217675665901427,1.0137440956256285,1.0185152827576138,1.020217291889912,1.0155790581812394,1.013853555367681,1.0123576944442958,1.0131203655940284,1.0534962099125365,1.0473814952972953,1.0583634601622598,1.0532467916542756,1.082234593633922
7-2802181,,,,,,,0,1.0044282288555748,1.0044028157799951,0.9976042435016299,1.0061988217725921,1.0103158695796604,1.0057955328151136,1.0048943255498297,1.0043554317126424,1.006075144740619,1.0530225724943911,1.0462885696851756,1.0585176024359177,1.0529029004447754,1.084508239955597
8-2802178,,,,,,,,0,1.004361246197233,0.9911137551325121,0.9917353076957787,1.0015128533334736,0.9965859021284715,0.9968753594468751,0.9975998855811375,1.0006491976615939,1.058579510282688,1.0495744963038027,1.0634846975957695,1.0564037091880147,1.0919381727355495
9-2802797,,,,,,,,,0,0.9764541098415039,0.9836391088826848,1.0003140257351566,0.9940747604301285,0.9949588206985293,0.996238151923886,1.0000166689649634,1.0660424360277707,1.0544115872287334,1.0692771320241123,1.0607198417211499,1.0988410271488778
10-2802795,,,,,,,,,,0,0.9935409973838667,1.0149586894028289,1.001336811744499,1.0005314684072382,1.0006423753222822,1.0043104992726257,1.079522716983663,1.0627550051625643,1.0782934016680457,1.0675457671871305,1.108225928876755
11-2802798,,,,,,,,,,,0,1.0321305879283353,1.0046567119338354,1.0024851261788723,1.002009787928222,1.0059506728956913,1.0005558707317963,1.0038898728304624,0.9995078651664127,1.0014262077727927,1.045705174749796
12-2802808,,,,,,,,,,,,0,0.9734955209341611,0.9866268962189003,0.9924916234889222,0.999812698530002,0.9957704440209948,1.000802294443249,0.9963965738425056,0.9994450650642033,1.046708547490547
13-2806616,,,,,,,,,,,,,0,0.9983441067253473,0.9998262252311443,1.0066684654820184,0.9992050519141037,1.0037152863414391,0.9984986497468133,1.0013722389243331,1.0518146723459292
14-2802827,,,,,,,,,,,,,,0,1.0009567410378961,1.0101007809788662,0.9993849627413877,1.0036948570575501,0.9978869079701771,1.0011471376220706,1.0558558314944573
15-2803777,,,,,,,,,,,,,,,0,1.020859253115311,0.998791874684312,1.0051990563362874,0.9980846211410312,1.0017404239831558,1.0632755553456446
16-2802823,,,,,,,,,,,,,,,,0,0.983786881480433,0.998331562769539,0.9914549206758672,0.9973440126822595,1.0664416988760987
17-2802783,,,,,,,,,,,,,,,,,0,1.0138300254887112,0.9974602863991835,1.0033840170543153,1.0952407116405314
18-2802757,,,,,,,,,,,,,,,,,,0,0.9663342808828835,0.9960032974303252,1.1426440580293327
19-2802733,,,,,,,,,,,,,,,,,,,0,1.0135484845795748,1.2204812935704594
20-2802706,,,,,,,,,,,,,,,,,,,,0,1.8296571396294627
21-2802628,,,,,,,,,,,,,,,,,,,,,0
