순번_정류장ID,1-2800878,2-2800839,3-2800981,4-2800973,5-2800961,6-2800957,7-2800953,8-2800950,9-2800945,10-2800954
1-2800878,0,1.0126414848865952,1.002373790193605,0.9980612680854012,1.0003383352078932,1.0031516271096748,1.25561307655291,1.6936756525459993,2.371516423054897,5.089780901918316
2-2800839,,0,0.9951089891501792,0.9927703638423769,0.9970509849362688,1.000966577198364,0.9975822091602661,1.1581899621585907,1.5735719675976578,2.9057280551308815
3-2800981,,,0,0.9903080740204694,0.9982275082526993,1.003792364351183,0.9985365611080459,0.9997328671833186,1.0011771077276133,1.595366469832167
4-2800973,,,,0,1.0089997846731207,1.015195392752546,1.0032968881412951,1.0038077551419355,1.0049003604443083,1.0032296781232952
5-2800961,,,,,0,1.025369749841123,0.9990731405899379,1.0013876097501073,1.003520470500528,1.0019282668871912
6-2800957,,,,,,0,0.97752902057769,0.9919031924555461,0.9978905269032229,0.9982025680550662
7-2800953,,,,,,,0,1.0053113664345934,1.007228189940769,1.0031784684396028
8-2800950,,,,,,,,0,1.009080432787725,1.002435209794571
9-2800945,,,,,,,,,0,0.9987023067770756
10-2800954,,,,,,,,,,0
