순번_정류장ID,1-2805045,2-2805996,3-2803524,4-2803525,5-2803666,6-2804907,7-2803796,8-2802358,9-2804867,10-2802347,11-2803527,12-2806624,13-2805010,14-2805397,15-2805059,16-2805587,17-2804865,18-2805205,19-2805308,20-2805204,21-2802589,22-2802362,23-2802595,24-2802598,25-2805538,26-2802587,27-2802580,28-2802572,29-2802561,30-2802550,31-2802544,32-2802548,33-2802573,34-2802308,35-2802315,36-2802317,37-2802320,38-2802321,39-2802322,40-2802324,41-2805421,42-2806664,43-2806665,44-2805423,45-2805016,46-2804853,47-2805042,48-2804900,49-2804957,50-2803810,51-2801820,52-2801828,53-2801904,54-2804910,55-2801833,56-2802219,57-2802216,58-2802209,59-2805660,60-2806528,61-2806527,62-2806526,63-2806525,64-2807112,65-2806514,66-2804814,67-2802156,68-2802151,69-2802130,70-2802126,71-2802120,72-2802068,73-2802032,74-2802007,75-2802006,76-2802016,77-2802028,78-2802036,79-2802075,80-2802115,81-2801849,82-2802136,83-2802158,84-2802168,85-2802175,86-2801848,87-2802825,88-2802870,89-2802378,90-2802395,91-2802399,92-2802406,93-2802409,94-2802413,95-2802417,96-2802427,97-2802444,98-2802457,99-2802494,100-2802512,101-2802523,102-2802541,103-2802547,104-2802552,105-2802566,106-2802366,107-2802349,108-2802577,109-2802581,110-2804851,111-2802597,112-2802594,113-2802591,114-2802590,115-2805039,116-2805309,117-2805206,118-2804866,119-2805586,120-2805058,121-2805396,122-2805653,123-2806625,124-2803519,125-2802348,126-2802345,127-2802359,128-2803795,129-2804906,130-2805203,131-2803522,132-2803523,133-2805995
1-2805045,0,1.0258109096821397,1.0223208677737858,1.0100912385143004,1.2590520819386797,1.158808918150531,1.1428890977925195,1.1978449182183724,1.519972818481952,1.7593730468750002,1.5543488496522204,1.5337606939903008,1.4890774335947838,1.475565814816581,1.4492422143523849,1.4255126616020755,1.4017887839990077,1.409764779640758,1.6554585288542214,1.879451680553254,2.1792087236808326,2.187641652969303,2.234048384879725,2.1976652213900936,2.362957442872032,1.9931107504886674,1.9075459702836557,1.8343892536590178,1.789938054860662,1.7684804313525944,1.7596549644583437,1.8485911778253878,2.196774287177736,2.113717448724103,2.0135623631993,1.9468779633841773,1.8890350955498936,1.9249643465291,1.860755863259625,1.8609011386510712,1.9052334916747493,1.877498686386628,1.8526596884776496,1.8333139731174348,1.8167401090864197,1.805206029319169,1.7794321942768738,1.7652260194626102,1.7572316279164888,1.7702747289264227,1.8477873457048668,1.8825031291330403,1.8826251147820687,1.854155093948543,1.8131614537372645,1.7901603549288592,1.7800101898612122,1.766890822928677,1.6940141068452235,1.6697279477460782,1.662401478626028,1.6506461601089386,1.6415393139421621,1.6870972884842312,1.7399003409260902,1.9790306348800126,2.0331839007649486,2.0097468153846747,1.9756791969049645,2.0096240219034653,2.074800772018255,2.045110909008585,2.0286948487248555,2.0028969423940772,2.0385615901286585,2.088253103651818,2.1703316809180184,2.2156595414744786,2.3416286933394894,2.4265320811276356,2.4871056597754286,2.609026224580809,2.8096109245502827,2.9141392411204436,3.0302614496167215,3.120296846683582,3.2014243031573257,3.32712698943864,3.5700727600424225,3.786058084777146,4.042011765362161,4.272912981487804,4.346972715988492,4.25915225466391,4.395103783550012,4.677960355214485,4.842437572617074,5.135167738161158,5.596825046339169,5.727225820261962,5.647676409820375,5.986457755416622,6.1779668040617794,6.372619351090967,6.736930232558143,7.15180386328547,7.412793089878234,7.368350383364994,7.6181164307792795,8.757929781984194,11.793361636210427,12.330867367600739,13.071946907050952,13.227299613820305,12.141450848096387,11.338921133224478,10.457031123708122,11.018318319726525,11.727995281847534,12.443550551081723,13.293915031217775,13.99922300263133,15.431387337463454,17.7091281526519,19.507097649619023,24.195801652844168,21.898105800946453,23.739602040117056,27.69662600154095,46.98273922123038,55.307146652497366,75.5356590412449,150.00555011054638
2-2805996,,0,1.0175118924045432,0.9996990379964529,0.9948935768195186,0.9979131465498817,0.9971684179973953,1.0019677325322436,1.3985759594907088,1.6410637312528944,1.4631755452349169,1.451401977932269,1.4129276903214087,1.4029169766543126,1.380052083291467,1.3596680778075179,1.3392149711698147,1.3506193368438812,1.5952387077662853,1.8192255139835796,2.120896531044267,2.1320051211530995,2.180346534514151,2.1012429045492462,2.0545759695879,1.7883178813556977,1.7244478288839395,1.6690750347019505,1.63548815416097,1.6198778892558334,1.6146415019724434,1.6948948153902468,2.0060870389379644,1.9402115767858157,1.8594239213099786,1.806283629976851,1.758699306334288,1.7938773572775328,1.7409481042860406,1.7442195833769172,1.7871037297460417,1.7639685530180447,1.743593232751328,1.7271873679204617,1.7134279720051067,1.7035713625578472,1.6821074136679597,1.6696051846976243,1.6663773259049683,1.6795075572346583,1.7517949355590716,1.7845282580766986,1.7859903464283504,1.761153186431604,1.7262730833869406,1.7059201702579518,1.6970909823685632,1.6858777243675898,1.6235312995292948,1.6024075925884131,1.5959792699993263,1.5856517000639498,1.5780099635649538,1.630578856862323,1.6811753563503602,1.91055258081702,1.9624321673233562,1.9412040292641963,1.9101990524746442,1.9428539854449858,2.006186624964694,1.9791057099531335,1.9641457245581255,1.9402950163071473,1.975089252894508,2.022536843308692,2.1014239094918103,2.144876963133266,2.265485666273451,2.3468583242399164,2.404886552517733,2.5210754841488976,2.712110854002596,2.81150836107157,2.9218158063799318,3.0072522046416026,3.117817215477398,3.238446944257892,3.4060087434445414,3.6071568406320424,3.8439269010497332,4.057199499590239,4.126462747998132,4.0990170073266015,4.295045489369963,4.568328938951492,4.845389813568517,5.141474802200155,5.60905281454296,5.7412688910475085,5.660477225504535,5.776329078192142,5.956205569719711,6.14055301027799,6.300800608180768,6.669148069935464,6.901069736362635,6.863501409995994,7.083697058103376,8.07718208245612,11.683265938465649,12.515040793743665,13.288958132921902,13.449903653701066,12.31180701021867,11.479977076852686,10.566647331229312,11.14655773925811,11.878914393365067,12.619084507589873,13.500982461309704,14.23413687935781,15.728511593537448,18.125627352218913,20.027343056813116,25.025232972576454,21.045022722071202,24.517425697311182,28.7921945349769,50.45149250791753,90.32882786015378,160.57238199210144,320.7084841642842
3-2803524,,,0,0.9832708890052069,0.9870214930935942,0.9943825665208227,0.9939230294073673,1.000007064611524,1.4541289188510496,1.7404874442340994,1.5112427236955248,1.4931667156063408,1.4473133585907452,1.4346129421750116,1.408079483159709,1.384543156295715,1.3611834402206284,1.3720980064157566,1.6366547685488178,1.8818852071026635,2.2152861833054796,2.223664045404285,2.273746043149931,2.182178304108509,2.0686792179680378,1.790011849293973,1.7251513453391465,1.6677660357478783,1.633186938157271,1.617277043379054,1.6122235496901127,1.6940379030226398,2.0132074131464006,1.9455564846534659,1.8625063469384862,1.8080614822251893,1.759876898786873,1.7959585024520863,1.7415170514842961,1.7450252562669064,1.7882716852646463,1.7647071796457914,1.7441560667390494,1.727470110295384,1.7133138753054094,1.7033044416139962,1.6810401653415898,1.6691590944434136,1.6659061825762016,1.6789265704658263,1.7527296562799064,1.7856291003269866,1.7869360176361977,1.7620323170651364,1.7259124457427621,1.7061485390540543,1.6970641474552903,1.6857084205263464,1.6224392631324132,1.6010148310711647,1.5946410204421826,1.5843355221983615,1.5765395724525562,1.6415931260899244,1.6933242284490855,1.9280192383532653,1.981295941316766,1.9592241077699006,1.9270330377546685,1.9603937110136536,2.025220457031293,1.997102334727358,1.9813191381092714,1.9568741943069812,1.9921158207199274,2.0408385123469857,2.1216853358288996,2.1662511490536267,2.2902470031007667,2.3735408756994043,2.4333645170255154,2.55321517494966,2.750114973329204,2.8528357543683196,2.9666964995036533,3.055722275189211,3.1697590919587864,3.2959802919974144,3.432512353520998,3.63781328874005,3.8798137463638205,4.09911691387185,4.1704452576764,4.19262839628183,4.397534914958956,4.685864139006481,4.9785892372159175,5.2924860497282165,5.790489100003528,5.931859248061946,5.843567393106457,5.964358937801914,6.157697876797109,6.355341997785492,6.414513807710839,6.798381913203617,7.0401745492918,6.997750681191377,7.228992675104743,8.272841003152175,12.48389148782607,13.443310767759233,14.336627127637186,14.520076937209534,13.194272267432673,12.232624335600024,11.189784655419437,11.839613844256212,12.670194630092935,13.51668769281392,14.53458407659657,15.387596025190922,17.150695033781588,20.029439886265237,22.37909290870888,28.812167523429455,23.5874947950499,28.053971133130837,33.79895308467807,68.15920444590088,168.970754850355,248.04100391885677,181.89938222371484
4-2803525,,,,0,0.9892947563299528,0.997079190296393,0.996150979001084,1.0026586762705643,1.5439950628416397,1.8969077958486542,1.5828814752128504,1.5525860321957348,1.4956233750776164,1.4788006165622205,1.4469469474200265,1.418881848178205,1.3914031572663168,1.4016890152900006,1.6917230712702074,1.9650893769852429,2.343271654071457,2.3452683163127173,2.4003764613501124,2.2895083823993194,2.1555026689614385,1.8377683668453908,1.763878985582308,1.7017615273017808,1.6635046740284047,1.645998132246764,1.6396811456243363,1.7260791190449283,2.0649768116759826,1.9905077071292494,1.9001065643430648,1.8404417030227727,1.7884989532804672,1.8254823769045991,1.7672300601172917,1.7701048200883185,1.815692533184325,1.79050338131054,1.7677941090046039,1.7506061280124239,1.7355162640216013,1.7249250928498663,1.7011622401894777,1.6879336446616406,1.6839834157234639,1.6975827177563514,1.7736130023187484,1.807769162521237,1.8090027212161028,1.782397984490679,1.7448191263211275,1.7234603085821136,1.7142239207974244,1.7021642232675058,1.6361347342888362,1.6135563136572122,1.6069176246934178,1.5961716244844562,1.588181452233162,1.6544290694793746,1.7075658654043409,1.9486572453340627,2.0035298441979843,1.9803148583783254,1.946593157773266,1.9808976285652335,2.047114706221952,2.0179387894526726,2.0015048842398087,1.9759298881205696,2.012105289517242,2.0622840917927645,2.1452365976535117,2.1910808556306045,2.318610972474455,2.4046816084198093,2.466373432177689,2.590018273037614,2.7941502507658247,2.9007304625033346,3.0187446408068963,3.1116238787021198,3.2303507008835886,3.3617471909664554,3.5042856707489993,3.7189424844785797,3.9739959574704047,4.2034175237109315,4.2780626338706185,4.301383613686023,4.51797185627957,4.823700681322094,5.135244799868651,5.470655279660521,6.0056793561577395,6.158254459040353,6.060665159452643,6.189331247434579,6.397196804645472,6.611186834672935,6.6735467199320215,7.090838776360597,7.35382442575213,7.306827413292445,7.558349059276275,8.710650647544918,13.512046545907717,14.644080784173436,15.72225337744488,15.931825655217033,14.324542709262353,13.18432339426823,11.970086772515641,12.709588054462472,13.67256578358603,14.664403780180894,15.87116748827703,16.89313883787911,19.043868615934894,22.665482931610587,25.722681131560517,34.57844023912316,27.227147587284463,33.3326291644116,41.77131462571093,110.82032878234193,295.00939736781356,218.69156061193127,89.73954457741007
5-2803666,,,,,0,1.0008824245798393,0.998665266386464,1.005901500047575,1.7972210402027196,2.3610800624562542,1.7498666983344713,1.6858276302813437,1.5999349271001801,1.5724686436651885,1.5277470919341283,1.4889938665584568,1.452056440935693,1.4596617455979146,1.8045664494830795,2.1402284139832273,2.6222048933569932,2.6077998209007522,2.6658880971756345,2.513924755482436,2.3334200670769363,1.9267926698095297,1.8389172082961949,1.763565894308244,1.7186069042567689,1.6982630990624998,1.6898888722052225,1.785580645280331,2.1626587882163046,2.0741151882723323,1.968710186376493,1.8998701531493323,1.8404250231652828,1.8796746515814946,1.814120137425433,1.815715033793772,1.863507334050902,1.8351122650155607,1.810205201298306,1.7904884221802282,1.7733163746171448,1.761680451638215,1.7365963500762618,1.7220456526884032,1.7158382586723067,1.72959311540848,1.8105057896723211,1.8466247237880076,1.847226247041963,1.8184542612194166,1.7770810847975878,1.754028509113216,1.7440141811754641,1.7307806264527184,1.6591685364730564,1.635191207926998,1.6279643757860276,1.616210834168497,1.6076273082060755,1.6766176835882067,1.7320245023491583,1.9843719140642169,2.0417971527871197,2.016799971850736,1.980735221571193,2.016459048827806,2.085370029107408,2.0538924190972025,2.0364473021992895,2.0090904594896344,2.0465276603686475,2.099020997244259,2.185924572258651,2.2341909242203584,2.3682863398867013,2.458995391804726,2.523600975772148,2.6547973192756618,2.8715486927290548,2.9848107878645105,3.1113792380650462,3.2098493971512307,3.3373897446583696,3.4787822146583682,3.631673859641981,3.8650462120758093,4.141395155782336,4.393287040869196,4.473016991269965,4.496969720938477,4.7360266191817955,5.073928454079219,5.421219832563512,5.79784912427693,6.40464294962214,6.57914522115042,6.463066241833274,6.605059602471757,6.843132836611992,7.089337219896931,7.156477863017119,7.640048986745755,7.948388457879539,7.889530176069912,8.185967214367082,9.551889286283847,15.67871536269232,17.21883187217429,18.714672746346093,19.00703859512869,16.721808413223524,15.157503403391413,13.544195030493762,14.490639196101315,15.757762454215612,17.091839765916845,18.755956250073506,20.19838067944688,23.35555157024151,29.014268846709538,34.22422248450447,51.820149543611166,36.61775937794012,48.62531697648937,68.95686807632516,157.29396392896095,108.57391658625501,71.27510805715617,48.550899877388524
6-2804907,,,,,,0,0.9903607046225869,1.011560031508814,1.5042317915863788,2.253673383550644,1.580848278431164,1.537847218031631,1.4620126639995799,1.4421600866050732,1.4035601006460072,1.3711120634305303,1.3404075622664575,1.3565255933730949,1.7210429476551086,2.0844220034886094,2.624242997219118,2.606693846401028,2.6719227384625666,2.5025953248421704,2.306146121829051,1.881970465012909,1.7928548198291248,1.718422395483315,1.6742577292573886,1.6538016192397895,1.64671366317459,1.7448061551107166,2.136967453339503,2.046073057372,1.9388163361647208,1.8699664162076637,1.81023117072164,1.8514813755775892,1.7856134859705335,1.7881745568139806,1.8370704092173689,1.8084215674015223,1.7844020984397868,1.7645092165537406,1.7480185425737256,1.7363768121530558,1.7108635626234174,1.6964023180488235,1.6913782069428343,1.7056168240146135,1.7880437311898794,1.8251543183497974,1.8258790830751748,1.797257967469971,1.7559529148851114,1.73281656280879,1.7228416267380748,1.7098353695152422,1.6388605989674512,1.6154045265690378,1.608144247721829,1.5966808342673684,1.5883704963655625,1.6580636588988464,1.7141872797067068,1.9705163451291563,2.0286997917103773,2.00364663693914,1.9671558431512841,2.0035476923074578,2.073796704813104,2.042178627981178,2.0245782059216557,1.9970049845399873,2.035258565788806,2.0883040095581125,2.176850367716742,2.2259866613434958,2.3624702726713873,2.45504587907184,2.521261832848011,2.6552457009700845,2.87744995858553,2.994372966805721,3.1237255640802037,3.226130674342721,3.3570662818276764,3.5039661885784956,3.662139949559875,3.903577320063779,4.192373417140207,4.454121684629877,4.5383628464008074,4.561915193804855,4.812626656316036,5.169019155912927,5.536238827503034,5.936330474850631,6.5850425892952416,6.772590718337181,6.645810352042931,6.794874599372669,7.0522409439396405,7.317963309565835,7.390262937233281,7.913370739050925,8.245178855196619,8.182430396035924,8.504491165022996,10.016536515120748,17.111054827497625,18.985825008390908,20.85372006995181,21.212073476680576,18.33991337105812,16.437596923950444,14.520945559188606,15.621894635678462,17.122986151319854,18.729160664424917,20.770633522512163,22.572894578017465,26.64046287867434,34.372953580513936,42.028910334566355,72.47961456665487,78.26876382475542,106.54423038859935,109.92266504274086,66.92737139247666,42.1636111756383,35.04802825668257,28.496554400535643
7-2803796,,,,,,,0,1.0229850403745644,1.0110601364177674,1.5178231028659814,1.2728143127663718,1.2868105820960343,1.2509945057705556,1.2482273541900106,1.2278755653226197,1.2112378292203183,1.1948424469920513,1.2206018989611191,1.5407896437796516,1.8554750305688719,2.3137764137522785,2.318082250793247,2.3845378343128782,2.2536761031665646,2.183684633873149,1.8058739489763256,1.7259001730909502,1.6582037583393132,1.6182015972365942,1.5998338483608026,1.5947652584793237,1.689720387543406,2.069082285012073,1.984783696513281,1.8850006183966674,1.820938341199038,1.7648480785358653,1.8057509452305758,1.7438029115561229,1.747663120389653,1.7967696541551044,1.7699555763975332,1.7469203365957378,1.728132362492301,1.7126300237166272,1.7013826877847311,1.6774376659012231,1.6639124194946866,1.660461915366784,1.6749016411324384,1.755781149667765,1.7921301162990562,1.793476530993488,1.7658375198880696,1.726625418524011,1.7046783100655007,1.6949907727739335,1.6827252710463179,1.6152435897396789,1.5926806213089533,1.5858379462793033,1.5747762862580599,1.5669978208893038,1.62230144849387,1.6769133077005651,1.9257574947238287,1.982610153811675,1.9590488201107672,1.9246690732433152,1.9602986330824947,2.0293120952647654,1.9993101377690472,1.9825173565725955,1.956573776044943,1.993940318361194,2.045832749326943,2.1317704913483366,2.1793447744772494,2.312170221344047,2.4019603076876197,2.466039592028471,2.595992543356815,2.8105584772910817,2.9231599476766554,3.048784225601905,3.1465717820666614,3.2736604458759344,3.4138132332598095,3.612580027585071,3.8494522644990283,4.132548111705975,4.3893490047179835,4.471630963164145,4.428957840428008,4.667541383175621,5.005840657461716,5.353368992143435,5.730759757202482,6.339877946294818,6.515289098972479,6.399261344059588,6.542741319695914,6.782244493965297,7.030155377460066,7.255381658957282,7.76269002338825,8.084500285504776,8.023114270955551,8.33646238180869,9.795823229647398,15.824780594151113,17.43096310409119,19.0081815767341,19.31487949069794,16.901156503367073,15.273757136889014,13.606179894804546,14.581785078259239,15.893360593195748,17.280475133614576,19.01978858287104,20.535276965564254,23.879668026017452,29.984250618510824,35.70469385627969,55.82821767672234,113.61711752315168,183.56184502322262,87.18657138598199,52.93598834980235,36.146246412589306,30.789429102280096,25.617608135758864
8-2802358,,,,,,,,0,1.0006906252995809,1.0097028361761688,1.0043681972907788,0.998594449180415,1.0015451639714619,1.0262997345824456,1.0236664731837941,1.022874197923982,1.0211222090630556,1.0676276735343426,1.3613878441520169,1.662683425341518,2.1328653256743126,2.148601137614741,2.2203896956265243,2.1027467611575177,1.9651750385354925,1.664211879574004,1.59997576697325,1.5443101227361191,1.5121569688435785,1.497478372568285,1.4950862577599178,1.5852115563986147,1.9443938167314467,1.8705733535724751,1.7842583111453358,1.7282672907153414,1.6792719912399123,1.7205117454386603,1.6651242170791931,1.6714015397201798,1.7203371185359884,1.6963820645854726,1.6754750178929527,1.6588420271485493,1.645288130090931,1.634900105282126,1.613251972136626,1.6010936652701566,1.6014052369608216,1.6159766248610556,1.693986247751446,1.729768507755157,1.7319336298736079,1.7066611606982778,1.6705511261479242,1.6506058100169139,1.6417107595589804,1.6303725368905877,1.5691919858095997,1.5486137807082863,1.5420996744236124,1.5322166842831035,1.5254332083866478,1.5875839222133719,1.6412677393436645,1.8864567656206896,1.9426747873677694,1.9201248979787988,1.8871900553987924,1.922546205387313,1.9909601075487116,1.962151220636743,1.9461440880541006,1.920935598365497,1.958314503492418,2.009355009101852,2.094264271252947,2.1410223348061614,2.271797179334864,2.360497220565874,2.4239457202283172,2.5518393635460437,2.7635224995121748,2.874494724504365,2.998015995220895,3.094671785280935,3.2192957245085547,3.3576282024913153,3.527756381301618,3.757813784188372,4.032003026502886,4.2815779711012105,4.362445076982825,4.358458141835988,4.593162228161564,4.925865387817998,5.267525501932402,5.6383858895409595,6.23659798075101,6.4087642740093695,6.295971329687642,6.436966233566239,6.6731817234570645,6.91774890840844,7.048807807708508,7.537343199078987,7.84423191130707,7.787026565071789,8.083117751739808,9.473538807640614,15.795173618062428,17.414206039582517,19.006734515847636,19.316720620989067,16.56245833197242,14.875944657956474,13.277596418885189,14.078394084777264,15.319064031973607,16.614784637451724,18.23812897876005,19.44284699890105,22.45838277162529,30.173258281132796,36.03984338258617,74.73205553656928,525.2788671265184,123.9545433329358,70.76876429229418,35.5016854402245,27.069665684489987,23.95129731638077,20.70264199876885
9-2804867,,,,,,,,,0,1.0245769332584374,1.0061337023192414,0.9978909312011516,1.001785237274963,1.033461077576979,1.029053746265295,1.028028206655907,1.0254705294674982,1.0804440128710422,1.4375555413252248,1.8254331182021648,2.4750535679463077,2.467642222685741,2.54863731280887,2.3662428545197463,2.1624844875005036,1.7510687175749415,1.669994390551989,1.6019297906612884,1.562616074182477,1.5444798946857845,1.5411336412252168,1.6414284211578412,2.0479152198155606,1.9585354669973878,1.8543195750609545,1.7884084439091352,1.7308800985126833,1.7748355850355584,1.711456971893051,1.7168367148430634,1.7683474171754685,1.7413536259395963,1.7178666104346239,1.6995156054491054,1.683373378418035,1.6720131643437526,1.6478242482396444,1.634468225567094,1.6326473604418028,1.647830519677132,1.7312149227946916,1.7691203934206814,1.7708487927094576,1.7430410425170964,1.703343527157044,1.6814325813282938,1.6716966232104868,1.6591185662941073,1.5920803538754003,1.569940547075955,1.5631539731884327,1.552458501965634,1.54451746005848,1.6094507128771436,1.6657673453828543,1.9235835535060821,1.982538470059929,1.9580531141434827,1.9225585215972867,1.9593817235697315,2.030876982516248,1.9998654690764621,1.9822999948091624,1.9555842771756329,1.9944284666143046,2.0479173585368557,2.1372946085536824,2.1869382149440657,2.325005818909023,2.4190214104386727,2.48627637781908,2.622414464544442,2.8484902035539794,2.967297291597401,3.1008152309780947,3.205117585964139,3.3395118980844787,3.4897871690615383,3.6743439509297815,3.926879068593767,4.229261265910419,4.504649793074954,4.592058345971031,4.587158863106082,4.849353640298175,5.223664043807343,5.610430916939829,6.034954895452006,6.729682891065574,6.93148328706048,6.792120333334556,6.951764604111016,7.229154091699137,7.51658230823133,7.667981570120909,8.249935870797616,8.61952701056858,8.54496084039273,8.907875702057646,10.631619164259376,19.31032439025751,21.801204394893325,24.358610252092166,24.842349020446317,20.375664921926838,17.82915274267635,15.534142525468923,16.626531602848775,18.38025533281858,20.28979681302912,22.7558701069623,24.655571752152262,29.72220209589069,44.940049476809506,59.33147360618004,149.07652170552132,87.88182223337444,52.67544691141305,73.05353542952865,45.44962337563403,32.33810884071304,27.921683322072756,23.542657830251944
10-2802347,,,,,,,,,,0,0.9985718067504964,0.9910780227896181,0.9971085132259849,1.0351175299332358,1.030346220084328,1.028540048518705,1.0251493404532734,1.0872943839206515,1.498872606154428,1.9648396802258605,2.7968348295494647,2.7586579107213893,2.845646429694873,2.592602941176471,2.32279876545119,1.815019580355007,1.7187538121003445,1.6409663099772815,1.5965028875099518,1.5763022759894028,1.5713523490323231,1.6790598524903577,2.119023447329292,2.018277846469167,1.9009340407983608,1.8273753804378328,1.7655575435594681,1.8099540058521135,1.7412697375157307,1.7460832455121846,1.8000849760997888,1.7703457769007307,1.7451686618861069,1.7251663575114333,1.7077601543118988,1.6960197014627711,1.6697056168698148,1.6554308885142064,1.6528929164898734,1.668477025958075,1.755174913150513,1.794813758410617,1.7956450162356616,1.76583456456144,1.723654488305476,1.7009356713804835,1.690163575798146,1.6768655006421875,1.6064030204815911,1.5829186441511247,1.575813763802747,1.5644825278312744,1.556418020732441,1.6228410846663572,1.6809042152800335,1.9469153780719062,2.0077537757902975,1.982152241139698,1.9445591179882853,1.9827393527693955,2.0562414527834703,2.0232011912265557,2.0054251660845583,1.9771439336652863,2.016868585645773,2.0721897076815434,2.1646478239948506,2.2156167814311254,2.3589312460241434,2.456024979937913,2.525992902270877,2.6675724739331796,2.903370524792887,3.027598031636546,3.1664749890193673,3.2765568544102024,3.418111532039216,3.5765056786242755,3.7700012958952116,4.03808481267694,4.359900897976619,4.654455388681883,4.746513224845789,4.740139296370621,5.021669956582421,5.425520282416858,5.846180829345303,6.30990575793533,7.074143067067233,7.2981150267869275,7.140724400840758,7.310314253845597,7.6200133693346865,7.940777014413455,8.107416613282087,8.75828851749757,9.179408468663446,9.090933784948033,9.501290467660995,11.495152034653945,22.398409322815752,25.807194538365398,29.47233235417304,30.157814121037465,23.74222544974196,20.311758735875802,17.34867117729062,18.702490495771595,20.963691013935616,23.487193596262355,26.875714337125046,29.520505823653934,37.12919949606049,64.37337982837221,98.66622891839157,234.8718723015059,55.24350073715202,56.5624829914771,88.08749312732394,50.61416787383845,34.774464465183065,29.68136331054526,24.745689237624727
