순번_정류장ID,43-2804633,44-2803707,45-2803709,46-2806218,47-2803710,48-2803712,49-2803713,50-2803717,51-2803722,52-2803724,53-2804275,54-2806287,55-2806285,56-2804281,57-2806283,58-2804272,59-2804271,60-2804269,61-2804267,62-2804265,63-2806281,64-2804263,65-2804777,66-2803744,67-2804666,68-2803745,69-2803746,70-2803747,71-2803748,72-2807370,73-2803604,74-2800266,75-2804602,76-2803580,77-2800263,78-2800267,79-2804032
43-2804633,0,1.0039732283173406,1.000096979583311,0.9981357602179461,0.9993166609914347,1.002841453334387,0.9994285494848718,1.0009239372613203,1.0001831718645595,1.0006548818268823,1.000562397153703,1.000704929515231,1.0020534509194634,1.0015395636166804,1.0009091060634627,1.0007039891037468,1.0013853125726586,1.0014924522287845,1.0020181223348636,1.0017147497737968,1.0016733775197795,1.0014514238113843,1.0029412313399912,1.0018713583632646,1.0013542489770326,1.0008092854470128,1.0012542087139298,1.0097288915406628,1.0772657267431935,1.1781596287057372,1.2388819300756373,1.3812609975273333,1.3674097472321327,1.3620022665818245,1.354930795190628,1.3476256378725486,1.3297710948121433
44-2803707,,0,0.9921343537414965,0.9930848086487868,0.9959890064173255,1.0021984647510365,0.9979356786873856,1.0002434378039107,0.9994406308380761,1.000093250830339,1.0000894681158965,1.0002980980379124,1.001834807188523,1.0012784943613267,1.0005949184866942,1.0003998732788681,1.0011572880557416,1.0012937139061444,1.001867750426946,1.001557301001093,1.0015242045115496,1.0012970922384996,1.002881697148754,1.001756798444505,1.001215936353011,1.0006521965694222,1.001124876803081,1.0100725221931381,1.0806869204874343,1.1867006571298153,1.2508544054959674,1.4015770279031314,1.3861956470055519,1.3802443063260297,1.3724521630425017,1.3642789842879508,1.3448203111795467
45-2803709,,,0,0.9937767018730691,0.9980455498283527,1.006047008081556,0.9990398540115376,1.0012318338075192,1.0002109167635203,1.00080790953323,1.000665308923277,1.0008246536173233,1.0024038970123665,1.001782176354537,1.0010393629813688,1.0007919409380681,1.0015616845836286,1.0016653080434856,1.0022461728057974,1.0018882080580254,1.0018303843807201,1.0015783756016507,1.003192277867876,1.0020189582047418,1.0014555925511424,1.000863146565502,1.0013380028088876,1.0007137537606083,1.0540040226434453,1.1582433881522902,1.2212940148248232,1.3693724533768248,1.355554644144653,1.3500665881785932,1.3429154154558431,1.3354344980490307,1.3176003742317142
46-2806218,,,,0,1.0097589457002252,1.0196364682514176,1.0009047673602236,1.0027319821523104,1.0013005733005733,1.0017977795613355,1.0014263288335183,1.0015098301494811,1.003160105640447,1.0024375131348593,1.001604214631194,1.0012813515840662,1.0020726619748968,1.0021308948437238,1.0027240300739406,1.0022993445131305,1.0022082101130139,1.0019218630537523,1.0035816501029204,1.0023394264649914,1.0017445558802274,1.0011127226053496,1.0015926320156445,1.0009323442200577,1.0007348648862735,1.0900629341645642,1.1491266844068937,1.2874306710095325,1.2777547885739928,1.2735223690571174,1.268206827660874,1.26246602120828,1.2489668842572819
47-2803710,,,,,0,1.0263214615621472,0.9995918495847659,1.0021758841704727,1.0007441875312677,1.001367226105735,1.0010767693610925,1.0012068313394018,1.002942351038318,1.0022123718407596,1.0013663314432084,1.0010602761661505,1.0018842956961684,1.0019632133358491,1.0025763398272465,1.0021589580490864,1.0020768681261285,1.0017940632075588,1.0034871266732934,1.0022327814739518,1.001633116210099,1.0010003037587107,1.0014911641434707,1.0008298040966424,1.000633667919405,1.0661297741234765,1.1238319081358414,1.2588087365229612,1.2505195172177819,1.246709077558647,1.2418615906270223,1.2369625617552067,1.2248230724184253
48-2803712,,,,,,0,0.9920923575774854,0.9989786550456684,0.9979900685741312,0.9991999657701232,0.9994085735805344,0.9997652799926965,1.0017437371846891,1.001064549358278,1.0002422558457513,1.0000477139074113,1.000966169416872,1.001145320458011,1.0018160248835168,1.0014678496164584,1.0014373036686781,1.0011883629378755,1.0029589145953375,1.0017099758091204,1.001115242195942,1.0005042189130342,1.0010267784944709,1.0003845044526332,1.000200860457493,1.0314746873023353,1.087241815064874,1.2176133701018057,1.2111579046920948,1.207941203295161,1.2039104955593303,1.1998864573343209,1.1899164787075163
49-2803713,,,,,,,0,1.0051333790606007,1.001662043901626,1.0023864915669123,1.0016626114266831,1.0017386050286263,1.0039010816240421,1.0028977125133816,1.001800915162301,1.0013733877569824,1.0023381863928371,1.002375747337901,1.0030683908454172,1.0025321301193217,1.0024071198987483,1.0020660330331883,1.0039353468201475,1.0025161343737412,1.0018443401143742,1.0011355651706124,1.0016648710259686,1.0009350359787659,1.0007189032930184,1.006135976631447,1.0631404135077172,1.1967126484878428,1.1910834826262053,1.1880328637540518,1.1842537677635316,1.1804168038951748,1.171149148683598
50-2803717,,,,,,,,0,0.9936913271261114,0.9996217935018425,0.9984850062262797,0.9993281223876475,1.0026294845318386,1.001471326846437,1.0001928990735243,0.9999218916947291,1.001214462053038,1.0014189485339915,1.00228638529783,1.0017785561859431,1.0017102802206261,1.0013828900596176,1.003512743834292,1.001978389368171,1.0012612736805317,1.0005329970462835,1.001139852186838,1.0003915302702033,1.0001808699069916,1.0011126448226346,1.0329561051590057,1.1703006369234863,1.165681921225851,1.1628743793489424,1.1594579041904713,1.1560309162967006,1.1477459505804863
51-2803722,,,,,,,,,0,1.0042477337348925,0.9999062055133626,1.000529756104321,1.0041467842232592,1.002623221636416,1.0010663250190428,1.000612251178829,1.0019677662833546,1.0020733260819465,1.0029661766585827,1.00232522544916,1.0021965545247964,1.001810708705832,1.0040151548932572,1.0023694158248084,1.0016036998175486,1.0008174398971603,1.0014324727580493,1.000634064539812,1.0004058528074353,1.0013561183973079,1.0012068243286527,1.0990679438245279,1.0978430791192288,1.0960743415542622,1.0940839863547163,1.0921913247649835,1.0875113874508255
52-2803724,,,,,,,,,,0,0.9972438623260445,0.999131626224888,1.0041180780678367,1.00224232316126,1.000404442437958,1.0000103027481628,1.0016320254604123,1.0018083913512696,1.0028213905562346,1.0021428416727687,1.0020236753691965,1.0016235110736411,1.0039986781068977,1.0022483932098556,1.0014408735311746,1.0006242858214325,1.001283179948103,1.0004582997170228,1.0002271657405748,1.0012291246893668,1.0010775016632774,1.014167635127012,1.0167125833274446,1.0161058077746425,1.015713767584179,1.0155446957484173,1.0149346453057786
53-2804275,,,,,,,,,,,0,1.0021220824164876,1.003932142848816,1.0009583042015815,0.9984025489761988,0.9984237776066961,1.000782553559214,1.001185729576752,1.0024809758971824,1.0017431383313637,1.0016567839574875,1.0012373278971467,1.0039542735680653,1.0020044923821834,1.0011195054761057,1.0002512757598698,1.0009955597127138,1.0001260133727583,0.9998917814193453,1.0009907752775695,1.000835844676551,1.0012937140100007,1.001478946991239,1.0010580888178497,1.0009476471928664,1.0010971173356913,1.001229316375406
54-2806287,,,,,,,,,,,,0,1.005901671248206,1.0002204159177266,0.9966262984101057,0.9973012270855699,1.000449350112783,1.0010128610570046,1.0025408083264045,1.001693670621974,1.001604768913777,1.0011497533783447,1.0041168942869523,1.0019952738147908,1.0010435794435872,1.0001239797027082,1.000923957606082,1.000011201693181,0.9997699000661676,1.0009330182659968,1.00077233766762,1.0012557336198133,1.0014509926523787,1.0010123651105738,1.0008983222933978,1.0010549803603772,1.0011946448752498
55-2806285,,,,,,,,,,,,,0,0.9922264894949785,0.989355474150507,0.9911658169668583,0.9966718473156817,0.9985138721880228,1.000622728679081,1.000122757070724,1.0002750725723382,0.9999389315214722,1.0033071774572269,1.0011052487446541,1.0001331304020484,0.9992498522226766,1.0001614708499047,0.9992744556616853,0.9990591811979417,1.0003269717586252,1.000180791514975,1.0007279009392995,1.0009594377969073,1.000510443720576,1.0004027080869877,1.0005773303833836,1.0007495315427857
56-2804281,,,,,,,,,,,,,,0,0.9857441174571053,0.990764202015908,0.9978570991803496,0.9995857009647915,1.0018515457100348,1.0009702649253087,1.000988471473587,1.000531615609034,1.0040542854676704,1.0016357524185024,1.0005774508334855,0.9996001576833321,1.0005277925440295,0.9995658367894453,0.9993262419270446,1.000621581798073,1.0004591716940356,1.0010033478569422,1.0012268205226342,1.000760063466176,1.0006435906509328,1.00081730519065,1.0009800251490724
