순번_정류장ID,71-2806982,72-2806983,73-2806984,74-2806985,75-2807003,76-2807125,77-2807126,78-2807128,79-2807130,80-2807132
71-2806982,0,1.0020192587313486,1.0016093982638714,1.0004056640102534,0.999327103678695,1.0002951484289533,0.9986892975561473,0.9999782325113963,1.000068093600976,1.0001282134322471
72-2806983,,0,1.001419722196949,0.9998982483256055,0.9988784071880242,1.0000779232574606,0.9984199901100136,0.9998386046927368,0.9999563825773253,1.000036251297179
73-2806984,,,0,0.9966724537037036,0.9974469601435592,0.999575957499312,0.9977834092564571,0.9995643323319005,0.99974951723193,0.9998735795223753
74-2806985,,,,0,0.9977283323722804,1.000198036170015,0.9979073339792235,0.9998220218107438,0.9999693229635392,1.0000614969923023
75-2807003,,,,,0,1.003793429374338,0.997986184529227,1.0005071302416924,1.0005204556576779,1.000513270647753
76-2807125,,,,,,0,0.9954370280164251,0.9995542811388576,0.9998547203840195,1.0000100561000627
77-2807126,,,,,,,0,1.0075635806727758,1.003664804111497,1.0024664159027479
78-2807128,,,,,,,,0,1.0005593299543478,1.0005214813100272
79-2807130,,,,,,,,,0,1.0004866701315465
80-2807132,,,,,,,,,,0
