순번_정류장ID,1-2807426,2-2806167,3-2807235,4-2807431,5-2807236,6-2807282,7-2806007,8-2805909,9-2806009,10-2800339
1-2807426,0,1.1198579170461262,1.568485405404028,1.4485284578367192,1.3917397488769048,1.3590706078087351,1.354867000635311,1.3632689709249002,1.359487599152378,1.2618086981620262
2-2806167,,0,1.008269371345029,1.0039427789968887,1.0054463216194027,1.0095727365059237,1.545237197940322,1.4339491168969056,1.362269972066752,1.2341251724503697
3-2807235,,,0,0.9947672466126762,1.0019628145765058,1.0107849219298843,1.0657590123694471,1.0508526509844032,1.0435861165794302,1.0276940207539176
4-2807431,,,,0,0.9919126896530452,1.0118111955015423,1.0055141380766186,1.0002693036444894,1.0019025542923847,1.0006552138689246
5-2807236,,,,,0,1.0259795268024912,1.006876158263036,1.0001769176674962,1.0020839298890956,1.0008474195369086
6-2807282,,,,,,0,1.0014037076119384,0.9953937544326287,0.9987919924567077,0.9989566827686932
7-2806007,,,,,,,0,0.9843716868603307,0.9963722525980375,0.997795755256064
8-2805909,,,,,,,,0,1.0086243433028323,1.0013902824904304
9-2806009,,,,,,,,,0,0.998684333205565
10-2800339,,,,,,,,,,0
