순번_정류장ID,86-2806423,87-2806421,88-2805953,89-2806527,90-2806526,91-2806525,92-2807112,93-2806514,94-2804814,95-2807105,96-2802120,97-2802068,98-2802032,99-2802007,100-2801994,101-2801971,102-2801844,103-2801942,104-2801921,105-2801927,106-2801924,107-2801916,108-2801925,109-2801908,110-2801715,111-2801690,112-2803662,113-2800165,114-2801632,115-2801643,116-2801646,117-2801655,118-2801660,119-2801669,120-2801666,121-2801633,122-2801192,123-2801604,124-2801564,125-2801520,126-2801485,127-2801450,128-2804871,129-2801387,130-2801347,131-2801317,132-2801280,133-2801115,134-2801098,135-2801070,136-2801041,137-2800837,138-2801007,139-2800983,140-2800836,141-2800835,142-2800965,143-2800843,144-2800941,145-2800927,146-2800925,147-2800923,148-2800826,149-2800919,150-2800914,151-2800911,152-2800904,153-2800889,154-2805296,155-2805295,156-2800899,157-2800896,158-2800894,159-2800892,160-2800403,161-2800419,162-2806185,163-2800430,164-2800432,165-2800435,166-2800440,167-2800446,168-2800469,169-2803595,170-2800352,171-2800342,172-2800354,173-2804951,174-2805322,175-2800356,176-2800358,177-2800360
86-2806423,0,0.9463814284205709,1.0009621047542254,0.9947572118854929,0.9942029451353036,1.0014868099332654,0.9968567649138493,1.000387534286249,1.002102987126192,1.0019961324468036,1.0016805910245377,1.003129729123796,1.026931490439774,1.1181399251757695,1.1077822720469301,1.103450645080822,1.113637306504271,1.1285913351850785,1.1199687847684523,1.1917498136236757,1.239460277137975,1.5318014736442065,1.7648489807469776,1.7103742935604316,1.6156372941758563,1.5813677696485549,1.5391150398140316,1.5140534634767104,1.631618220552094,1.5892609432177687,1.583115892746806,1.5653123324531713,1.5449034377254904,1.5280746281557667,1.526060960000146,1.506961518604849,1.4952875272469466,1.4683786300005424,1.4704995723292842,1.482056367281844,1.4688778265387032,1.4565998079387958,1.444049662292977,1.4338432584310952,1.4228868141923738,1.4111257990281325,1.3962652100048512,1.3807897089984364,1.3731244127648718,1.3665291172645486,1.358261511219908,1.349469508630974,1.3448406552367878,1.3391421802120236,1.3348436514180095,1.369320143334078,1.3951202591338039,1.4219602213822429,1.4452636518241861,1.4351876113456725,1.4286423932726104,1.413704638965495,1.4076808875082618,1.3973918752418002,1.3883951845733358,1.3850718017573416,1.374565128078167,1.367680586498977,1.3573033603381985,1.354673829576462,1.3477802544525828,1.342739643465705,1.3427799328059487,1.3340257723739206,1.3151225644311557,1.3116551384381732,1.3054420926119124,1.298609857800249,1.2944790613530823,1.3113550401045035,1.3346332268997778,1.404990213186233,1.4827408222942384,1.4970088092225624,1.4946566200521667,1.486804584362737,1.4814598634517384,1.4733063212876536,1.463356932295712,1.449066892252003,1.4419857250014954,1.4375629693736656
87-2806421,,0,1.0685135905376313,1.0221891743976952,1.0122465875019506,1.0168606065032324,1.0075759267530149,1.0102126426518503,1.0079398879197554,1.0076890572825805,1.0061145118516297,1.0072859189315304,1.0064471529478274,1.005983943800449,1.0045950617283952,1.0062537376112748,1.0199988503930222,1.0355055346946116,1.0333030888572332,1.0842539625421657,1.1273241093635709,1.3889875253218469,1.595338906023025,1.5641058767521345,1.4923679037000197,1.4674368823586754,1.4349886384702208,1.4173375216266928,1.5269686801359306,1.4931309549451808,1.4882116444353308,1.4737253699155233,1.4572438342059815,1.443635164249016,1.4582292928598912,1.4420003520908966,1.4320857587561804,1.4090306894125924,1.4120794708737774,1.4238620399520068,1.412358577233635,1.4017857812805337,1.3909490381412553,1.382140617613674,1.372819635047504,1.3626163357831989,1.3499279711901782,1.3364818600115584,1.3297323067776836,1.3237822645201225,1.3169423706505292,1.309061596832408,1.3049775132097805,1.300000443756345,1.296260345874269,1.3216332036977203,1.3465464510010021,1.3722076772331697,1.3957420134381566,1.3868301006500219,1.3812874134323307,1.3680718327189367,1.3629026935851822,1.3539987119609043,1.3460565722226445,1.3430848997496527,1.3339068267610465,1.3279837481514127,1.3188455825756171,1.3178747179724426,1.3114928778428734,1.3072556521619547,1.307990521368703,1.3004067783358186,1.283493361954212,1.2803717636734746,1.2748855954523397,1.2688615482616998,1.2653657670259995,1.2871124113041663,1.3099640128747043,1.3785506668458283,1.454823550860552,1.4691003241185405,1.4666912852022527,1.4595351906659164,1.4544948976530045,1.4470378355927473,1.4375925792854225,1.4243553032626253,1.417691202474031,1.4135869644987658
88-2805953,,,0,0.9830119742093952,0.9875698172809314,1.0027964659155388,0.9951889341532307,1.0001912338407404,1.0023390360204163,1.0021830916297123,1.0017917162549208,1.0034348088488458,1.002736011371249,1.002527415453799,1.0009602429403521,1.003274414260658,1.0174271536762045,1.0340118664995799,1.0318188843710645,1.0849181777974348,1.1298584612688893,1.4045792209930097,1.62325592580266,1.5870872630193527,1.5094462360605265,1.482456573196221,1.4477801354227318,1.4287373284005422,1.5424559343997066,1.5064981314479162,1.5012829897516853,1.485980213534666,1.4685764785572162,1.4542318325665307,1.4687219080944427,1.4521954758316415,1.441777720953265,1.4176110767279606,1.420483465418053,1.4323574897548443,1.4205976796245832,1.4094449126441193,1.398268782566627,1.3889871092511057,1.3793802819764829,1.3687985584081845,1.3553384607140382,1.3415183597248523,1.334540089086935,1.328577140798675,1.3212456375803807,1.3133689895480596,1.3091532631369882,1.303942498989182,1.3001680277779235,1.325745923180545,1.3514273778882713,1.3775856369042938,1.4012897722079476,1.3921853294519198,1.3864725980738857,1.3730279270127432,1.367627606778034,1.358318869462903,1.3502342894298238,1.3471823983204045,1.337829032269085,1.331814401711638,1.322309727847427,1.3210706526617162,1.3147392939486888,1.3103280297040008,1.3110752894019657,1.3030882695767692,1.2858929945355075,1.2827578198518261,1.2772639044709524,1.2710223963601848,1.2673530937487056,1.2892468680132234,1.3124166284564442,1.381996693405437,1.4592529653423298,1.4736378866230733,1.471174288263787,1.4638572184272265,1.4586525618829893,1.4511599474670946,1.441521853366997,1.427976582676046,1.4211845950138335,1.416954300875527
89-2806527,,,,0,0.9892078267978167,1.0107171868039724,0.9993543517448035,1.004655557766686,1.0050902893897948,1.004533733390262,1.0037422836123215,1.0053235170449275,1.004471255414128,1.0041078067872558,1.0023105210960794,1.0046745109306754,1.0195860326456834,1.0370748112138266,1.034545598350234,1.0900940348306767,1.1375550893321142,1.4300430641724187,1.6657120150467926,1.6218418002248483,1.5355461591350514,1.5055121193964267,1.4675937324275443,1.446475194211501,1.5655320674600501,1.5265561670071561,1.5209202761762854,1.5044621270540626,1.485749149385759,1.4703593172337093,1.4857080449851152,1.467769171897514,1.4566350837623057,1.4307540159326235,1.433644567319032,1.4457591425714078,1.4331643611918397,1.421600304959852,1.4096590264036934,1.3998578005525422,1.3895775400849864,1.37846503520686,1.3643196485538527,1.3499165237234534,1.3425110564604228,1.3362783398229257,1.3286074961340497,1.3203735855117127,1.316053460520918,1.3107028626478885,1.30668142420361,1.332812955457076,1.3589661945694578,1.3857507432533787,1.4097577644916364,1.4002723608276273,1.3943255283578624,1.3804342141358494,1.3748214362523614,1.3651566588456205,1.3567715757659498,1.3536076619760546,1.3439136612722162,1.3373336429113047,1.3278462038616166,1.3263120338255832,1.3197351399635417,1.314979791079175,1.3157727634222414,1.3077164108330688,1.2899266852166535,1.2868567902498271,1.2809962266967643,1.2745911623499875,1.2709091492355948,1.293416383612406,1.3167281592729703,1.3874236315071549,1.4659221735641237,1.4805145816805454,1.4780374115179613,1.47037411698539,1.46520252430096,1.4573251239898681,1.4474239310180284,1.4335858791458114,1.4265627498284956,1.4222294783089608
90-2806526,,,,,0,1.0277292565034442,1.0028219533324396,1.0086473152607398,1.007141528274279,1.0062068618066402,1.0050600596292656,1.0066275189266236,1.0056356651020284,1.0051462385432386,1.0031444561651737,1.0055898497037796,1.0213055560842124,1.0397358614692913,1.0368749960835242,1.076128664788057,1.1248712050099314,1.4268477631145433,1.6721997585863246,1.6258343448142185,1.536260667115047,1.505298870299607,1.4663763413994975,1.4448105642883762,1.5669027013950572,1.526887511918428,1.5211135090260708,1.5042691276125464,1.485147612979818,1.4694466674938758,1.5021108708405355,1.4828887498225651,1.4708811604435974,1.4435521040303505,1.4463275241789413,1.4588106168927695,1.4453663209682548,1.4330267668901195,1.420566905722266,1.4102499720966735,1.3994071452688321,1.3877670205146995,1.372941420521554,1.3578692531955878,1.3501340665624477,1.3436354621245814,1.3356305998685454,1.3271338651426543,1.3224558540979794,1.316977412373802,1.3127943648744906,1.335542810966044,1.359359633035942,1.3865377722054202,1.4110600785422707,1.4014093940698802,1.395191479189536,1.3810847988877597,1.3753885077514787,1.3656628942600764,1.3571609461859817,1.3540285095560303,1.3441334741895987,1.3376808175291781,1.3278709276400622,1.3263189476243955,1.3197970063602957,1.3151130987037634,1.3157905855177703,1.307592579927234,1.2896928579152733,1.2864352204345544,1.2806869139970662,1.2742302598286404,1.270571788487111,1.2971353914661636,1.320774052379482,1.3923681608140204,1.472041661123728,1.4869580474778623,1.4844093916422147,1.4764682549506831,1.4709779013765931,1.4629050886347486,1.453045849935444,1.4386519654341878,1.4314622322834254,1.4270856168809252
91-2806525,,,,,,0,0.9838708077688313,0.9993876828095745,1.0031235832827492,1.002760412709254,1.002124936116893,1.004222661298709,1.0032771400072138,1.0029639822619583,1.0009929457954725,1.0037994648403483,1.0208103895393987,1.0406435975424069,1.0375103899183065,1.0794314193842454,1.1316640223056096,1.4590430884640018,1.7298030757357281,1.671412356913575,1.5691562633653136,1.5338791446238174,1.490463855795123,1.4660790017362726,1.5954389206803368,1.5512985150174865,1.544955296040895,1.5265568194344052,1.5056878746516966,1.488603666473396,1.5227899648329106,1.5016641237055925,1.488834098350682,1.4593704917564536,1.4619965437918436,1.474660378758038,1.4604018551956948,1.4471954183711198,1.4338896164686166,1.4230164095376017,1.4113142677499335,1.3990976502547494,1.3833817430947806,1.3673360026231383,1.3591760358229013,1.3523354242193348,1.34390265325194,1.3349606718757037,1.3301333102771995,1.324208200740473,1.31982172092544,1.3432383088271571,1.367669480461322,1.3956338648600506,1.4206628881367123,1.4105410193990735,1.4041173570545373,1.3892780566355991,1.3833239855358577,1.3731698571874267,1.36438274769409,1.3610405758982635,1.3508089525786342,1.3440167260863536,1.3336826331602023,1.3319381190195256,1.3252001594188763,1.32026221326884,1.320978647113683,1.3124311917207248,1.2941342081831992,1.2906539465087932,1.284830019536645,1.278177018620412,1.2742359374320762,1.3011481462830106,1.3251455542742183,1.398134937639559,1.479448283283271,1.4944937943567171,1.491662781499495,1.4836452026820197,1.4781039357949382,1.4697789136509734,1.4593739705447584,1.4447379548597965,1.4373371190509916,1.4330020636356933
92-2807112,,,,,,,0,1.0267040136349033,1.0015401271334563,1.0014412742482701,1.0009820570167893,1.00359940185131,1.00254921385534,1.002270501086217,1.0001241389626454,1.0033288678649555,1.0222315347368565,1.0441649557265598,1.040411743416997,1.0758106626744601,1.1325249745198427,1.4936098206576227,1.7996310998420482,1.7243329328650845,1.6051956732973576,1.5644074755579687,1.5153723118495268,1.487575680702579,1.6262074004322629,1.5769528283263792,1.5699124867335916,1.549617403685895,1.5266399165396034,1.515688416156536,1.5531077200103032,1.529683373000089,1.5152042255561022,1.4826926022761056,1.484754332534641,1.4981384974926253,1.4824628196108105,1.4678256242892924,1.4532701610886691,1.4414036512558208,1.4286079864985028,1.4153885336521577,1.3983791565449497,1.3809589370027342,1.3722889845551174,1.3649527141672761,1.3558991852623974,1.3463120620989795,1.3411430586621456,1.334820819304573,1.3301384430074088,1.3542610613575756,1.3796209293747161,1.4086702475263686,1.4343711125454262,1.4235747806513719,1.4167348758420457,1.4009727252631181,1.3945656762089194,1.3838868887962743,1.374587600221536,1.3710542826903451,1.3602429850998559,1.3531444541271327,1.342326702877781,1.3401209322669594,1.3331429219295068,1.3278616149655105,1.3284489099838068,1.319489194770483,1.3001651517302628,1.2967532603445986,1.2905641541298039,1.2836411828362098,1.2795165193545976,1.3071438817062402,1.3316482174743987,1.4065667716795376,1.4896886086050785,1.5051430612918817,1.5021816224852707,1.4939846380109334,1.4880714211213948,1.4793957455683997,1.468491793825797,1.453395179886572,1.4456418212932771,1.4410303319848283
93-2806514,,,,,,,,0,0.9954698293329605,0.9969675660063098,0.9976094344235947,1.0010424360768688,1.0000920191342955,1.0000780348505525,0.9980124722636677,1.0016404856624632,1.0219262091994068,1.0453289865512698,1.0412391089410582,1.0786843522058756,1.1388943488891836,1.5268107024756958,1.861744573887525,1.7707323260010295,1.6370420958076466,1.591508288274111,1.5377358083442993,1.5070001560333381,1.6525393048282564,1.5990968901362506,1.5914868571885137,1.5696531726931706,1.5449601686963823,1.533031730484437,1.5718970152945209,1.5467465122266522,1.5313005205341226,1.496565094785543,1.4986039578323453,1.5120986790288762,1.4955262113869672,1.480361397188712,1.4648672345878668,1.4523727525244778,1.4390160055703864,1.425038973868214,1.4072210863958203,1.3891200296684318,1.3800675543392336,1.3723179196958502,1.3628817671987759,1.352898179862913,1.3475198844979395,1.3410477970088333,1.3360914855047636,1.3607936839371753,1.3866712701525545,1.4163891748760964,1.4424027360661422,1.431288015354633,1.4241910347500255,1.4078599156078524,1.4013123971325827,1.3901738302439526,1.38056098020637,1.3767494604720898,1.3656681570044664,1.3583414935814604,1.3472652240177176,1.344893574939076,1.3375946738587865,1.3322140996795506,1.332659701406117,1.3234554899953483,1.3037142027445774,1.3000959720874985,1.2938679034363438,1.2867830365321948,1.2824429422477388,1.3103800045057714,1.3353283476660973,1.4112365255065282,1.4955839760156036,1.511245245457145,1.5083409040810793,1.499723779753018,1.493730509527221,1.484910452941051,1.473866627687127,1.458246754194068,1.4503189768743732,1.4456086692082704
94-2804814,,,,,,,,,0,0.9987770436945813,0.9991543687773717,1.0050475315765097,1.0028464401998893,1.0023072883077944,0.9988476552243971,1.003915929362811,1.0320140047158333,1.0640269947585241,1.056220734036888,1.0503250212650506,1.0497496039857177,1.1842334559165437,1.4615876672173331,1.4403705871908963,1.3659894820512888,1.3439939219477128,1.3138011825181597,1.3010768352625801,1.4345206997273798,1.4001472708948135,1.3952549429033805,1.4010415532127751,1.5149450529882456,1.6254583461841607,1.6719998419843258,1.636733140378341,1.6158546970616527,1.5698342122318478,1.5707043249318426,1.585317625920026,1.5636561883078064,1.5439266878650102,1.52416301711311,1.5084850616995895,1.4914783812656587,1.474039772285232,1.4521352324811156,1.429940892769531,1.4189284604546246,1.4097095418410572,1.3983028304434613,1.386174424568449,1.3796195260331516,1.372029482231607,1.3662459979136867,1.393104564884072,1.421262275268337,1.4541205704657412,1.4821507125965574,1.4687503891531872,1.4604841844545586,1.4413423695419674,1.4334871151053463,1.4207005102721701,1.4093710569289375,1.4051511582026248,1.392264626691366,1.3838174953088203,1.3711275305026964,1.3674842339818836,1.3593719558150548,1.353185894502246,1.353293602741569,1.3429030569300129,1.3209384865841038,1.3168693931288253,1.3097367193988323,1.30188501899171,1.2972375075719975,1.3267608438625953,1.3532860519381276,1.4338046523326213,1.5237886513526362,1.5403756148016134,1.537254690851192,1.5273561136561222,1.5208133040775058,1.5108738491726084,1.4985378719850733,1.481490317758492,1.472795695304631,1.4674970209345939
95-2807105,,,,,,,,,,0,0.9959290026495746,1.0057592075330435,1.0026354853685553,1.0019999631986467,0.9978588919313398,1.0040038872526464,1.0367605320769417,1.073724173312812,1.0634597559918957,1.0561200322243443,1.0552582505265116,1.2048324816034037,1.5211170327008883,1.4867239739656182,1.3974734953894683,1.3709495324233014,1.3360079924492776,1.3206226009776827,1.4640721285599876,1.4249775569335943,1.4194457123305753,1.4248613613555816,1.5474039745386896,1.6670307276335592,1.7167654592845938,1.6765315209323464,1.6529844517415127,1.6014318036621376,1.6016847948916286,1.6165241973802364,1.5927441007581262,1.571133520640731,1.5492091305628142,1.5318396271224313,1.5133326039314206,1.4945420764037713,1.4704625613346327,1.4464655064812622,1.434724418382035,1.424695178462717,1.4124371316031226,1.3994295364397282,1.392522945203809,1.384412802507196,1.3781303211482083,1.406120467746831,1.4351396455455316,1.4691822222619983,1.4979308921540337,1.4836420617964048,1.4748401787168155,1.4544127849728767,1.4462861246177758,1.432638191704827,1.4208495773955245,1.416390536139341,1.4028707134374974,1.3936985735742613,1.3803469716772028,1.3763581113904715,1.367733443913183,1.361367266272791,1.361232263190917,1.3503620196051733,1.3275456917680004,1.3232953632919704,1.315927854287739,1.3077073771648797,1.3027936815194603,1.3330146197178254,1.3600734265506529,1.442440619478818,1.5347629468235413,1.5515627473545044,1.5482257124945322,1.5380404869893338,1.5312240282400353,1.5210257419217297,1.508057074469835,1.490303706502954,1.4812831956549335,1.4759204653420235
