순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2800297,28-2803996,29-2803994,30-2803951,31-2803953,32-2803955,33-2803957,34-2803959,35-2803961,36-2803963,37-2803965,38-2803967,39-2803969,40-2803972,41-2803868,42-2803866,43-2803863,44-2803864,45-2800255,46-2803615,47-2803614,48-2803859,49-2806227,50-2803858,51-2803611,52-2806295,53-2806293,54-2804201,55-2806291,56-2807291,57-2804203,58-2804206,59-2804332,60-2804208,61-2804210,62-2804212,63-2804579,64-2803703
1-2800269,0,0.9989815947701196,1.0016723380552544,0.9953788190315304,0.9989439209921254,1.0021359445539517,0.9973750582398728,0.9984169514126175,1.0117511958386158,1.0024324659172101,1.0030738300188435,1.0035707432278937,1.0030562542253634,1.0027199278774859,1.0028616285987628,1.0028216672298205,1.002088584272744,1.0014949836687443,1.0027917898371288,1.0034501054568683,1.0017381724582426,1.0036050602410385,1.0025635654489031,1.0026124396493787,1.0023336354070331,1.0020672923567955,1.033053412600381,1.0455652413660734,1.0441534455906305,1.054822898519326,1.0525348888464177,1.091100828651415,1.1734963044327935,1.2360537513171002,1.3669905863507126,1.407947418913627,1.3943087301678145,1.377275320027054,1.3674268353934516,1.4323933648642966,1.4822422816331633,1.5515540547051831,1.638770050290742,1.680281787703525,1.7080264833071752,1.8311159606813965,2.079989534455008,2.187151529418445,2.2565868272388565,2.4861750441284345,2.6149428926907117,3.0812369128520585,2.996236632182346,2.939846081988492,2.8595580889616707,2.8224092052765326,2.7796635302626926,2.743815555652416,2.654171379934262,2.5715120985348365,2.504721758673406,2.4618049099790595,2.399540718986948,2.380219933184855
2-2805488,,0,1.0048549440877443,0.9937551860976039,0.9989318868348576,1.0029910926734393,0.9969835647870999,0.9982974142610239,1.0140444901412675,1.0029303383962764,1.003625675170638,1.004140078576277,1.0035237639940116,1.003080728208138,1.0031719844352038,1.0031195281685878,1.002307329351493,1.0016532057492704,1.0030170725836167,1.0036867055458312,1.0018762429840984,1.0038146595112833,1.0028005225421768,1.0028419243324127,1.0023689113701095,1.0020077193433803,1.0340133911198999,1.0470195324503193,1.045527866968417,1.0564585346411342,1.054190336407289,1.093747595688851,1.1787803603173301,1.2434708758679287,1.3792457505232014,1.4218509828481887,1.407175253612799,1.389041535250983,1.3786923649775438,1.4458372675559672,1.4975471223819308,1.5693212466252149,1.6600938788051154,1.703366062977478,1.7323123405043044,1.860992606814615,2.122410603598338,2.2354700978058633,2.308900573332504,2.553182611289657,2.6899577536307966,3.1905993113724223,3.0966147979760237,3.034487832278917,2.946383314609135,2.9057171213952318,2.8589972936284647,2.8199280586474544,2.7230236494078195,2.6330364375211075,2.5610127129722358,2.5153161544530533,2.4485133997343334,2.427818002422108
3-2807373,,,0,0.9869228044341957,0.9967404611782976,1.0024368597476068,0.9949410360957184,0.9968672241785842,1.0156899311576617,1.0026629671214677,1.0034674904618601,1.0040563116950432,1.0033807628050633,1.0029229836203561,1.0030499176955996,1.0029976533471747,1.0021460890294855,1.0014732213864805,1.002920365923008,1.0036319582181368,1.0017445269132415,1.0037731988203693,1.0027292267011532,1.0028690917260308,1.0022893260151964,1.001920609181708,1.0348487408941511,1.0483139416402327,1.046831479746175,1.0579118829143543,1.0554535646821497,1.0960267465696132,1.1834261300057647,1.250134964308317,1.3901918468313321,1.43407157511345,1.4187726248055843,1.3996181630697697,1.3886127636868002,1.4574919820880063,1.5108675948616632,1.5853149979961279,1.6793348106115518,1.7242182655055898,1.7542660764934506,1.888087523782715,2.161128073213734,2.279689285148447,2.3568598157214637,2.6139148276241433,2.7593517104665177,3.29292115721293,3.1901381359716052,3.1224232082036405,3.0267434382288845,2.9826818995072952,2.9321368337792646,2.8899765406034374,2.7850794379254533,2.6891888039730154,2.612222492985302,2.5630602567955876,2.4920634102332766,2.4701012357420074
4-2800272,,,,0,1.011532534672168,1.0169355100451138,1.0007846095049113,1.002321584162187,1.027490770045012,1.0072508182856668,1.0078404032967971,1.0080848447335822,1.0068602354147034,1.0056242293618487,1.005204041232465,1.0050678406798985,1.003890747817213,1.0029355913355291,1.004415722992875,1.0050089069653199,1.002891697618422,1.0049397590071774,1.0035694994266955,1.0036812536138418,1.0032279178067576,1.0027961204555325,1.0372761169199811,1.0512259052430635,1.049598750611604,1.0611214218085383,1.0584279836557113,1.1008518830075136,1.1924340687795603,1.2624551517814975,1.4104236248369355,1.4567805566637326,1.4397726131827577,1.4187358361757176,1.406820262969957,1.4790188406284082,1.5353773102125523,1.614459447795128,1.7143196081525949,1.7621100111148453,1.7941480272500627,1.93729642636698,2.2311576591392446,2.3598334998858372,2.443911483250949,2.725759656942331,2.8864329240773374,3.482732355984334,3.3636202114350358,3.284977543887428,3.1745868813738265,3.1232034601548153,3.06532975021366,3.0172737899658784,2.8982395298127717,2.790224547909638,2.7040210424791264,2.6492316119700967,2.5704167334079866,2.54610144897361
5-2803582,,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0037044131215596,1.0048177876607989,1.0055015545247317,1.00438199354062,1.0035533518787725,1.0035667849916887,1.0034821023748846,1.0023980072200611,1.0015719950566144,1.0032505487041037,1.00402352269124,1.0018560291708656,1.0041161436885901,1.0029157160344622,1.0029575535211352,1.002517588179581,1.0021047251248365,1.0377744957433588,1.0521876647337902,1.0504826617818694,1.0623115749468195,1.0594900880625806,1.1031622926621802,1.1976610769270368,1.2700741789250012,1.4235688495116954,1.4716890406977694,1.4535476632918443,1.4311776228983761,1.4185479814379576,1.4931679977095078,1.5516424026417157,1.6335623411144409,1.737556148387261,1.787412728548574,1.821206028334451,1.9706946848452631,2.280441080685836,2.4171490177503103,2.5058274116164103,2.8063075249051646,2.978554274701316,3.6244429948009316,3.489631302541943,3.4024769913610378,3.281583971284162,3.2250690407037297,3.161534424964129,3.109702360677403,2.979119682247113,2.8619389843537855,2.7688099529085295,2.7098281352041393,2.6252219008499216,2.5991711608618795
6-2803603,,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,0.99991932863826,1.001689622640305,1.0029209810925535,1.0020130328605947,1.001696729517234,1.002162878453043,1.0021313603006807,1.0011591337701555,1.0004660204646487,1.0023012518745318,1.0032257806497389,1.0010368473280387,1.00345890232309,1.002323490138544,1.0022875620800993,1.0018659547476891,1.0014760076627764,1.0380258386796963,1.0527413247714408,1.0509866997999024,1.0630169331054913,1.060113692282749,1.1045955558685778,1.200890982436086,1.2748550040484177,1.432081223510236,1.4812220222582984,1.4623307451083813,1.4390820926186194,1.4261007576198332,1.5025511339574777,1.5624283122068796,1.6464141256657072,1.7531818267868031,1.8044281261324941,1.838838739649536,1.9931757558527667,2.313415769247274,2.4546793061509193,2.5474135125007074,2.860699790948181,3.0401393022890666,3.7197212429779185,3.5762282898150164,3.4829935339257583,3.353163967851802,3.2939511180414227,3.226448015014248,3.170694038016171,3.033359580304604,2.909844284453499,2.811954330224317,2.7501022008338376,2.6610357774138995,2.63431393855688
7-2803602,,,,,,,0,1.0069899670698306,1.0550035537868472,1.0081583690323275,1.0089484655413707,1.0091282824025163,1.0072589043626705,1.0055487151667166,1.0050541024691828,1.0048953676884567,1.0035222257635834,1.0024677273848968,1.0042018792357879,1.0048987850987159,1.002538917418837,1.004841865367466,1.0034778773877648,1.0033872488568383,1.0030133761563675,1.002461186240126,1.0396126478314511,1.0543726841913372,1.0527331081030264,1.0646665458538878,1.0618230365044115,1.1068433659108556,1.2047512143448769,1.279970003232545,1.4398451494066271,1.4900319381091998,1.4704928996316988,1.446484141192972,1.4329799264465974,1.510792256394603,1.5714995378135985,1.657384238259831,1.7663363642162373,1.8186780106032099,1.8534841888057927,2.0113308568110515,2.3397631149314346,2.4850203353788074,2.580511807955483,2.9038841990808786,3.0913331494533156,3.7975206371951455,3.6460043903947543,3.547796843558592,3.410438818238504,3.348373172255262,3.277694601255688,3.2202363798023357,3.076835528830034,2.948219570272935,2.8459010773293247,2.7817832646111245,2.6906360860977814,2.662461322469176
8-2800274,,,,,,,,0,1.089891755286435,1.008485077966335,1.0093979237165809,1.0095244271909425,1.0073005708618477,1.0053898770776521,1.0048996849305671,1.0047361295102555,1.0032956734013545,1.0022167538167106,1.0040601830689564,1.0048073055696825,1.002357976043977,1.0047650825181713,1.003371629156405,1.0032835067289123,1.0027978768597712,1.0023429420451517,1.0403046564475786,1.0557166074542024,1.0536190337351514,1.0660398830425863,1.062902260229483,1.10897036239402,1.209060807970389,1.2861590624089005,1.4506966717202636,1.50230001237874,1.4817884956553842,1.4566451137373881,1.44253789803514,1.5221400983003068,1.5848076119363625,1.6729136211052982,1.785229251519734,1.8392618163988381,1.8752185251008906,2.039011454074585,2.3805541101823935,2.5322430495104,2.6315341458020365,2.9719533669467237,3.1680060292789336,3.919469108970281,3.7548168846260364,3.6485111313279246,3.501439465577242,3.4346630373963487,3.358756645079059,3.296324868096299,3.1432366703805483,3.0065253868909445,2.898776693289631,2.8304109612143424,2.7337922642784123,2.704158853784443
9-2803847,,,,,,,,,0,0.9492689691034362,0.9660111027064449,0.9773500555015032,0.9812037820342053,0.9878704813095187,0.9927360558675136,0.9931884613557209,0.9933695444143726,0.9938185279770888,0.9965584417084358,0.9984631896347061,0.9963457667964303,0.99963827232039,0.9990066596884055,0.999364084214391,0.9989323309064096,0.9986672128641795,1.0380984869628678,1.0539289313151943,1.052010974846924,1.0648173291410932,1.0616411540877206,1.1090783552314458,1.2124064979756906,1.29212539929283,1.4626991001725047,1.51629562447476,1.4945017528936102,1.467875825281209,1.452986510645128,1.5350055277788877,1.60030815991318,1.6919174481730035,1.8089835473169418,1.8650381206557622,1.9033972962150454,2.07426263639632,2.4350378306089966,2.5960420915990468,2.7024771826419713,3.065443436031878,3.2786723615609414,4.095389113500765,3.9118292501998173,3.7930686270354457,3.6297266002359545,3.554821293698729,3.472141587880558,3.40258409586809,3.2359796005922408,3.0872985586977664,2.9706965720837926,2.8970198136462573,2.793805372934123,2.762029266321205
10-2803599,,,,,,,,,,0,1.0135769334942013,1.0115628788294777,1.0058287956673644,0.9957541602799309,0.9987688990403463,0.9989373541554479,0.998112555232921,0.9977411822447629,1.0004475517276141,1.0019265168583165,0.999304215704089,1.0024812528871223,1.001313925683644,1.00157316124983,1.0011201033285062,1.0007140832859065,1.0422554008112026,1.0590068803715176,1.0568270070603194,1.0700173406439015,1.0664376006782799,1.1160688050127654,1.2251984919319479,1.3097562339054278,1.4917749214064278,1.5490258066805913,1.524527505453515,1.4947751152036752,1.47823885633856,1.4771651198711728,1.5403111757781105,1.6291938382655522,1.7427515503843556,1.7974792408185447,1.8343074846061331,2.0002895555972575,2.348948571256964,2.5045812245316488,2.6073807434291747,2.9583909553330154,3.1629793893330276,3.9499853661860396,3.775780444886594,3.6638287760483075,3.5096178963849383,3.4398512590089854,3.3607374721733736,3.295821347268496,3.137221709978605,2.9962801049884824,2.8856582689298778,2.8162837558226674,2.7176006161646624,2.687401650465426
