순번_정류장ID,1-2801454,2-2801467,3-2801481,4-2801497,5-2801507,6-2801536,7-2801561,8-2801608,9-2801648,10-2801184,11-2801665
1-2801454,0,1.0170215315099442,0.9967634362405124,1.0108902698544813,1.0093162137004636,1.0053422731696768,1.0060640741519598,1.002422303473492,1.0045403001554845,1.0029128986387168,1.0012905779889154
2-2801467,,0,0.9782034294316426,1.0084637555502118,1.0075637105391724,1.0035503595658162,1.0045961488193778,1.0009416865997562,1.0035419021260312,1.0020387451722301,1.0004382003090122
3-2801481,,,0,1.0314758281857426,1.0172619587028287,1.008648887346823,1.0091163125462428,1.0037720381205197,1.0059658549683705,1.0037675846682903,1.0018358752196275
4-2801497,,,,0,1.0063475355818956,1.0004395802330417,1.002615278495097,0.9983499216387822,1.0022950774663717,1.0008461656938274,0.9991650947273636
5-2801507,,,,,0,0.9952268554943614,1.00034032202274,0.9956125992490826,1.0013589868948045,0.9999701208647458,0.9982091332984332
6-2801536,,,,,,0,1.0117859725234997,0.9958548294181654,1.0035326895352297,1.0010148076534817,0.9987390093445214
7-2801561,,,,,,,0,0.9860324059572285,1.000279876854184,0.9988528764812084,0.9968380824339296
8-2801608,,,,,,,,0,1.0132497756060257,1.0037613658664224,0.9998596122310603
9-2801648,,,,,,,,,0,0.9968741694440066,0.993921676001903
10-2801184,,,,,,,,,,0,0.9892787848550365
11-2801665,,,,,,,,,,,0
