순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2800297,28-2803996,29-2803994,30-2803992,31-2807384,32-2806003,33-2803990,34-2803988,35-2803986,36-2803984,37-2803981,38-2806017,39-2805721,40-2805719,41-2803976,42-2803974,43-2803875,44-2803874,45-2803876,46-2803878,47-2803880,48-2803882,49-2803884,50-2803886,51-2803888,52-2806219,53-2803890,54-2803892,55-2803894,56-2806316,57-2803896,58-2807380,59-2807379,60-2803898,61-2803900,62-2806222,63-2804630,64-2803902,65-2803904,66-2807377,67-2803906,68-2803909,69-2803910,70-2803912,71-2804628,72-2806314,73-2803914,74-2804626,75-2804099,76-2804624,77-2804622,78-2804096,79-2804620,80-2804095,81-2804618,82-2804616,83-2804092,84-2804090,85-2806224,86-2804088,87-2804614,88-2804087,89-2804612,90-2804067,91-2804571,92-2804538,93-2804536,94-2804065,95-2800297,96-2800298,97-2804064,98-2804535,99-2804537,100-2804572,101-2804066,102-2804611,103-2804086,104-2804613,105-2804089,106-2806223,107-2804091,108-2804093,109-2804615,110-2804617,111-2804094,112-2804619,113-2804097,114-2804621,115-2804623,116-2804098,117-2804625,118-2803915,119-2806315,120-2804627,121-2803913,122-2803911,123-2803908,124-2803907,125-2807376,126-2803905,127-2803903,128-2804629,129-2806221,130-2803901,131-2803899,132-2807378,133-2807381,134-2803897,135-2806317,136-2803895,137-2803893,138-2803891,139-2806220,140-2803889,141-2803887,142-2803885,143-2803883,144-2803881,145-2803879,146-2803877,147-2803875,148-2803973,149-2803975,150-2805718,151-2803979,152-2806018,153-2804334,154-2803983,155-2803985,156-2803987,157-2803989,158-2806004,159-2807385,160-2803991,161-2803993,162-2803995,163-2800298,164-2803997,165-2804792,166-2800289,167-2803934,168-2800286,169-2803932,170-2803596,171-2800283,172-2800281,173-2800280,174-2800278,175-2806663,176-2804031,177-2800260,178-2800275,179-2804713,180-2803598,181-2803600,182-2800273,183-2803601,184-2804331,185-2803581,186-2800271,187-2805489,188-2807150
1-2800269,0,0.9989815947701196,1.0016723380552544,0.9953788190315304,0.9989439209921254,1.0021359445539517,0.9973750582398728,0.9984169514126175,1.0117511958386158,1.0024324659172101,1.0030738300188435,1.0035707432278937,1.0030562542253634,1.0027199278774859,1.0028616285987628,1.0028216672298205,1.002088584272744,1.0014949836687443,1.0027917898371288,1.0034501054568683,1.0017381724582426,1.0036050602410385,1.0025635654489031,1.0026124396493787,1.0023336354070331,1.0020672923567955,1.033053412600381,1.0455652413660734,1.0441534455906305,1.0567114979337218,1.0554039511578153,1.0539780972333261,1.0519553347527288,1.0460006954697447,1.0522077467577262,1.0930446880173845,1.1284428763844623,1.1234424175982887,1.1532979591946322,1.1780063633550766,1.2186845895586755,1.3033235708461104,1.3645111489363686,1.3669347176604725,1.348348027797591,1.3411919311387082,1.4030713987938594,1.4247390507661075,1.415226789661827,1.4004136153713782,1.3921311197922657,1.3764100366709184,1.3526566314338533,1.3456280530411733,1.3406915003992759,1.3346587986706158,1.3311387777338133,1.3284877449730546,1.3119211907610213,1.3091893971385062,1.3062954501844137,1.3024884168471031,1.2971691469884046,1.2889795681160316,1.2842071247404832,1.2798475364298412,1.2862410429166176,1.3230189116744975,1.3631580641646321,1.4059036355703836,1.4385771853544536,1.4794013898660383,1.503207669517112,1.5345004937986586,1.5893991742362539,1.6244199654042146,1.7038723273036462,1.7685782098810068,1.851446053375311,1.894385761437801,1.9445939661346163,2.065981440472393,2.114980974360369,2.202051653161769,2.254188001254745,2.3595088034335943,2.4452310700151316,2.5404623505189616,2.6731771268123325,2.858775640159442,3.0785034626805854,3.186920736181764,3.3423309425328966,3.409044684674881,3.589942967313945,3.6033879971133285,3.512014029501587,3.463044634390945,3.3796786164987416,3.3211615458056585,3.1942562693637413,3.084150350850771,3.01028441924006,2.956832408951835,2.9040322716430014,2.8455211875642257,2.821018217807429,2.7690565725254834,2.742512941386077,2.6774407039820174,2.643185235920371,2.623437495189315,2.576534165277865,2.538396547356523,2.4912940465503133,2.4721721302868374,2.4422102822032943,2.42507583581546,2.409713219920197,2.387476761959448,2.3696841187475677,2.345417210218584,2.320276582890481,2.2997986283523395,2.320656572335563,2.3726328516692785,2.4268066299002715,2.5352068594651027,2.6020895137419484,2.644007901889237,2.683429516459019,2.717367829324515,2.9047812927443433,2.936843644769135,2.982253669069027,3.046723187419987,3.1037177890208967,3.1917930097201266,3.5052488591778705,3.6748041274439402,3.768982408605284,3.942213496786191,4.064381205582823,4.083252294137521,4.066942185799751,4.158995221208151,4.436819009498843,4.339801926093546,4.240025995346618,4.164560949655953,4.132468319069296,4.241792343739731,4.466173103558938,4.392169085075721,4.33437907319329,4.579316573214777,5.319715528767382,5.675157605111591,5.779141262816023,5.869624800485117,6.0037940860247865,6.1710416854474825,6.173327136662392,6.676400882288214,6.99994372345401,7.285160699720292,7.628056917770383,8.79037154968966,9.781179787500319,10.141822886179174,11.60950906686118,12.441569800011896,13.900058166197317,15.37737246290195,15.77336613922828,19.148196119276054,22.281064601348636,23.71861797477647,25.989886657474436,27.472132162132812,32.38085999461392,38.85468117151147,42.73021607989134,46.502372278978186,53.55275659511454,74.25829394245525,125.03467811067388,249.8047615515441
2-2805488,,0,1.0048549440877443,0.9937551860976039,0.9989318868348576,1.0029910926734393,0.9969835647870999,0.9982974142610239,1.0140444901412675,1.0029303383962764,1.003625675170638,1.004140078576277,1.0035237639940116,1.003080728208138,1.0031719844352038,1.0031195281685878,1.002307329351493,1.0016532057492704,1.0030170725836167,1.0036867055458312,1.0018762429840984,1.0038146595112833,1.0028005225421768,1.0028419243324127,1.0023689113701095,1.0020077193433803,1.0340133911198999,1.0470195324503193,1.045527866968417,1.0583792811991268,1.0571602449558266,1.0557368820221156,1.0534187918907887,1.0471380703184319,1.0536396804990993,1.0954699936489367,1.131737638416521,1.1264820799015438,1.156805224916604,1.1822877624502637,1.2239087152425947,1.3109123677034435,1.3740844887204169,1.3765637925075995,1.3568584146670952,1.3495912324189199,1.4129901930873774,1.4351886183167053,1.4253598652147847,1.4098302672574154,1.400998683451655,1.3847174492989296,1.3597978164010425,1.3524767087287026,1.3474745532229255,1.341077921524265,1.337544858085914,1.3346585916084102,1.3174925757890417,1.3146605377895622,1.3116618281409924,1.3077219788505783,1.3023208695887227,1.2937372947374657,1.2888052328824193,1.2844043278916941,1.290983151712228,1.3283415111540906,1.3692997382065895,1.4128299595334002,1.446104611561809,1.4879579690323916,1.5121437228548686,1.543979938578891,1.6000896982378745,1.6359785730588212,1.7173845716627598,1.7836085728892066,1.8686055870487788,1.9126893653553283,1.964465203251563,2.089014512875429,2.139695441134784,2.2293344732665457,2.2831295145130475,2.3919254905422624,2.480593739451306,2.579686757555498,2.7170719646330896,2.9100667129907487,3.1392218343977127,3.2527817815221005,3.415320762089704,3.485027664930481,3.6747295546420675,3.688938293707034,3.592012899902113,3.5396540747076086,3.451101412870641,3.3890502036205326,3.2550498308956306,3.138527830494437,3.060814656132484,3.0046803335901813,2.949309097893245,2.888344007736778,2.8622295237309037,2.808218849186981,2.7806373852390314,2.712471271386191,2.676522217697109,2.6562246479244864,2.607434462064052,2.5678047107888147,2.518803389371247,2.4989677758368063,2.46823623451076,2.450066101343322,2.4345692580664,2.4112492875210254,2.392845673278874,2.3678510870965344,2.3417806744300287,2.3207230419885905,2.3419248378016344,2.395279772022684,2.4505360559710803,2.561567181802579,2.63013251381859,2.673124961925613,2.713576165349456,2.748411170760359,2.940988702652468,2.973965751805101,3.020693293954341,3.0870700540266403,3.145784487645773,3.23658435525156,3.560374802306117,3.735938995526961,3.8335708266384705,4.0133956675291795,4.140405023557413,4.160167119487638,4.141894901895476,4.237885911716655,4.5273863041630245,4.425200770639287,4.320088058888211,4.241120556314501,4.20770980612206,4.321094156777662,4.554406797396157,4.4762218994259655,4.415994801950013,4.670763664261437,5.444764539645479,5.818355809861115,5.92787236424084,6.023258640601279,6.165002534015225,6.340747626596599,6.3433730233029015,6.8756396046900345,7.2197293268858465,7.524615703573306,7.890683921772539,9.143497639572637,10.221527141224774,10.616372505510295,12.237055899285869,13.165990415513951,14.81147475519484,16.501761201055935,16.95888909812999,20.926348237692398,24.727370299994867,26.51137498017414,29.382275582791248,31.291760711666708,37.82325508290022,46.96774046799628,52.75348937391479,58.62399138980447,70.29301775759296,110.87624726703969,171.26987813231443,545.0667994333223
3-2807373,,,0,0.9869228044341957,0.9967404611782976,1.0024368597476068,0.9949410360957184,0.9968672241785842,1.0156899311576617,1.0026629671214677,1.0034674904618601,1.0040563116950432,1.0033807628050633,1.0029229836203561,1.0030499176955996,1.0029976533471747,1.0021460890294855,1.0014732213864805,1.002920365923008,1.0036319582181368,1.0017445269132415,1.0037731988203693,1.0027292267011532,1.0028690917260308,1.0022893260151964,1.001920609181708,1.0348487408941511,1.0483139416402327,1.046831479746175,1.0598509628955524,1.0584933194670212,1.0571664659242754,1.0547142436737922,1.0481366883169048,1.0545489075388148,1.0973665416382337,1.1345277557146747,1.1290464656279116,1.1599537922256506,1.1858686148658641,1.2286665781145814,1.31771642481841,1.3823439512287563,1.3848723876992435,1.3644749626110615,1.3566532210345728,1.421788396271388,1.4444585155478777,1.434026425586977,1.4178625221491448,1.408834738347696,1.3917714749299361,1.3660788028834672,1.3584951865649026,1.353192401695563,1.346711745832915,1.342933910119783,1.3400702201032242,1.322369349484598,1.3194478930796008,1.3163558385130836,1.312297758696576,1.3066209434793552,1.297889895596756,1.2928160922517364,1.2881910702654757,1.2948460387198075,1.3328971348877385,1.3745239553423743,1.4188451550232495,1.452638224455343,1.4952352440616639,1.5198602436989987,1.5522861707198943,1.6096087516423818,1.6460596207954976,1.7291226416076406,1.7967563065361198,1.8835464723678943,1.9288335378998653,1.9817363125158227,2.109472073735823,2.161581228882302,2.2536267534651895,2.308784854138781,2.420844388575479,2.5117234022186246,2.614035701933691,2.7558861558494367,2.9551523741339727,3.193471832761014,3.3112763172672697,3.480248917026464,3.5531827888203593,3.751217824087489,3.766174708016467,3.6636096271239174,3.6080817630035327,3.5147633693156006,3.4499664292522425,3.309251845111719,3.186602169648247,3.10559512530215,3.0470283077252467,2.989677120394496,2.9257066979576254,2.89887528245398,2.8427472589286014,2.8136591383390472,2.743262919596164,2.70642693942519,2.6850058862029607,2.634276603217439,2.5934448272182644,2.5430820672965893,2.522606013252787,2.4908002393742037,2.4723897598065285,2.4560997340992157,2.4320792905409028,2.4131317547104323,2.3873112640894214,2.3605928764558883,2.338942945710721,2.360524506306356,2.4147417558077082,2.471309444967491,2.5846677730746026,2.6547235065920876,2.6986678506036577,2.7400324718690556,2.7756630789367462,2.972830555703374,3.0066219167282116,3.054522953391422,3.1225996998152117,3.1828486300325207,3.2760819043841747,3.609129137856569,3.7900936998988697,3.8908353183712183,4.076608840174593,4.207995384770778,4.227612104416865,4.208487496654742,4.307295147378228,4.607289710108121,4.500430304513338,4.390990722038724,4.308382998497478,4.27332913185804,4.390622778501652,4.6324554606428,4.5501609923449875,4.487560575748577,4.751968786092544,5.556464833621323,5.94667206710582,6.061269191267679,6.160686107723932,6.308962588030218,6.493890832483881,6.496912333861259,7.056280410505979,7.4195633022586,7.74230076588173,8.1307921234377,9.467781100522163,10.629534326779856,11.057504998982333,12.828265275668063,13.853722769942674,15.688506999448066,17.59886287700226,18.119994095362756,22.72552430582359,27.2809329683327,29.46956945075164,33.06125908468505,35.49959729302525,44.149182742570794,57.138860814570684,65.93952944745187,75.37320412902716,95.83013169085399,191.28845050067093,103.45245900547035,177.55662929667844
4-2800272,,,,0,1.011532534672168,1.0169355100451138,1.0007846095049113,1.002321584162187,1.027490770045012,1.0072508182856668,1.0078404032967971,1.0080848447335822,1.0068602354147034,1.0056242293618487,1.005204041232465,1.0050678406798985,1.003890747817213,1.0029355913355291,1.004415722992875,1.0050089069653199,1.002891697618422,1.0049397590071774,1.0035694994266955,1.0036812536138418,1.0032279178067576,1.0027961204555325,1.0372761169199811,1.0512259052430635,1.049598750611604,1.0633474304619297,1.0618648531218857,1.0602491121275317,1.0575223391277493,1.0504136574454144,1.057095004060008,1.1015360383392696,1.1400695079756609,1.1341570883963448,1.1660521848842746,1.192958223162089,1.237521286035948,1.330370890409265,1.3976815691752094,1.4002937806158038,1.3783176388212532,1.3699178838736392,1.4375706331293288,1.4610508156154292,1.4498278048285347,1.4325077398832708,1.423007379248246,1.4046378840828642,1.377443084792745,1.3693864480504212,1.363772741785783,1.3567799333384747,1.3527852790780828,1.3498703390892979,1.3310910988372713,1.328010658585087,1.3247527282755829,1.320484879022084,1.314509062795293,1.3053255180820453,1.3001066539215456,1.295154650748683,1.302039713289353,1.3410524690257455,1.383708313110788,1.4292794842408205,1.4641172705165966,1.5079867490755485,1.533296426177079,1.566870191981911,1.6258891234903543,1.6636966779039366,1.7495323787040113,1.8195948820651324,1.9098282715166917,1.9564837078943573,2.0115948564092965,2.1446570604236848,2.1990394658801016,2.2952379976933894,2.353107078844699,2.470464973280096,2.5662575365383664,2.6738088818116332,2.8235237135681817,3.0349826073114317,3.287855945812437,3.4141351920944505,3.595114682869126,3.6734017843709545,3.8864833683221853,3.9019201009877764,3.7890997371131565,3.7280112261208007,3.626633014316764,3.5554798023220915,3.402796121504358,3.2707563866837397,3.183313744189821,3.1204247477254587,3.058968589040294,2.9907315915689674,2.9617353937619204,2.902057584256413,2.8714007346716874,2.796266486595032,2.7570462875714994,2.734487026392487,2.6810579221736948,2.6378953553355164,2.5845093246218562,2.5629230251214525,2.529439604376861,2.5099609506193046,2.49283604586467,2.467709310155157,2.4480259822044963,2.4208325196712814,2.3928266376147067,2.370150450768878,2.392476628417843,2.4482991481834615,2.5067892868565527,2.6243624311337688,2.6967518827445627,2.7425750008472045,2.785516838593851,2.822522104268142,3.0273466530977893,3.06254415500058,3.112473122078872,3.183805689745858,3.2467226910858713,3.3441923498404953,3.693000886372923,3.8834009649572123,3.9895869384818488,4.186314633426606,4.3248899932502765,4.34510053291371,4.32355580243356,4.428214465058774,4.7471778459804845,4.632522099029932,4.514839964940019,4.425617656733455,4.388592868841674,4.5119352153387196,4.767811348312698,4.679729757277701,4.611271252273961,4.89199657797282,5.751613541307373,6.170704065364246,6.294930644910062,6.403472563445977,6.563607570349274,6.763793225573629,6.766033565001125,7.374529208018737,7.772883785608823,8.127608189487232,8.55743288878618,10.054753400161784,11.376745204308607,11.868890538529678,13.93550053727632,15.155428786451576,17.38026001128572,19.75773168656672,20.417328620723367,26.463477547647027,32.85361340498891,36.08207559606042,41.61915488624821,45.560077849964166,60.8618463207989,88.65628828540821,111.81971457833758,141.93592054396055,237.3633023243761,670.9672539675597,154.72705517853345,95.61403474484476
5-2803582,,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0037044131215596,1.0048177876607989,1.0055015545247317,1.00438199354062,1.0035533518787725,1.0035667849916887,1.0034821023748846,1.0023980072200611,1.0015719950566144,1.0032505487041037,1.00402352269124,1.0018560291708656,1.0041161436885901,1.0029157160344622,1.0029575535211352,1.002517588179581,1.0021047251248365,1.0377744957433588,1.0521876647337902,1.0504826617818694,1.0646502707895011,1.0630975800636302,1.0614086185169453,1.0585374987289848,1.0511194087412197,1.0579324570545272,1.1034118199108156,1.1430084184854163,1.1367549554245262,1.169419922663289,1.1970068571278811,1.2425746956403358,1.3379682216634403,1.407435316931188,1.4101063319130445,1.3872274237414015,1.3782535631875132,1.4477121874939884,1.4717573107046749,1.4599886822982138,1.4420481645951462,1.4317739140121413,1.4127898401181218,1.3843407996551427,1.375972513083641,1.3701541530755423,1.3630436194487632,1.3589038784332717,1.3558721153556028,1.3365796678775959,1.333271035323336,1.3299032420869015,1.32549653274742,1.3193233929022332,1.3098422020491067,1.3043523789739575,1.2993616734601756,1.3062830540753898,1.3459764512378292,1.3894586389155685,1.435880123709544,1.4713242625281566,1.5160567853018356,1.5419447186941115,1.5762110894648302,1.6364083310135635,1.6750418947387946,1.7628235865735935,1.8346422131980413,1.9271222381282151,1.9749839856398246,2.031668509538389,2.1684482099886275,2.224169204243111,2.323261227139832,2.3829329416361187,2.5042461108769634,2.6031241004023857,2.714463799160301,2.869727277469505,3.0895497307354267,3.3535132457133137,3.4852763908621625,3.6751903921399216,3.7570363225605923,3.981358933902428,3.997356147126606,3.8766749515743193,3.812358696045818,3.7044029844618764,3.628721367815422,3.4673997537810273,3.3285602331064763,3.2364524252103966,3.170696493766309,3.106325074803931,3.034950398106318,3.0046543782468667,2.9421934883409846,2.9103899609426964,2.831987699053859,2.7911980531344516,2.767752329428638,2.7124068274520714,2.6674988690267263,2.612310364860915,2.589833946021928,2.55530934044478,2.535165514733608,2.5174625389398444,2.4916087369245474,2.4710665041073465,2.443001369673905,2.4141154643884573,2.390835730656219,2.4134103074391335,2.470656382643458,2.53046557666934,2.6505556116585662,2.724932273499155,2.7716401488384865,2.8156590856397425,2.8538665769573823,3.0641609566830885,3.100333990069962,3.151671097096979,3.224732657108379,3.2898251045113684,3.38988135070848,3.750308936248335,3.94734765499084,4.057374488644016,4.260974003409803,4.4055288195868245,4.426149379051722,4.402860037218401,4.511966126394442,4.843947251961664,4.722672869971492,4.599162632174788,4.506198907403759,4.466864486684786,4.595008503155168,4.861219708537862,4.768302067356474,4.697041760309412,4.98921673551949,5.887795691319708,6.328959856275001,6.459362815785204,6.573317158982064,6.742054778936233,6.954350557594818,6.956389439624635,7.601089904381116,8.02551754374421,8.404707146114673,8.866643453248054,10.484884325860774,11.931975331395758,12.474914620233424,14.780409329865877,16.16131746839406,18.717601796154135,21.506077466385488,22.29028041148566,29.702343975097403,38.00076441813158,42.38947429004682,50.24460540366852,56.10567294280854,81.26878105079027,123.5667944502803,173.8102354274685,259.45849402126777,981.7483693897317,190.72966041409256,94.02412642536498,68.34541153399742
6-2803603,,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,0.99991932863826,1.001689622640305,1.0029209810925535,1.0020130328605947,1.001696729517234,1.002162878453043,1.0021313603006807,1.0011591337701555,1.0004660204646487,1.0023012518745318,1.0032257806497389,1.0010368473280387,1.00345890232309,1.002323490138544,1.0022875620800993,1.0018659547476891,1.0014760076627764,1.0380258386796963,1.0527413247714408,1.0509866997999024,1.0655190153808292,1.0637409231621553,1.0620941694862713,1.0592133680018079,1.0515184553185715,1.058349528750898,1.1046824384445972,1.1448458676125086,1.1384900609555813,1.1716790224962113,1.1997093307415738,1.246033229384549,1.343101114859058,1.4138673368450863,1.416576290603661,1.392611836802151,1.3835606231794464,1.4543748092696511,1.4785926405408651,1.466654724143662,1.4478354204307986,1.4376236815371815,1.4181244085739089,1.388793488780291,1.3803646471014148,1.3744099671745604,1.367133181840243,1.3628980762185867,1.3596561512168093,1.3399569955186836,1.3367020197589636,1.3332622062784385,1.3286452445491208,1.3224621507054592,1.312786105545766,1.3071885398933139,1.3021031814731299,1.3090806308400196,1.3491007042984375,1.3931920009777432,1.4400362662874024,1.4760362627117023,1.5211910818023264,1.547405950367516,1.5820418458977656,1.6431116432449688,1.6823552433302307,1.771306737415978,1.844383860733738,1.938018999347932,1.986757268930939,2.0442760457227807,2.183431303820519,2.2402943894835046,2.3412632673177156,2.4023955543565605,2.525736553129267,2.6272184584133975,2.7406930593897005,2.8997877060522987,3.125127631283435,3.3957446091449706,3.5312760894084585,3.727206650001893,3.811607238458706,4.0431951840041425,4.059922984663675,3.9338273594649675,3.8672788369991826,3.7545182274564786,3.67688334132201,3.5092546792795405,3.365777116602422,3.2707377382960927,3.202763648951747,3.1364949380255367,3.0630819481386484,3.0323024438645687,2.968294516291117,2.935133291737411,2.8548689130466327,2.8130581610649195,2.7890358072637924,2.7323601391468633,2.6866697540500004,2.6299718095498346,2.6072413813480146,2.571843797931071,2.5512691780045214,2.5333053424359235,2.506579048023015,2.48583707455585,2.4572067406171065,2.4276494983937464,2.4040187626645015,2.426975451534661,2.485016300975581,2.5456770454057023,2.6673043757211183,2.742809542625402,2.7904942281051044,2.8349540093130328,2.8735051944007464,3.087884367938428,3.1246913127635976,3.1769439481531223,3.251335538044025,3.3172951477632173,3.4192422325937675,3.787400010016896,3.98878968107717,4.101337871763889,4.309794202582838,4.45795023251707,4.478834720056832,4.454381202848455,4.566234322857111,4.907002131962742,4.781729463351196,4.65433309423363,4.558518253820855,4.518008035176119,4.647767280780301,4.92066404702604,4.825737411438712,4.752250710480715,5.051241819535536,5.975982300381465,6.430904112240408,6.566259665260484,6.684156351808219,6.859225755382126,7.078635803863858,7.081167243449661,7.748705094092012,8.190594761352056,8.586236237515854,9.069256194421978,10.77202322582888,12.306199293408916,12.884842300408966,15.36068078913616,16.858474105516436,19.66011653946013,22.760913725520997,23.641439836638927,32.15407358366408,42.11092489110642,47.56997076043736,57.69340251098847,65.55907655633995,102.72599200295286,121.58347521443672,119.71513233837682,155.19028622650416,278.2886089579267,127.95298555177337,75.71277507506443,58.12587124219257
7-2803602,,,,,,,0,1.0069899670698306,1.0550035537868472,1.0081583690323275,1.0089484655413707,1.0091282824025163,1.0072589043626705,1.0055487151667166,1.0050541024691828,1.0048953676884567,1.0035222257635834,1.0024677273848968,1.0042018792357879,1.0048987850987159,1.002538917418837,1.004841865367466,1.0034778773877648,1.0033872488568383,1.0030133761563675,1.002461186240126,1.0396126478314511,1.0543726841913372,1.0527331081030264,1.067359300058928,1.0657009282967553,1.0639020788400755,1.0607092401200537,1.0527962396126875,1.0597202974647795,1.1064041296324116,1.1472186144128016,1.140537310280048,1.1741999168084742,1.202576918777681,1.2493278006357107,1.347683551372426,1.41944944979394,1.4221859984153242,1.3979994844656831,1.3887223957005321,1.4600743819588047,1.4849561516499852,1.4725234239357863,1.4534443144185714,1.442641011986241,1.4227236865909425,1.3930914890610406,1.3841961802963096,1.3781304794758769,1.3707179798240678,1.3664050236262744,1.3632327541547533,1.343059674765458,1.3397478132907603,1.336248787456553,1.3316764784798458,1.3252675811030088,1.3154304460094706,1.3098542033901395,1.304688502520861,1.31159743939449,1.3521207168495397,1.3965397932760693,1.443931340094807,1.4800738131099855,1.5257924241824208,1.5522642632898103,1.587320116508538,1.648946069665654,1.6886070147883399,1.7786276210548295,1.8522724899662422,1.9472249858227169,1.9966804827398426,2.054720843711705,2.1959892147815223,2.2533982905883625,2.356114012365722,2.41788278286757,2.5434716328925875,2.6461153204258676,2.761689554852371,2.9238338011663467,3.153270431246503,3.4297566750961646,3.5685750807467866,3.768442477086437,3.85485594369422,4.09254571519844,4.1084498133802345,3.979072325732661,3.9098384500283268,3.794720299738347,3.713672515806491,3.5423775662526182,3.3954745836226548,3.297885452506245,3.2287414884695815,3.160949498864319,3.0855253007473977,3.054085249643572,2.988389484574929,2.955066202882453,2.873199218979509,2.8305803234989964,2.806101849928959,2.748373910006052,2.7014569685277565,2.644173204484838,2.620803711548892,2.584942721216621,2.5640317731655227,2.54566267130646,2.5187379853397722,2.49755932764363,2.4685936843402208,2.4385868634218313,2.414502107168532,2.437473943451527,2.4961141928095705,2.5574176749690616,2.6806176109359017,2.7572452913956407,2.8052422147321816,2.8502360398580695,2.8892561871042726,3.106054482332953,3.143340714650626,3.1962857702549186,3.271683406441063,3.338903857160879,3.442684596680238,3.816138112935542,4.020387254473649,4.134850981751113,4.347561531611065,4.498494854016721,4.519577193352705,4.49421291443236,4.608184692850714,4.955037361040456,4.82736032126727,4.696330649752241,4.598926630811024,4.557505684108264,4.68969576213588,4.968215149315478,4.869979186546808,4.794460898117422,5.09951678963491,6.045250826491219,6.511975228317341,6.650293937399278,6.770134338554928,6.949081691179737,7.175123334462641,7.17690637972736,7.865578129698246,8.320585226667028,8.729345039038146,9.230264890357514,10.998975380598987,12.603674624807498,13.2114273057756,15.827546266352053,17.42283773655974,20.43206301041876,23.802254473048677,24.766946792762354,34.272745114334725,45.819949809844964,52.35763035166886,64.88879107232779,75.01090051816344,127.98402492112298,158.4703046684428,115.90318029902346,119.37941135370716,181.2981145485617,102.72001035173389,66.10829717594275,52.29452358323284
8-2800274,,,,,,,,0,1.089891755286435,1.008485077966335,1.0093979237165809,1.0095244271909425,1.0073005708618477,1.0053898770776521,1.0048996849305671,1.0047361295102555,1.0032956734013545,1.0022167538167106,1.0040601830689564,1.0048073055696825,1.002357976043977,1.0047650825181713,1.003371629156405,1.0032835067289123,1.0027978768597712,1.0023429420451517,1.0403046564475786,1.0557166074542024,1.0536190337351514,1.0687520162802289,1.0669360437641782,1.0649814679901533,1.0618279744350962,1.0536210577605731,1.0605590160968668,1.1081577251810029,1.1496536685612442,1.1428975523587759,1.1769313579422755,1.2056676451517938,1.25362357362505,1.3539615704715804,1.4273733501994057,1.4300509362161251,1.4047916842413026,1.3952911320106096,1.4682184948117203,1.4931315555162468,1.4802662017188704,1.46056064319913,1.4495890829014595,1.429052781608867,1.3983917633916425,1.3895445872972576,1.3833134698715213,1.3756992223063833,1.3712705364129065,1.3678676713447864,1.347199266077305,1.343931466045444,1.3403452930961712,1.3355407906408538,1.3289786305849467,1.3189106309273255,1.3132083918724828,1.307821285551108,1.3148465179172864,1.3558729643497505,1.4007403262157319,1.4487530999819487,1.4855173530508028,1.5319474613976296,1.5587296402922093,1.5942254643019882,1.6568581915760532,1.6970562834749403,1.7886196808757937,1.8635180108389073,1.9601596666938566,2.010421208669235,2.0697888607703354,2.2135060296543574,2.2725057862746016,2.377170082071845,2.440320191701384,2.568832568943645,2.6741517490080464,2.7930546362346145,2.9589658670783763,3.195210228010257,3.480332890920377,3.623763642667827,3.830611874248409,3.9201503055158846,4.166772708542046,4.18386585098788,4.047816130082512,3.9757403696233093,3.8547958224597054,3.7708726080452033,3.592244054330102,3.4394397930944334,3.3387508942691504,3.266729488064916,3.1966408993125626,3.1191307854150465,3.0862987704169926,3.0189101992507945,2.9840418806118643,2.9000950343775402,2.8561003550809643,2.8309368147491822,2.771487120938957,2.7236074699278436,2.6648468417824476,2.6406327056953827,2.6041395404193395,2.582602058626339,2.5639116368798605,2.5363513264514115,2.514569887579283,2.4847306617021543,2.4542718640281898,2.429558636358329,2.453263515535839,2.51283040951031,2.5749042121572234,2.7003988307265487,2.7781108105179153,2.8266928545010406,2.8727594750889414,2.9127682150984953,3.1337434535455495,3.1714547016123587,3.225468547028849,3.3027654520215237,3.3707001349954844,3.47708437933688,3.858746653338595,4.068576597639622,4.186024235820668,4.404513715928254,4.559117888065121,4.581119006823868,4.554344225245305,4.670638795806574,5.029641673243203,4.896108006746667,4.761053583411822,4.659021397737817,4.6168100773416745,4.753212270368844,5.038888814939668,4.9373835715378895,4.859494715748602,5.1735512296370665,6.149815306536925,6.633979210238469,6.777716115198147,6.903570484866649,7.089616801025038,7.325247572328199,7.326843213826048,8.045808851695877,8.521982941041555,8.95160882251759,9.479496325581387,11.356020334969994,13.075752265495776,13.731373302927881,16.581065335966514,18.341252303730148,21.707679882336503,25.552683842589648,26.66807799391451,38.02747660240015,52.79067351559919,61.663245572818255,79.81875747928275,95.70786916993919,202.80453498599107,290.90602715260064,173.36133090930073,130.57639518555953,119.01219848797105,79.24687816666723,55.52556006861795,45.44329823499567
