순번_정류장ID,18-2805356,19-2805354,20-2805359,21-2805361,22-2805363,23-2805365,24-2805364,25-2805362,26-2805360,27-2805344,28-2800898,29-2805292,30-2805297,31-2800872
18-2805356,0,1.0012164867861615,1.000799643545623,1.0013402393984048,1.0009783877462706,0.9974218906504737,1.124959683981284,1.215433917289934,1.3202775025868962,4.191587287627585,3.3383870790870955,2.7350840822615674,2.1677697395437425,2.188715601139203
19-2805354,,0,1.0007456393275915,1.0008641125377773,1.0009499148594831,0.9965657071559119,1.1390075767043826,1.2412715850859566,1.3610722796858181,5.274695708573511,3.871624025734709,3.011682552205948,2.284942411313423,2.3027486778647286
20-2805359,,,0,1.0129626169143464,1.0029615607730589,0.975699306871271,2.537711983509791,4.860156645819318,3.0792290070871218,1.532141630770362,1.414327355313555,1.3244253624753266,1.2406990325030747,1.293493205029738
21-2805361,,,,0,0.9922501054407423,0.9597953247058527,4.252012472909018,25.753819036427732,4.803738087616044,1.3446383234018873,1.272530413429596,1.2170463689682547,1.1676706209750334,1.2213914860922415
22-2805363,,,,,0,0.9383294627975255,12.526633599309896,3.8383580613254202,2.4050223793620167,1.1943762885864042,1.156130168985921,1.1267542509893331,1.104301181711316,1.1590190946748993
23-2805365,,,,,,0,1.0547176832775127,1.0368888834353822,1.0258230819687222,1.0060351474224338,1.0042770933563225,1.0059163436033463,1.0178447936142034,1.0725341815898393
24-2805364,,,,,,,0,1.009638454537933,1.0044443999559562,1.00113843212107,1.0002032842427389,1.0027836814599866,1.0161558207186674,1.0736427033842872
25-2805362,,,,,,,,0,0.9995829494204935,0.9998122090331821,0.9991004777846842,1.0020294434685133,1.0160328967053798,1.0752187813917298
26-2805360,,,,,,,,,0,0.9998308103084526,0.999069980731374,1.0021493376123625,1.0165929532286748,1.0776998522511652
27-2805344,,,,,,,,,,0,0.9963872070502183,1.0056857122623901,1.028711942381535,1.1305478664116655
28-2800898,,,,,,,,,,,0,1.0127740584446487,1.0370485941630894,1.1625238752824028
29-2805292,,,,,,,,,,,,0,1.0494629471384225,1.230645030925613
30-2805297,,,,,,,,,,,,,0,1.0131054804139679
31-2800872,,,,,,,,,,,,,,0
