순번_정류장ID,79-2805804,80-2801168,81-2803645,82-2801666,83-2801633,84-2801192,85-2801604,86-2801555,87-2801181,88-2801508,89-2801482,90-2801450,91-2801438,92-2805321,93-2801461,94-2801462,95-2804438,96-2803644,97-2800676,98-2800667,99-2800657,100-2800340,101-2800624,102-2800619,103-2806215,104-2807461,105-2806729,106-2806175,107-2806745,108-2806743,109-2806902,110-2800582,111-2800579,112-2800570,113-2800558,114-2800552,115-2800338,116-2800538,117-2800525,118-2800520,119-2800513,120-2805304,121-2800498,122-2800497,123-2800493,124-2800489,125-2800483,126-2800475,127-2800471,128-2800467,129-2800449,130-2800441,131-2800436,132-2800433,133-2800425,134-2800321,135-2803560,136-2803561,137-2803562,138-2800395,139-2800397,140-2800399,141-2800316,142-2805901,143-2800410,144-2800434,145-2800443,146-2800458,147-2800330,148-2800473,149-2805322,150-2800356,151-2800358,152-2800360
79-2805804,0,1.018591291859782,1.0024966444297534,0.9961526628560327,1.0228061496565577,1.0208454889879495,1.0159549472702676,1.1327583441360707,1.240339951922167,1.2109971845469971,1.3546422684462707,1.4743443725180834,1.4125248876195713,1.3867896524304437,1.369913346859551,1.356409990031735,1.3144832185210196,1.2181595400572207,1.1968127280529102,1.188313236556774,1.1839747727773287,1.1773486934609112,1.1663682644452291,1.1902134254092394,1.2798785871386855,1.2658202923544282,1.2557692669265192,1.2433195684239342,1.234189232235923,1.2833876743377615,1.329735784361826,1.3660012403570232,1.3926688824408884,1.3823257383862055,1.3756357703704618,1.4004105622576606,1.460752521928955,1.4835288123878396,1.4577490732845688,1.4432803126220253,1.4267748532879825,1.413253077044631,1.3836791258045222,1.3760079842678494,1.3626408980731168,1.3528349940229003,1.3484984805094251,1.3434903036543067,1.3406858876024406,1.3364185987796549,1.322077243786207,1.3169891716989626,1.3556260515323297,1.3906582798227525,1.4203573114002557,1.4090043611415701,1.3867765540995978,1.370561265607816,1.3637560635179935,1.3566905809694185,1.371321996027805,1.3970084519963641,1.4150296718634439,1.5074334838715702,1.6233879134022546,1.6634933073545988,1.7067358797627585,1.7392836362899744,1.7297806164837293,1.7174436158481365,1.8336586671359003,1.7975805333289865,1.7791406373013299,1.7685474412143736
80-2801168,,0,0.9924841048975198,0.9887505921874327,1.0235367063772685,1.0211504831216547,1.0157237942009922,1.1406733323165752,1.1536038709842649,1.1351250541228035,1.3745921257206102,1.5008278845945946,1.4321959561104105,1.3617005317196085,1.3456325622484704,1.3330440069658511,1.2921355313195044,1.2021388020934618,1.182264436082601,1.1745147341330935,1.1703097388422474,1.164135742880406,1.1539315844525968,1.1786493563854834,1.2687901684627112,1.2552405119511583,1.245536661610243,1.2335077344170864,1.224708278491745,1.2743744174328278,1.321062169060049,1.3572230231931048,1.3840872518785463,1.3739213807201964,1.3673766469492745,1.4056817877661674,1.4670127401845072,1.4898607338745202,1.463525560395728,1.4485738755007949,1.4316621585855407,1.4180371829030833,1.3875893268905204,1.379758690388898,1.3660315515983048,1.3562986444967562,1.3517862312358706,1.3467664057245867,1.3437363803062705,1.3395532909879917,1.324872726817929,1.3196299562474414,1.3587377710833959,1.3939727735571434,1.4239138613111741,1.4124285685658748,1.3898302808951317,1.3734994784176502,1.3664481748700115,1.3592101294394299,1.3740255198303275,1.3999403204890886,1.4180522981704238,1.5113166840492138,1.6285193766351382,1.6689491696413807,1.7126519453164655,1.7455324196196067,1.7358657326708908,1.723224571635293,1.8405855649559637,1.8039129304550794,1.7851742818700909,1.7744163091275527
81-2803645,,,0,0.9711890071643277,1.030675938282878,1.0256412563619492,1.0175011436048553,1.1574819526344373,1.1391938526458834,1.1212431813737063,1.4130681164262975,1.5512328819786285,1.4689921986629113,1.387057006104458,1.3688037951152148,1.3543116482105344,1.3083253906878058,1.2096802880151134,1.1883496577193373,1.1800695468662266,1.175602505224915,1.1690444172970087,1.158229652249058,1.1836266223486585,1.2763458802150223,1.2620240622126326,1.2518072467220025,1.2391799054315906,1.2299511178591838,1.2806600286870862,1.328252643057245,1.3653762785868795,1.392919258179183,1.3824194023461693,1.375299219066642,1.4146644152702321,1.4777797508518102,1.5009512855097924,1.4734375161702187,1.4578634545029547,1.440129786418677,1.425844207349818,1.3944829939229664,1.3862776175207947,1.3720913164400497,1.3619328319894257,1.3572744534490127,1.35226918681116,1.3491440153567078,1.3447336817314588,1.3296228078568595,1.3241162614916766,1.3638659608109345,1.3997817881672159,1.4301165283197335,1.4182666203303291,1.3949675761183657,1.3781362512573205,1.3709821806696578,1.3635686657425041,1.3785734310220517,1.4048608399706386,1.4233111875819768,1.5180014392937926,1.636942644765459,1.6779894086422904,1.7224456064088844,1.7557689192276413,1.7458328376756527,1.7328451497357213,1.8520815850673473,1.8145211025796157,1.7952831265666118,1.7841562907045352
82-2801666,,,,0,1.0620507306326903,1.043679623862003,1.0254883725281245,1.181097110626114,1.1576316606691255,1.1353954925580823,1.4592658192793915,1.6103187272458546,1.5112949982119597,1.4157914922616321,1.3950154872102016,1.3783076557218323,1.326538835059328,1.218268749172897,1.1953400230362308,1.1864784120240954,1.1817255443980896,1.1747477179694852,1.163264178850795,1.189306260411713,1.2845030658598011,1.2693708975638696,1.2586172664102284,1.2453649653883125,1.2356866986158301,1.2872354933989438,1.3359279127319648,1.3739897367416452,1.4020463541454204,1.3909483883318545,1.3837553827238074,1.4238925360432457,1.4884598771336413,1.512061461405229,1.4832426510700325,1.467183730906143,1.4488682547056637,1.433910845948678,1.4013242458716686,1.392847033803358,1.378400531949249,1.3678094892495283,1.363003735485502,1.3577491061692502,1.35461986969835,1.3500674586844599,1.3345278492120247,1.3286724544288666,1.3689454812076591,1.405594824454788,1.4362047810947265,1.4242521326668496,1.4002522354137208,1.3829933915003727,1.3755944735238175,1.3680780836040447,1.3831899828458858,1.4098299659724773,1.4284575866764953,1.5245650689643644,1.6455023245469604,1.686947612926044,1.7319227955204166,1.7660631290176891,1.75586055784089,1.7424318781322368,1.8634560519657535,1.8248309009763957,1.8049167220228963,1.7937176830145123
83-2801633,,,,,0,1.0126564953101727,1.0065586781296025,1.11122565116479,1.094760577818442,1.0794660501338524,1.4479679069076752,1.6227385715614988,1.5089290772688566,1.4043596295881478,1.3821846581120727,1.3646742738947675,1.3109603690435006,1.2027568994680553,1.1805326125271975,1.172021326532028,1.1674300326903146,1.1607369130447267,1.1497939165492257,1.176732224952826,1.2755491831928083,1.260405998742142,1.2496617013267473,1.2364466394814224,1.2268413424365854,1.2802498569803942,1.3304088526234124,1.3695075217651802,1.398292798697296,1.387118174060389,1.3796763031306194,1.4210402012660073,1.4874035447649774,1.5115498971172856,1.4821265246422146,1.4655574936314935,1.4468551962003267,1.4317291313188647,1.3985888837109317,1.3900884806536513,1.3752425822984893,1.3646275258760456,1.359862015247374,1.3543697393128658,1.3512095020660293,1.3466200331425855,1.331025402774934,1.3181239407921512,1.35879893165406,1.3954927169401385,1.4270020127193614,1.4149552696674554,1.3912850200587323,1.3739341129872051,1.366843789135173,1.3594186748765633,1.3809662051429805,1.4080629082105487,1.4269651171616118,1.524476377599203,1.6473494400108948,1.6894821623398457,1.7354680244085026,1.7700208456701991,1.7595911980584953,1.7460712628350594,1.8691633015651756,1.829650176324602,1.8095954789546,1.79786193052508
84-2801192,,,,,,0,1.0040994186131464,1.010285711746816,1.0096163752286416,1.007902944035038,1.3890643446089779,1.5758830669599675,1.4658849236768243,1.366628690152255,1.3456418188173196,1.329605217025454,1.2797207351754065,1.1806961044889086,1.1605994431453088,1.1529469692834888,1.1487650534678118,1.1427179534235616,1.1328838244407773,1.1602982834238136,1.2604164604868027,1.245956925366845,1.2356782804098547,1.2230283669693425,1.213872374091593,1.268265556908859,1.3189316429755873,1.3582494956892674,1.3874520955351097,1.3763281663502605,1.369053723847689,1.4107245443287761,1.4774859323784346,1.502066402372249,1.4729184782507931,1.456503187707953,1.4380130487091805,1.4230743174581668,1.3903454454850803,1.381953540546857,1.3672961844957852,1.3568460060694676,1.3520592853702718,1.3467429973481582,1.3436287036007555,1.3392091628315563,1.3238274245742472,1.3097835589554476,1.3291835629665922,1.3651093663692773,1.3962602743840822,1.3853541807700898,1.3635720316575433,1.3478786752607756,1.3411246451136385,1.3444530756808633,1.3753023054497557,1.40233482393521,1.4214455739858374,1.5192107634874021,1.642560393709908,1.6850562477824387,1.7311457793231173,1.7658709325586681,1.7555389833897377,1.74181152255141,1.8657491056697182,1.8261587448285639,1.8057781911433393,1.794326965917214
85-2801604,,,,,,,0,1.0140929139767987,1.0119905292412656,1.0089021904389037,1.6021426550518807,1.8775923433579214,1.6434462747893483,1.467871501516612,1.4347318701533622,1.4085603884115585,1.334329439874815,1.201654378463666,1.1768430518085764,1.1675464177485284,1.1625604413684416,1.155356901456167,1.1437294107040064,1.1735408499255489,1.2819695020743744,1.2650226990400903,1.2531218574181955,1.2386099668452804,1.2281397714320745,1.285434324399628,1.3395388738583105,1.3820354096104277,1.4130850228166552,1.4004774617111624,1.392024661488519,1.436607289469035,1.5085270249477356,1.5340592200456429,1.5011617049664585,1.4827946987418374,1.4621174875106568,1.445595811060677,1.4093044776018904,1.400089080965693,1.3841603616663518,1.372705998940969,1.3674808630475397,1.3615847575282647,1.3581986246018514,1.3532738742658255,1.3367341882383943,1.3215945910613651,1.3168987927773652,1.3496691718692542,1.381296345154829,1.3707158683746263,1.3493562081014057,1.3341322189965297,1.327682478265137,1.3555543581632699,1.3875785145605037,1.4157400003792737,1.4354523507182486,1.537334721524915,1.6661772369277963,1.7101705154806137,1.7585443129941807,1.794845488403664,1.7836032093824212,1.7689429500596945,1.8982213095936376,1.8555765659183614,1.8340319243445402,1.821671617803057
86-2801555,,,,,,,,0,1.0025665668761898,1.0008763250883392,1.6851941528435532,1.4071457477382319,1.2899918256487317,1.5385573463149387,1.4882094894300006,1.449261049156868,1.3506415195336623,1.19340324556234,1.1669594255692968,1.1572814007942147,1.152097935634861,1.144693421284582,1.1329076216915657,1.1647438693901115,1.2826759917450126,1.264296631036925,1.2515037727447331,1.2360236274178769,1.2249444553692586,1.2861996639776183,1.3439574239140695,1.389458723333202,1.4225313857199957,1.4086376533759546,1.3995903195153323,1.3877478729867327,1.4508471154459448,1.4779600118029848,1.4479853336701696,1.4312658075000761,1.4126151246505134,1.397769273978436,1.3651138268617349,1.3567818867469823,1.3423578459986252,1.33212137028858,1.3274271933594781,1.3220396140102961,1.3191764779798212,1.3148114407971816,1.2997449023771008,1.2863082190081365,1.2821054718543978,1.2964938092840577,1.3285521118599193,1.3196253775463056,1.3014719544609994,1.2883374064741517,1.2827055362005306,1.3258751618044462,1.3575954332990874,1.3856206177084573,1.4053945058001844,1.506851840802682,1.635153770060617,1.6796222144582889,1.7277667448775178,1.764096478891357,1.7532025401648539,1.739209791937704,1.8687801152737213,1.8271690522095778,1.806083627244334,1.794135952967108
87-2801181,,,,,,,,,0,0.9994845454600585,0.9969127685303273,0.9963750993123477,1.1481767561147738,1.6475889355301678,1.5767716244619487,1.5220990311840454,1.3931386115734286,1.2058148621385028,1.1761201049586612,1.1653678951472468,1.1594612497400163,1.1515420345419323,1.1386624709369468,1.1716165920996988,1.2945441933460156,1.2746109064746156,1.2608292497477016,1.2442372910121238,1.232387083559331,1.29536402249846,1.3549613686173947,1.4020140136891415,1.4361822305380192,1.4215687761515663,1.4117469047140936,1.3990247415670038,1.3986970647117614,1.4628128045166682,1.4588779857742915,1.4413284604458558,1.421759563481315,1.4060793850647126,1.3720201869088275,1.3632445938409816,1.3482741490855323,1.3378459894846846,1.332877840638569,1.3273923678875323,1.3244250026395972,1.3197080009995668,1.3043303157761583,1.290435669788107,1.2861714361147352,1.2813764415113968,1.2993151908206082,1.300809229719979,1.283532722344481,1.271208030851108,1.283935827997547,1.3298594315420555,1.3621658138974373,1.3906553252598683,1.4106838281338616,1.5139202955166424,1.644858067879152,1.6900147963356547,1.7390309197906981,1.776294749764593,1.7648219243995642,1.750273529853895,1.882171784059279,1.8396010386733177,1.8175451213113567,1.8052492512031617
88-2801508,,,,,,,,,,0,0.994925724888078,0.9951516655412741,1.1942439893210286,1.8602306392918466,1.7409933377265467,1.6511478861270603,1.4616684331875074,1.2227680835954144,1.1883373786927283,1.1760554032699284,1.1696370866720787,1.1604928799410754,1.1460999235702656,1.180956398363754,1.3105503795678621,1.2884402802808905,1.2732857174651155,1.2551617586296824,1.242254976218567,1.307241929574499,1.3694435773474096,1.4187596511228666,1.4539485078325738,1.4383262279699125,1.4276691578232539,1.4139595718034013,1.4132908246736147,1.4799960525742752,1.4749290940780582,1.4561825421273096,1.4352869139394164,1.4185806510795902,1.3824837065974827,1.3732212598265428,1.3575605625540301,1.346452978018225,1.341230084394381,1.3355648868536147,1.3322492926433054,1.3274840911370032,1.3112108085343772,1.2965750408331231,1.2921930191388633,1.287364203934448,1.305477173153693,1.3066780497001855,1.2888141550571917,1.2761724805582289,1.289104938719537,1.335902623079293,1.36889298394296,1.397999541052229,1.418470344649953,1.524177633757036,1.6582886343055947,1.7042310467189,1.754765614120763,1.7927506090369336,1.781014831444239,1.7658453669309273,1.901009619393683,1.8563173959985602,1.833813414177698,1.820925682529385
