순번_정류장ID,15-2805646,16-2805979,17-2805162,18-2805158,19-2803416,20-2807467,21-2807468,22-2802365,23-2802590,24-2805206,25-2806021,26-2803519
15-2805646,0,1.1714261224839644,2.04436405754726,1.5659586825744867,1.3102832691812578,1.146575698589895,1.101344975929164,1.1048803275249957,1.1144209511335197,1.1320778151231103,1.1369090284762748,1.1753446500799924
16-2805979,,0,1.0085760551071816,1.004435040538849,1.005725274424706,1.0027173659481803,1.0029048651623884,1.0597657526037605,1.0722073934300131,1.090181167635939,1.0955921012066347,1.13324031263596
17-2805162,,,0,0.9911902430256413,1.0017342480218008,1.000550426763793,1.0015165155884445,1.0624260428717716,1.0753087733745388,1.0941940212247383,1.0998148708626443,1.1395426263436497
18-2805158,,,,0,1.0074840520778143,1.0019126197000936,1.002377180706695,1.065217555566067,1.078335061280635,1.0979027247603477,1.103626886615252,1.1448082251143332
19-2803416,,,,,0,0.9996259821869032,1.0012571232660927,1.0697081849694545,1.0834476119063379,1.1043178604326296,1.1103847909216336,1.154491251275054
20-2807467,,,,,,0,1.0031291573424452,1.0863008319661038,1.101371037610595,1.126378100864851,1.133142638486536,1.1866628317383845
21-2807468,,,,,,,0,1.107732137449339,1.123650912634561,1.1539306943999799,1.1613440955048342,1.2270004985700411
22-2802365,,,,,,,,0,1.0063535183306456,1.0100996907126323,1.0890564092758095,1.6072728730435502
23-2802590,,,,,,,,,0,1.0211675939110139,1.2493612502903408,3.220943002232456
24-2805206,,,,,,,,,,0,1.0029844238797512,1.1452399066139718
25-2806021,,,,,,,,,,,0,1.002295944340743
26-2803519,,,,,,,,,,,,0
