순번_정류장ID,9-2803371,10-2803174,11-2803172,12-2803208,13-2803176,14-2803381,15-2807010,16-2805325,17-2803211,18-2803214,19-2803210,20-2803361,21-2807315
9-2803371,0,0.9976727836900924,0.998659762017452,0.9997825908500891,0.9977321415289999,1.0013997882691723,1.0006788235494888,1.0018514737433857,1.0020584060957531,1.236534285798468,1.6201815771222021,1.5968289882962658,1.5823059427413648
10-2803174,,0,0.9994954220238881,1.0007629707374412,0.99774709113749,1.002227750210142,1.001236285658412,1.0023187083408216,1.0023532690691397,1.2504819081320595,1.6609644584708099,1.6345678462350788,1.6182396478238565
11-2803172,,,0,1.0023081061019903,0.9970061116168519,1.0031996641539052,1.001724519209321,1.0025944245595726,1.002747725833005,1.268867193456305,1.7161251995110463,1.6853138767377802,1.6663883534920716
12-2803208,,,,0,0.9941844143191461,1.003567022567088,1.0015495076092225,1.002437332858878,1.0026219927621314,1.2857380295885994,1.7682724979777338,1.7329727723467283,1.7114285937674365
13-2803176,,,,,0,1.0202100465520731,1.005266823673016,1.0033981420742266,1.003472921159282,1.324736442676689,1.890814624183485,1.844187116541178,1.8159285381256185
14-2803381,,,,,,0,0.9917274225221766,1.0016734643726728,1.002017418487006,1.3371321832273482,1.9333621338179754,1.8819424134944498,1.851151696830094
15-2807010,,,,,,,0,1.002802171125365,1.0029885550232056,1.3630786233595615,2.0180281053268847,1.9573084156726266,1.9212779124336032
16-2805325,,,,,,,,0,1.003909171556822,2.068063693430869,5.886851863785215,4.758470259260123,4.269790721517785
17-2803211,,,,,,,,,0,1.7956612612534921,21.99907988219131,10.179342938845314,7.732979214905396
18-2803214,,,,,,,,,,0,0.999065124419244,0.9962715447477924,0.9934382896951711
19-2803210,,,,,,,,,,,0,0.9788567952592128,0.9720825119964955
20-2803361,,,,,,,,,,,,0,0.9615388530881919
21-2807315,,,,,,,,,,,,,0
