순번_정류장ID,7-2803140,8-2806580,9-2805549,10-2805547
7-2803140,0,1.003717023418619,1.0957309913691382,1.0308290440364334
8-2806580,,0,1.0035315370239832,1.0006781269822436
9-2805549,,,0,0.9996848253948873
10-2805547,,,,0
