순번_정류장ID,17-2803380,18-2805503,19-2803176,20-2803381,21-2803140,22-2807621,23-2807597,24-2805549,25-2806579,26-2807590,27-2805547,28-2805546
17-2803380,0,0.9532350038381402,2.294108145671731,5.824637327404789,5.668175767052659,2.3591580205351077,1.7894930133046887,1.6153967936317346,1.487132095766707,1.2713431940862936,1.210498951878942,1.19814334838108
18-2805503,,0,2.866521003110114,3.8754768749795048,2.419074677945307,1.6328053422723896,1.4067543724071232,1.422693673052163,1.3401080004717216,1.1945356722312042,1.152076424170312,1.1434462788453938
19-2803176,,,0,1.0202100465520731,1.0147658344145367,1.0061133186680677,1.0078344469761955,1.2015499837963466,1.163568242686378,1.0944593787474877,1.074067639869374,1.070039328708469
20-2803381,,,,0,0.9965078416258984,0.9972416188239922,1.0031110566402366,1.2219835133871508,1.1761881523283118,1.097913315395415,1.0759265583606075,1.071634353221746
21-2803140,,,,,0,0.9975458175644685,1.0044586055363691,1.2428649955277238,1.189092288029451,1.1018516123842679,1.078299473816306,1.0737408009428115
22-2807621,,,,,,0,1.0006226066604336,1.3093346481134733,1.2264345924545434,1.1113845775407503,1.083656789044235,1.0784177358091611
23-2807597,,,,,,,0,1.3915450397520734,1.2600779938593325,1.113523849275062,1.0829986061817456,1.0774156771880354
24-2805549,,,,,,,,0,1.0016695161752172,0.9996518513584108,0.9996848253948876,1.0000895976307436
25-2806579,,,,,,,,,0,0.9991175365878644,0.9993668522469233,0.9998620440156768
26-2807590,,,,,,,,,,0,0.9997487022508809,1.00074978889054
27-2805547,,,,,,,,,,,0,1.004268912859742
28-2805546,,,,,,,,,,,,0
